age_bin_10k	bin_n	n_cores_present	max_core_share	effective_core_balance	normalized_core_entropy
[0,10)	21	4	0.380952380952381	3.36641221374046	0.930414438562471
[10,20)	18	4	0.666666666666667	2	0.667752778258549
[20,30)	24	4	0.791666666666667	1.54838709677419	0.511949786660753
[30,40)	27	4	0.777777777777778	1.58823529411765	0.521172160741846
[40,50)	16	4	0.5625	2.37037037037037	0.745657328518199
[50,60)	24	4	0.375	3.69230769230769	0.972517782937844
[60,70)	13	4	0.692307692307692	1.94252873563218	0.676015050878977
[70,80)	18	4	0.444444444444444	3.30612244897959	0.931913195045408
[80,90)	13	4	0.538461538461538	2.77049180327869	0.86362430313196
[90,100)	12	4	0.666666666666667	2.05714285714286	0.709147917027245
[100,110)	16	4	0.5	2.97674418604651	0.890319531114783
[110,120)	2	1	1	1	
[120,130)	6	3	0.333333333333333	3	1
[130,140)	5	3	0.6	2.27272727272727	0.864973520717927
[140,150]	3	3	0.333333333333333	3	1
