age_bin_10k	core	n_samples	median_reads	median_observed_taxa	median_shannon	median_chao1	low_detection_n	low_detection_pct	sequencing_attention_n	sequencing_attention_pct	median_PC1	median_PC2	bin_n	bin_low_detection_n	bin_attention_n	core_share_in_bin	expected_low_detection_n	expected_attention_n	low_detection_enrichment	attention_enrichment	fairness_label
[0,10)	GeoB25202_R1	3	656787	505	4.14348171984848	505	0	0	0	0	-2.57526390578406	-21.2827564000277	21	1	0	0.142857142857143	0.142857142857143	0	0		no_low_detection_signal
[0,10)	GeoB25202_R2	3	1035788	450	4.36617471261151	450	0	0	0	0	-4.61004229830314	-21.1044863100127	21	1	0	0.142857142857143	0.142857142857143	0	0		no_low_detection_signal
[0,10)	ST13	7	1323453	669	4.96619196862672	669	0	0	0	0	-41.1448201297664	-22.7642281816736	21	1	0	0.333333333333333	0.333333333333333	0	0		no_low_detection_signal
[0,10)	ST8	8	703131	507	4.95445213390339	507	1	12.5	0	0	-5.87788690216889	55.8614781280153	21	1	0	0.380952380952381	0.380952380952381	0	2.625		no_low_detection_signal
[10,20)	GeoB25202_R1	1	1206819	945	5.77138928308655	945	0	0	0	0	-92.7853789210796	-39.4349460241111	18	0	0	0.0555555555555556	0	0			too_sparse
[10,20)	GeoB25202_R2	1	1759696	1047	5.80722293982221	1047	0	0	0	0	-112.00415909621	-35.1200022491347	18	0	0	0.0555555555555556	0	0			too_sparse
[10,20)	ST13	4	2080101	960.5	5.58244541562666	960.5	0	0	0	0	-106.795822071792	-36.090547273756	18	0	0	0.222222222222222	0	0			no_low_detection_signal
[10,20)	ST8	12	706896.5	683	5.54892654444864	683	0	0	0	0	-34.6729446193609	-22.6826713892522	18	0	0	0.666666666666667	0	0			no_low_detection_signal
[20,30)	GeoB25202_R1	1	619230	750	5.54018440474066	750	0	0	0	0	-46.1846846379083	-32.2984136021489	24	0	0	0.0416666666666667	0	0			too_sparse
[20,30)	GeoB25202_R2	1	811529	780	5.14776903344886	780	0	0	0	0	-53.5116328686492	-33.6066987872044	24	0	0	0.0416666666666667	0	0			too_sparse
[20,30)	ST13	3	853834	790	5.51780688699794	790	0	0	0	0	-62.9110281833978	-20.9086890004571	24	0	0	0.125	0	0			no_low_detection_signal
[20,30)	ST8	19	649594	689.5	5.6151434561467	689.5	0	0	0	0	-37.7587788392033	-38.9064738343419	24	0	0	0.791666666666667	0	0			no_low_detection_signal
[30,40)	GeoB25202_R1	1	800670	829	5.70399081923291	829	0	0	0	0	-67.1308547195354	-12.1321438537908	27	1	0	0.037037037037037	0.037037037037037	0	0		too_sparse
[30,40)	GeoB25202_R2	1	640010	428	4.39917967578849	428	0	0	0	0	12.9838577986524	-4.80292021221839	27	1	0	0.037037037037037	0.037037037037037	0	0		too_sparse
[30,40)	ST13	4	719606.5	741.5	5.43391809051085	741.5	0	0	0	0	-51.7182312356516	-9.69992458602565	27	1	0	0.148148148148148	0.148148148148148	0	0		no_low_detection_signal
[30,40)	ST8	21	302672	491	5.41100325225749	491	1	4.76190476190476	0	0	1.18102084709544	-13.7005741711592	27	1	0	0.777777777777778	0.777777777777778	0	1.28571428571429		expected_by_sampling
[40,50)	GeoB25202_R1	1	390482	528	5.1948438527589	528	0	0	0	0	-12.3578122619029	-7.2216651727633	16	2	0	0.0625	0.125	0	0		too_sparse
[40,50)	GeoB25202_R2	1	380554	491	5.05264546243521	491	0	0	0	0	-1.08868707405842	-8.22982918216202	16	2	0	0.0625	0.125	0	0		too_sparse
[40,50)	ST13	5	584697	558	4.95092403884079	558	0	0	0	0	-18.5315852536608	-3.09429944641163	16	2	0	0.3125	0.625	0	0		no_low_detection_signal
[40,50)	ST8	9	203145	381	5.16170858479725	381	2	22.2222222222222	0	0	20.3032742434367	-5.98613128672123	16	2	0	0.5625	1.125	0	1.77777777777778		no_low_detection_signal
[50,60)	GeoB25202_R1	5	226186	325	4.61920384688473	325	2	40	0	0	34.1400529762377	-3.77573755305184	24	4	1	0.208333333333333	0.833333333333333	0.208333333333333	2.4	0	enriched_beyond_sampling
[50,60)	GeoB25202_R2	5	233956	378	4.95168366313713	378	0	0	0	0	22.7494186506301	7.65461740077309	24	4	1	0.208333333333333	0.833333333333333	0.208333333333333	0	0	no_low_detection_signal
[50,60)	ST13	5	396789	471	5.24559229183399	471	0	0	0	0	-0.0145043943704769	2.85820708190953	24	4	1	0.208333333333333	0.833333333333333	0.208333333333333	0	0	no_low_detection_signal
[50,60)	ST8	9	193122	362	5.20326346145349	362	2	22.2222222222222	1	11.1111111111111	24.2218484629539	-14.1021333104136	24	4	1	0.375	1.5	0.375	1.33333333333333	2.66666666666667	mixed_or_background
[60,70)	GeoB25202_R1	1	1069557	840	5.36535063361141	840	0	0	0	0	-52.1557300436086	61.1761422041888	13	0	0	0.0769230769230769	0	0			too_sparse
[60,70)	GeoB25202_R2	1	1307891	903	5.360615992873	903	0	0	0	0	-61.2460271846208	55.1796256605697	13	0	0	0.0769230769230769	0	0			too_sparse
[60,70)	ST13	2	936557.5	835	5.63384904232858	835	0	0	0	0	-70.7495100330478	13.5538516764897	13	0	0	0.153846153846154	0	0			no_low_detection_signal
