sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst	PC1	PC2	PC3	site_group	glacial_class	dedup_fraction	low_reads_50k	low_reads_100k	low_reads_q10	low_reads_q20	low_taxa_150	low_taxa_250	low_taxa_q10	low_taxa_q20	low_reads_or_taxa	low_reads_and_taxa	total_reads_from_counts	observed_taxa	shannon_vegan	vegan_chao1	chao1_gap	rarefaction_slope_per_10k	qc_depth_class	PC1_pc	PC2_pc	PC3_pc	age_bin_10k	focus_age_bin	age_bin_quantile	sequencing_attention
LV3003046936	ST8		139.5	6.27443150715505	1881184	189.42	8.18202560490086	7.75500706127122	62.8	63.9	1044	5.79036371112999	22.905	4.8619	7.62434576717752	-111.637159194156	-47.6003203961922	36.3262296533435	ST8	glacial_like	0.374094610616418	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1881184	1044	5.79036371112999	1044	0	0	adequate_depth	-111.637159194156	-47.6003203961922	36.3262296533435	[20,30)	other	(19.1,33.4]	FALSE
LV3003046937	ST8		99.5	5.74086854525352	550640	100.16	7.56858242168356	7.28648444872805	66.6	67.9	592	5.19180560931416	18.598	4.98412	7.40669227965178	-33.1778185924624	-27.0208342045497	-6.51603614218834	ST8	glacial_like	0.522278341477148	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	550640	592	5.19180560931416	592	0	0	adequate_depth	-33.1778185924624	-27.0208342045497	-6.51603614218834	[10,20)	other	[0.692,19.1]	FALSE
LV3003046938	ST8		55	5.87460414511034	749210	92.71	8.13146374049289	7.86544763633642	83.8	85.5	658	5.58983006062237	11.169	3.65408	6.64060093364877	-27.0316122766786	56.574503812305	37.8708387791529	ST8	interglacial_like	0.541980789351994	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	749210	658	5.58983006062237	658	0	0	adequate_depth	-27.0316122766786	56.574503812305	37.8708387791529	[10,20)	other	[0.692,19.1]	FALSE
LV3003046939	ST8		15	6.18198699573197	1520501	137.77	8.24262129834256	8.16202407881504	79.3	79.8	541	4.86324339842374	2.42	3.2262	6.89400787736814	-21.4396019321381	57.4546497862326	29.0509791601008	ST8	interglacial_like	0.830620757284178	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1520501	541	4.86324339842374	541	0	0	adequate_depth	-21.4396019321381	57.4546497862326	29.0509791601008	[0,10)	other	[0.692,19.1]	FALSE
LV3003046949	ST8		134.5	6.11653336302888	1307775	140.56	7.78707156082083	7.57943717721456	56.4	57.8	916	5.31578030448818	22.3686666666667	4.87262666666667	7.59724225650273	-88.1860221552295	-40.5350917012974	25.4116934567859	ST8	glacial_like	0.619962772876199	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1307775	916	5.31578030448818	916	0	0	adequate_depth	-88.1860221552295	-40.5350917012974	25.4116934567859	[20,30)	other	(19.1,33.4]	FALSE
LV3003046950	ST8		94.5	5.91777272586659	827508	104.24	7.73679962727509	7.48171898404423	72.2	73.7	835	5.86240552233203	18.099	5.01406	7.38147540241116	-71.6821228162284	-38.9390929905013	14.8721101929565	ST8	glacial_like	0.555801034015904	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	827508	835	5.86240552233203	835	0	0	adequate_depth	-71.6821228162284	-38.9390929905013	14.8721101929565	[10,20)	other	[0.692,19.1]	FALSE
LV3003046952	ST8		50	5.7604043874428	575975	116.29	7.94660195781311	7.77954539733012	83.4	86	591	5.55938229899026	10.26	3.5408	6.52726089941695	-11.6057949509437	60.1537682327424	40.2340791966256	ST8	interglacial_like	0.680680700637203	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	575975	591	5.55938229899026	591	0	0	adequate_depth	-11.6057949509437	60.1537682327424	40.2340791966256	[10,20)	other	[0.692,19.1]	FALSE
LV3003046953	ST8		10	6.34252078081338	2200496	82.74	8.42960294421019	8.38770905248328	82.4	82.6	519	4.29430920270236	1.5215	3.203925	7.82527505425364	-24.4031418806512	44.3788415709996	24.5804292030287	ST8	interglacial_like	0.908042358667125	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2200496	519	4.29430920270236	519	0	0	adequate_depth	-24.4031418806512	44.3788415709996	24.5804292030287	[0,10)	other	[0.692,19.1]	FALSE
LV3003046965	ST8		129.5	6.32197664246912	2098826	73.24	8.09027861351887	7.78726487752125	60	60.7	1082	5.83198123821659	21.8323333333333	4.88503	7.57013874582794	-117.979549455062	-48.8238453600326	43.9995827413717	ST8	glacial_like	0.497721338568318	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2098826	1082	5.83198123821659	1082	0	0	adequate_depth	-117.979549455062	-48.8238453600326	43.9995827413717	[20,30)	other	(19.1,33.4]	FALSE
LV3003046966	ST8		89.5	5.90146431538148	797010	104.95	7.80654125846476	7.5208060354686	73.4	75	787	5.79871728277718	17.373	4.93222	7.34478712009314	-57.6078786049636	-45.7487104349361	-2.02294095748839	ST8	glacial_like	0.517922490817101	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	797010	787	5.79871728277718	787	0	0	adequate_depth	-57.6078786049636	-45.7487104349361	-2.02294095748839	[10,20)	other	[0.692,19.1]	FALSE
