sample	rarefaction_depth	rarefied_observed
LV3003046936	5000	749.077784159318
LV3003046937	5000	533.12798652729
LV3003046938	5000	574.958883324271
LV3003046939	5000	430.846471926942
LV3003046949	5000	682.394600165093
LV3003046950	5000	697.937851242031
LV3003046952	5000	534.442695813842
LV3003046953	5000	384.651652249249
LV3003046965	5000	766.869025573134
LV3003046966	5000	664.854374018013
LV3003046978	5000	701.434322073952
LV3003046979	5000	629.174516250944
LV3003046980	5000	491.153798936915
LV3003046993	5000	759.01726253241
LV3003046994	5000	430.240804280898
LV3003046995	5000	431.532266983042
LV3003047009	5000	506.277221747327
LV3003047010	5000	524.906915680582
LV3003047013	5000	430.527098116724
LV3003047026	5000	607.324088880851
LV3003047027	5000	622.330456032963
LV3003047028	5000	38
LV3003047041	5000	697.051662555748
LV3003047044	5000	513.162544352681
LV3003047045	5000	438.375818171057
LV3003047059	5000	168.975706740729
LV3003047060	5000	161.999863584777
LV3003047061	5000	108.999990098045
LV3003047062	5000	107.999991894625
LV3003047063	5000	56.9999999995674
LV3003047064	5000	34.9999999999995
LV3003047065	5000	269.140265669337
LV3003047067	5000	534.732109744145
LV3003047068	5000	419.546936746388
LV3003047069	5000	437.575157653052
LV3003047070	5000	471.020847834453
LV3003047071	5000	564.796106780115
LV3003047073	5000	
LV3003047074	5000	20
LV3003047077	5000	116.999929000584
LV3003047078	5000	44
LV3003047079	5000	342.676745381466
LV3003047080	5000	435.483542978048
LV3003047081	5000	521.170916275559
LV3003047082	5000	369.54702183784
LV3003047083	5000	430.049821021763
LV3003047084	5000	586.205721627437
LV3003047085	5000	559.507037155845
LV3003047087	5000	141.999908194776
LV3003047088	5000	111.999907899486
LV3003047089	5000	205.144308470356
LV3003047090	5000	160.756758908066
LV3003047091	5000	348.832771324221
LV3003047093	5000	414.5093217229
LV3003047094	5000	430.816375672587
LV3003047095	5000	403.285151937998
LV3003047096	5000	499.610543419684
LV3003047097	5000	497.733218047985
LV3003047098	5000	413.948552310752
LV3003047099	5000	568.525120099589
LV3003047100	5000	428.315226218827
LV3003047101	5000	334.248387477426
LV3003047104	5000	137.950293093529
LV3003047105	5000	113.998648623278
LV3003047106	5000	272.384576266285
LV3003047107	5000	427.619056774078
LV3003047110	5000	341.374101754694
LV3003047112	5000	474.273182493041
LV3003047113	5000	571.29957689318
LV3003047114	5000	411.575802653354
LV3003047117	5000	482.692571346274
LV3003047118	5000	652.883902881895
LV3003047122	5000	125.999948309986
LV3003047123	5000	81.9999999983484
LV3003047124	5000	144.994824002699
LV3003047125	5000	231.71001326969
LV3003047126	5000	353.554975939032
LV3003047127	5000	239.872806901408
LV3003047128	5000	522.969048168267
LV3003047129	5000	519.118819802636
LV3003047130	5000	449.663658772125
LV3003047131	5000	517.815967066306
LV3003047132	5000	733.050485269016
LV3003047133	5000	407.523157107409
LV3003047134	5000	417.681768358293
LV3003047136	5000	452.808481192313
LV3003047137	5000	333.987846537415
LV3003047138	5000	403.724671698716
LV3003047139	5000	346.173481002826
LV3003047140	5000	107.999999953334
LV3003047141	5000	27
LV3003047142	5000	427.620268483322
LV3003047143	5000	506.544250455658
LV3003047144	5000	648.431339276347
LV3003047145	5000	611.610146206579
LV3003047146	5000	552.560631076974
LV3003047147	5000	419.072494116756
LV3003047148	5000	391.08223395149
LV3003047149	5000	357.057317760814
LV3003047150	5000	481.179447762227
LV3003047152	5000	463.350426926247
LV3003047153	5000	504.288962034038
LV3003047154	5000	411.993675754703
LV3003047155	5000	402.132333359703
LV3003047156	5000	601.381600745398
LV3003047158	5000	367.238633518726
LV3003047159	5000	359.047850156022
LV3003047160	5000	24
LV3003047161	5000	30
LV3003047162	5000	52.9999999997067
LV3003047164	5000	376.769232678324
LV3003047166	5000	506.954790730721
LV3003047167	5000	380.080621034947
LV3003047168	5000	564.942052877514
LV3003047169	5000	600.458651144086
LV3003061473	5000	163.668152669523
LV3003061474	5000	563.07673424652
LV3003061475	5000	449.47618704227
LV3003061476	5000	603.443774243656
LV3003061477	5000	672.705667489422
LV3003061485	5000	675.775921077893
LV3003061486	5000	307.875421116824
LV3003061488	5000	643.909260179637
LV3003061489	5000	282.952251490917
LV3003061492	5000	729.828108087399
LV3003061500	5000	454.147006813673
LV3003061501	5000	495.391614697823
LV3003061503	5000	591.906057153739
LV3003061504	5000	421.492081457682
LV3003061505	5000	483.684446329493
LV3003061506	5000	424.834475686376
LV3003061513	5000	341.63208485324
LV3003061514	5000	706.164264587914
LV3003061515	5000	720.663667122557
LV3003061516	5000	426.756194696842
LV3003061517	5000	670.196143185577
LV3003061518	5000	671.067102450802
