sample	total_reads_from_counts	observed_taxa	singleton_taxa	doubleton_taxa	shannon_vegan	phyloseq_observed	phyloseq_shannon	phyloseq_chao1	vegan_observed	vegan_chao1	vegan_chao1_se	iNEXT_sample_coverage	richness_at_80pct_depth	rarefaction_slope_per_10k	chao1_gap	singleton_fraction	doubleton_fraction	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst	low_reads_50k	low_reads_100k	low_taxa_150	low_taxa_250	low_reads_or_taxa	low_reads_and_taxa	PC1	PC2	PC3	site_group	focus_age_band	qc_depth_class	chao1_caution
LV3003046936	1881184	1044	0	0	5.79036371112999	1044	5.79036371112999	1044	1044	1044	0	1	1044	0	0	0	0	ST8		139.5	6.27443150715505	1881184	189.42	8.18202560490086	7.75500706127122	62.8	63.9	1044	5.79036371112999	22.905	4.8619	7.62434576717752	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-111.637159194156	-47.6003203961922	36.3262296533435	ST8	other	adequate_depth	TRUE
LV3003046937	550640	592	0	0	5.19180560931416	592	5.19180560931416	592	592	592	0	1	592	0	0	0	0	ST8		99.5	5.74086854525352	550640	100.16	7.56858242168356	7.28648444872805	66.6	67.9	592	5.19180560931416	18.598	4.98412	7.40669227965178	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-33.1778185924624	-27.0208342045497	-6.51603614218834	ST8	other	adequate_depth	TRUE
LV3003046938	749210	658	0	0	5.58983006062237	658	5.58983006062237	658	658	658	0	1	658	0	0	0	0	ST8		55	5.87460414511034	749210	92.71	8.13146374049289	7.86544763633642	83.8	85.5	658	5.58983006062237	11.169	3.65408	6.64060093364877	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-27.0316122766786	56.574503812305	37.8708387791529	ST8	other	adequate_depth	TRUE
LV3003046939	1520501	541	0	0	4.86324339842374	541	4.86324339842374	541	541	541	0	1	541	0	0	0	0	ST8		15	6.18198699573197	1520501	137.77	8.24262129834256	8.16202407881504	79.3	79.8	541	4.86324339842374	2.42	3.2262	6.89400787736814	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-21.4396019321381	57.4546497862326	29.0509791601008	ST8	other	adequate_depth	TRUE
LV3003046949	1307775	916	0	0	5.31578030448818	916	5.31578030448818	916	916	916	0	1	916	0	0	0	0	ST8		134.5	6.11653336302888	1307775	140.56	7.78707156082083	7.57943717721456	56.4	57.8	916	5.31578030448818	22.3686666666667	4.87262666666667	7.59724225650273	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-88.1860221552295	-40.5350917012974	25.4116934567859	ST8	other	adequate_depth	TRUE
LV3003046950	827508	835	0	0	5.86240552233203	835	5.86240552233203	835	835	835	0	1	835	0	0	0	0	ST8		94.5	5.91777272586659	827508	104.24	7.73679962727509	7.48171898404423	72.2	73.7	835	5.86240552233203	18.099	5.01406	7.38147540241116	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-71.6821228162284	-38.9390929905013	14.8721101929565	ST8	other	adequate_depth	TRUE
LV3003046952	575975	591	0	0	5.55938229899026	591	5.55938229899026	591	591	591	0	1	591	0	0	0	0	ST8		50	5.7604043874428	575975	116.29	7.94660195781311	7.77954539733012	83.4	86	591	5.55938229899026	10.26	3.5408	6.52726089941695	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-11.6057949509437	60.1537682327424	40.2340791966256	ST8	other	adequate_depth	TRUE
LV3003046953	2200496	519	0	0	4.29430920270236	519	4.29430920270236	519	519	519	0	1	519	0	0	0	0	ST8		10	6.34252078081338	2200496	82.74	8.42960294421019	8.38770905248328	82.4	82.6	519	4.29430920270236	1.5215	3.203925	7.82527505425364	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-24.4031418806512	44.3788415709996	24.5804292030287	ST8	other	adequate_depth	TRUE
LV3003046965	2098826	1082	0	0	5.83198123821659	1082	5.83198123821659	1082	1082	1082	0	1	1082	0	0	0	0	ST8		129.5	6.32197664246912	2098826	73.24	8.09027861351887	7.78726487752125	60	60.7	1082	5.83198123821659	21.8323333333333	4.88503	7.57013874582794	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-117.979549455062	-48.8238453600326	43.9995827413717	ST8	other	adequate_depth	TRUE
LV3003046966	797010	787	0	0	5.79871728277718	787	5.79871728277718	787	787	787	0	1	787	0	0	0	0	ST8		89.5	5.90146431538148	797010	104.95	7.80654125846476	7.5208060354686	73.4	75	787	5.79871728277718	17.373	4.93222	7.34478712009314	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-57.6078786049636	-45.7487104349361	-2.02294095748839	ST8	other	adequate_depth	TRUE
