threshold_flag	flag_value	n	pct	median_reads	median_observed_taxa	median_shannon	median_chao1_gap	median_slope_per_10k	pct_likely_undersequenced	pct_low_diversity_saturated
low_reads_50k	FALSE	188	87.8504672897196	483588	538.5	5.28820571960508	0	0	0	5.85106382978723
low_reads_50k	TRUE	26	12.1495327102804	25429	74	3.61189755846849	0	0	0	88.4615384615385
low_reads_100k	FALSE	182	85.0467289719626	500132	539.5	5.30829367180771	0	0	0	2.74725274725275
low_reads_100k	TRUE	32	14.9532710280374	36918.5	93.5	3.8119222237057	0	0	0	90.625
low_taxa_150	FALSE	186	86.9158878504673	485232.5	539	5.29670641726325	0	0	0	4.83870967741936
low_taxa_150	TRUE	28	13.0841121495327	27628	83.5	3.66791592851554	0	0	0	89.2857142857143
low_taxa_250	FALSE	177	82.7102803738318	511586	541	5.31623130687781	0	0	0	0
low_taxa_250	TRUE	37	17.2897196261682	39371	108	3.89653074070307	0	0	0	91.8918918918919
low_reads_or_taxa	FALSE	177	82.7102803738318	511586	541	5.31623130687781	0	0	0	0
low_reads_or_taxa	TRUE	37	17.2897196261682	39371	108	3.89653074070307	0	0	0	91.8918918918919
low_reads_and_taxa	FALSE	182	85.0467289719626	500132	539.5	5.30829367180771	0	0	0	2.74725274725275
low_reads_and_taxa	TRUE	32	14.9532710280374	36918.5	93.5	3.8119222237057	0	0	0	90.625
