module	pearson_r	spearman_rho	rmse	variant	setting_id
MEblack	0.758220454218709	0.607776777677768	0.11979719658323	alr_panel_reference	exp3
MEpink	0.842190467683085	0.804536453645365	0.121828728115002	alr_panel_reference	exp3
MEred	0.817811534838551	0.785526552655266	0.125426749373502	alr_panel_reference	exp3
MEgreen	0.889852804331668	0.816345634563457	0.11941746172533	alr_panel_reference	exp3
MEturquoise	0.913370484809511	0.883240324032403	0.124439293519797	alr_panel_reference	exp3
MEbrown	0.920707850005628	0.915103510351035	0.118052430732807	alr_panel_reference	exp3
MEmagenta	0.71012339381825	0.496837683768377	0.127623189882521	alr_panel_reference	exp3
MEblue	0.937547904890847	0.860990099009901	0.13073226731834	alr_panel_reference	exp3
MEpurple	0.906884174867925	0.861050105010501	0.142620717185711	alr_panel_reference	exp3
MEyellow	0.924694602369774	0.921788178817882	0.134888112764512	alr_panel_reference	exp3
MEgrey	-0.097871475231094	-0.122844284428443	0.200807066985898	alr_panel_reference	exp3
