sample	MEbrown	MEblue	MEturquoise	MEyellow	MEgrey
LV3003046953	0.161378714789401	0.0775105385622108	0.0675430074533651	0.100921293249009	0.0843360858605116
LV3003046939	0.12763785463932	0.0366673771697112	0.0414360492564026	0.122566258092549	0.0536627958545541
LV3003047045	0.136398558983215	0.0525608446479467	0.0605646281715837	0.135036929181449	0.0781851093721164
LV3003047028	-0.0820437760794488	0.0709948938651168	0.131979271660308	0.11042325919013	0.136071993571229
LV3003047013	0.126757098911475	0.0541516495860048	0.0855693981787563	0.180046159940166	0.105403033072645
LV3003046995	0.0907368676993302	0.0279055046674966	0.0350131869024261	0.0992530597890083	0.0472636505860451
LV3003046980	0.103733379936972	0.0407693199339691	0.055261783540964	0.194339706569275	0.073871940018274
LV3003046952	0.102406688207207	0.0465563497098945	0.0613981882367249	0.200508120180985	0.0736080357911159
LV3003046938	0.0988228263818064	0.0484658805139197	0.0514324512478283	0.192943344631441	0.0535889164174272
LV3003047044	0.0579428650521208	0.0311436870506177	0.0398507286386786	0.0268850952593855	0.0156111483914908
LV3003047027	0.0983953349213864	0.0570679102705665	0.0364116124826653	0.155829745667909	0.03982545868017
LV3003047010	0.125210106479535	0.0653681031949645	0.076921920674265	0.206603814333408	0.0842916005863858
LV3003046994	-0.011074862413232	-0.0174842257201212	0.0425999619313489	-0.00745645611613689	0.00449452568967471
LV3003046979	0.00360317394565508	-0.0297353003331686	-0.041771488623149	-0.0305592225891121	-0.0511970008139574
LV3003046966	0.0213791323811786	0.039014572569383	-0.0206627211408876	-0.0502410097957429	-0.071738811684448
LV3003046950	0.0574066487204806	0.0854221588547102	-0.00965573812482713	-0.0383625064994822	-0.0572428958432946
LV3003046937	0.0506549594283518	0.024186492887944	-0.0254842537558758	-0.0320602766713435	-0.0478363426802595
LV3003047041	0.0129698210067649	0.0748322113995848	-0.0636828672992193	-0.107978502943023	-0.115784453881605
LV3003047026	0.00876216276193694	0.00837269468211905	0.0126645568597589	-0.063937476921322	-0.0664116944187078
LV3003047009	0.0361577262076218	0.0154784981204341	0.0677665171234833	-0.00156897139011265	0.0199921842273054
LV3003046993	0.0164704594337002	0.0208256173856314	0.0171160480705042	0.0634910042308994	-0.0532666714189581
LV3003046978	0.0523976577935205	0.118615809717248	-0.0139348071522532	-0.0601036624137359	-0.0440428965263256
LV3003046965	0.0394360372856157	0.11934323241445	-0.00763760511451731	-0.0947017672476113	-0.106022768591442
LV3003046949	0.0603340051606702	0.127201439280746	-0.0175398867222793	-0.0558750174895325	-0.0561150562757847
LV3003046936	0.0245378566719492	0.102332020294902	-0.0328840147807328	-0.104242926538749	-0.118119003693288
LV3003047145	0.0242224750879427	0.00700616634869819	-0.00932296693578423	-0.0536090715405395	-0.0471537285702176
LV3003047132	0.0434178095772463	0.122302067616918	-0.0189962408920955	-0.0858437937933802	-0.0960939159562972
LV3003047118	0.0625435050262659	0.1039161823821	-0.0303409653877848	-0.0543826893016029	-0.0700565483482888
LV3003047099	-0.0139361196199692	-0.0175944639100987	-0.0803262652369061	-0.0730554239356272	-0.102846473431963
LV3003047071	-0.00797436777876099	-0.0197494973206124	-0.0458829090652083	-0.0547949986006942	-0.0710746078886638
