module	pearson_r	spearman_rho	rmse	variant	setting_id
MEpurple	0.959182972228287	0.478943215792112	0.0344035753162714	deseq_length_log	exp3
MEmagenta	0.927966966626994	0.763272169311322	0.108424722073581	deseq_length_log	exp3
MEpink	0.890049630695595	0.76352464304167	0.122042885483025	deseq_length_log	exp3
MEyellow	0.966125129815848	0.411161116111611	0.0699681249978059	deseq_length_log	exp3
MEblack	0.831297153872602	0.755362176997756	0.0643262885564716	deseq_length_log	exp3
MEgreen	0.830703156288479	0.842472247224723	0.136330963333367	deseq_length_log	exp3
MEturquoise	0.899587329386386	0.775625562556256	0.142572744117936	deseq_length_log	exp3
MEred	0.823509175472653	0.839620260770294	0.0593361823754753	deseq_length_log	exp3
MEblue	0.980294842188645	0.768523157888721	0.0645525934167821	deseq_length_log	exp3
MEbrown	0.826107416323522	0.755249790731844	0.0696146671393604	deseq_length_log	exp3
MEgrey	-0.381844289727021	-0.859177917791779	0.172722338797836	deseq_length_log	exp3
