variant	setting_id	metric	value	scaled	label	row_label
current_taxon_centered_log	exp3	grey_pct	28.6588759042849	0.829081632653061	28.66	exp3 | current_taxon_centered_log
deseq_length_log	exp3	grey_pct	37.6182526432944	0.418367346938776	37.62	exp3 | deseq_length_log
log_depth_residualized	exp3	grey_pct	40.4563160823595	0.288265306122449	40.46	exp3 | log_depth_residualized
sample_clr_raw	exp3	grey_pct	24.9304396215915	1	24.93	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	grey_pct	28.6588759042849	0.829081632653061	28.66	exp4 | current_taxon_centered_log
deseq_length_log	exp4	grey_pct	37.6182526432944	0.418367346938776	37.62	exp4 | deseq_length_log
log_depth_residualized	exp4	grey_pct	40.4563160823595	0.288265306122449	40.46	exp4 | log_depth_residualized
sample_clr_raw	exp4	grey_pct	24.9304396215915	1	24.93	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	grey_pct	34.0567612687813	0.581632653061224	34.06	opt5 | current_taxon_centered_log
deseq_length_log	opt5	grey_pct	43.0161380077908	0.170918367346939	43.02	opt5 | deseq_length_log
log_depth_residualized	opt5	grey_pct	46.7445742904842	0	46.74	opt5 | log_depth_residualized
sample_clr_raw	opt5	grey_pct	39.5102949360045	0.331632653061225	39.51	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	mean_ref_best_jaccard	1	1	1.00	exp3 | current_taxon_centered_log
deseq_length_log	exp3	mean_ref_best_jaccard	0.632781653427731	0.361113209908175	0.63	exp3 | deseq_length_log
log_depth_residualized	exp3	mean_ref_best_jaccard	0.487703587537785	0.108706268113623	0.49	exp3 | log_depth_residualized
sample_clr_raw	exp3	mean_ref_best_jaccard	0.425221569349572	0	0.43	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	mean_ref_best_jaccard	1	1	1.00	exp4 | current_taxon_centered_log
deseq_length_log	exp4	mean_ref_best_jaccard	0.50794981498264	0.143930671753725	0.51	exp4 | deseq_length_log
log_depth_residualized	exp4	mean_ref_best_jaccard	0.457517169759809	0.0561879129209684	0.46	exp4 | log_depth_residualized
sample_clr_raw	exp4	mean_ref_best_jaccard	0.448868237944671	0.0411404940306125	0.45	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	mean_ref_best_jaccard	1	1	1.00	opt5 | current_taxon_centered_log
deseq_length_log	opt5	mean_ref_best_jaccard	0.534008573868749	0.18926772251365	0.53	opt5 | deseq_length_log
log_depth_residualized	opt5	mean_ref_best_jaccard	0.496288371505442	0.123642082524651	0.50	opt5 | log_depth_residualized
sample_clr_raw	opt5	mean_ref_best_jaccard	0.497026316763159	0.124925960308447	0.50	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	min_ref_best_jaccard	1	1	1.00	exp3 | current_taxon_centered_log
deseq_length_log	exp3	min_ref_best_jaccard	0.52755905511811	0.481493384755477	0.53	exp3 | deseq_length_log
log_depth_residualized	exp3	min_ref_best_jaccard	0.0888429752066116	0	0.09	exp3 | log_depth_residualized
sample_clr_raw	exp3	min_ref_best_jaccard	0.173728813559322	0.0931626888043353	0.17	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	min_ref_best_jaccard	1	1	1.00	exp4 | current_taxon_centered_log
deseq_length_log	exp4	min_ref_best_jaccard	0.182890855457227	0.103218081726299	0.18	exp4 | deseq_length_log
log_depth_residualized	exp4	min_ref_best_jaccard	0.14453125	0.0611181972789116	0.14	exp4 | log_depth_residualized
sample_clr_raw	exp4	min_ref_best_jaccard	0.173728813559322	0.0931626888043353	0.17	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	min_ref_best_jaccard	1	1	1.00	opt5 | current_taxon_centered_log
deseq_length_log	opt5	min_ref_best_jaccard	0.172727272727273	0.0920634920634921	0.17	opt5 | deseq_length_log
log_depth_residualized	opt5	min_ref_best_jaccard	0.169184290030212	0.0881750484685314	0.17	opt5 | log_depth_residualized
sample_clr_raw	opt5	min_ref_best_jaccard	0.302197802197802	0.234158132117316	0.30	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	bio_pres_strong	6	0.75	6.00	exp3 | current_taxon_centered_log
deseq_length_log	exp3	bio_pres_strong	6	0.75	6.00	exp3 | deseq_length_log
log_depth_residualized	exp3	bio_pres_strong	3	0	3.00	exp3 | log_depth_residualized
sample_clr_raw	exp3	bio_pres_strong	7	1	7.00	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	bio_pres_strong	7	1	7.00	exp4 | current_taxon_centered_log
deseq_length_log	exp4	bio_pres_strong	7	1	7.00	exp4 | deseq_length_log
log_depth_residualized	exp4	bio_pres_strong	3	0	3.00	exp4 | log_depth_residualized
sample_clr_raw	exp4	bio_pres_strong	7	1	7.00	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	bio_pres_strong	5	0.5	5.00	opt5 | current_taxon_centered_log
deseq_length_log	opt5	bio_pres_strong	6	0.75	6.00	opt5 | deseq_length_log
log_depth_residualized	opt5	bio_pres_strong	3	0	3.00	opt5 | log_depth_residualized
sample_clr_raw	opt5	bio_pres_strong	6	0.75	6.00	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	bio_pres_moderate	2	0.142857142857143	2.00	exp3 | current_taxon_centered_log
deseq_length_log	exp3	bio_pres_moderate	4	0.285714285714286	4.00	exp3 | deseq_length_log
log_depth_residualized	exp3	bio_pres_moderate	14	1	14.00	exp3 | log_depth_residualized
sample_clr_raw	exp3	bio_pres_moderate	11	0.785714285714286	11.00	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	bio_pres_moderate	2	0.142857142857143	2.00	exp4 | current_taxon_centered_log
deseq_length_log	exp4	bio_pres_moderate	7	0.5	7.00	exp4 | deseq_length_log
log_depth_residualized	exp4	bio_pres_moderate	14	1	14.00	exp4 | log_depth_residualized
sample_clr_raw	exp4	bio_pres_moderate	11	0.785714285714286	11.00	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	bio_pres_moderate	0	0	0.00	opt5 | current_taxon_centered_log
deseq_length_log	opt5	bio_pres_moderate	1	0.0714285714285714	1.00	opt5 | deseq_length_log
log_depth_residualized	opt5	bio_pres_moderate	7	0.5	7.00	opt5 | log_depth_residualized
sample_clr_raw	opt5	bio_pres_moderate	2	0.142857142857143	2.00	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	mean_concordance_pearson	0.910140685987339	0.987021707601384	0.91	exp3 | current_taxon_centered_log
deseq_length_log	exp3	mean_concordance_pearson	0.893482377289901	0.886557069501605	0.89	exp3 | deseq_length_log
log_depth_residualized	exp3	mean_concordance_pearson	0.787267995236257	0.245988471102899	0.79	exp3 | log_depth_residualized
sample_clr_raw	exp3	mean_concordance_pearson	0.867091136874284	0.727394067691765	0.87	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	mean_concordance_pearson	0.906697317470389	0.966255087280992	0.91	exp4 | current_taxon_centered_log
deseq_length_log	exp4	mean_concordance_pearson	0.880021735429155	0.805377248807167	0.88	exp4 | deseq_length_log
log_depth_residualized	exp4	mean_concordance_pearson	0.787267995236257	0.245988471102899	0.79	exp4 | log_depth_residualized
sample_clr_raw	exp4	mean_concordance_pearson	0.867091136874284	0.727394067691765	0.87	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	mean_concordance_pearson	0.912292651148723	1	0.91	opt5 | current_taxon_centered_log
deseq_length_log	opt5	mean_concordance_pearson	0.892174566461946	0.878669789711091	0.89	opt5 | deseq_length_log
log_depth_residualized	opt5	mean_concordance_pearson	0.746479992958549	0	0.75	opt5 | log_depth_residualized
sample_clr_raw	opt5	mean_concordance_pearson	0.906527284665103	0.965229635984678	0.91	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	mean_concordance_spearman	0.725710927800821	0.071828636187942	0.73	exp3 | current_taxon_centered_log
deseq_length_log	exp3	mean_concordance_spearman	0.715375434042631	0	0.72	exp3 | deseq_length_log
log_depth_residualized	exp3	mean_concordance_spearman	0.778083558355836	0.435802986553241	0.78	exp3 | log_depth_residualized
sample_clr_raw	exp3	mean_concordance_spearman	0.831217788445511	0.805070229273361	0.83	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	mean_concordance_spearman	0.73875374800417	0.162472393435511	0.74	exp4 | current_taxon_centered_log
deseq_length_log	exp4	mean_concordance_spearman	0.746330659617127	0.215129696551203	0.75	exp4 | deseq_length_log
log_depth_residualized	exp4	mean_concordance_spearman	0.778083558355836	0.435802986553241	0.78	exp4 | log_depth_residualized
sample_clr_raw	exp4	mean_concordance_spearman	0.831217788445511	0.805070229273361	0.83	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	mean_concordance_spearman	0.726151815181518	0.0748926735729867	0.73	opt5 | current_taxon_centered_log
deseq_length_log	opt5	mean_concordance_spearman	0.761598168370556	0.321234383700504	0.76	opt5 | deseq_length_log
log_depth_residualized	opt5	mean_concordance_spearman	0.769033303330333	0.372906380852152	0.77	opt5 | log_depth_residualized
sample_clr_raw	opt5	mean_concordance_spearman	0.859266426642664	1	0.86	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	mean_concordance_rmse	0.0782906331610261	1	0.08	exp3 | current_taxon_centered_log
deseq_length_log	exp3	mean_concordance_rmse	0.0871572746810076	0.858059340581471	0.09	exp3 | deseq_length_log
log_depth_residualized	exp3	mean_concordance_rmse	0.13768278406898	0.0492272586906858	0.14	exp3 | log_depth_residualized
sample_clr_raw	exp3	mean_concordance_rmse	0.136943319632245	0.0610648941167032	0.14	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	mean_concordance_rmse	0.0848220068293086	0.895443220153241	0.08	exp4 | current_taxon_centered_log
deseq_length_log	exp4	mean_concordance_rmse	0.100535993813702	0.643887581004808	0.10	exp4 | deseq_length_log
log_depth_residualized	exp4	mean_concordance_rmse	0.13768278406898	0.0492272586906858	0.14	exp4 | log_depth_residualized
sample_clr_raw	exp4	mean_concordance_rmse	0.136943319632245	0.0610648941167032	0.14	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	mean_concordance_rmse	0.0916926594697236	0.785455130049628	0.09	opt5 | current_taxon_centered_log
deseq_length_log	opt5	mean_concordance_rmse	0.100217546955008	0.648985402655874	0.10	opt5 | deseq_length_log
log_depth_residualized	opt5	mean_concordance_rmse	0.140757875150068	0	0.14	opt5 | log_depth_residualized
sample_clr_raw	opt5	mean_concordance_rmse	0.133350417455929	0.118581474998353	0.13	opt5 | sample_clr_raw
current_taxon_centered_log	exp3	cor_PC1_log_total	-0.893685515232153	0	-0.89	exp3 | current_taxon_centered_log
deseq_length_log	exp3	cor_PC1_log_total	-0.876510878328898	0.0192177635314964	-0.88	exp3 | deseq_length_log
log_depth_residualized	exp3	cor_PC1_log_total	-1.13363098481356e-13	0.999999999999873	-0.00	exp3 | log_depth_residualized
sample_clr_raw	exp3	cor_PC1_log_total	0.769016800544585	0.139499535980711	0.77	exp3 | sample_clr_raw
current_taxon_centered_log	exp4	cor_PC1_log_total	-0.893685515232153	0	-0.89	exp4 | current_taxon_centered_log
deseq_length_log	exp4	cor_PC1_log_total	-0.876510878328898	0.0192177635314964	-0.88	exp4 | deseq_length_log
log_depth_residualized	exp4	cor_PC1_log_total	-1.13363098481356e-13	0.999999999999873	-0.00	exp4 | log_depth_residualized
sample_clr_raw	exp4	cor_PC1_log_total	0.769016800544585	0.139499535980711	0.77	exp4 | sample_clr_raw
current_taxon_centered_log	opt5	cor_PC1_log_total	-0.893685515232153	0	-0.89	opt5 | current_taxon_centered_log
deseq_length_log	opt5	cor_PC1_log_total	-0.876510878328898	0.0192177635314964	-0.88	opt5 | deseq_length_log
log_depth_residualized	opt5	cor_PC1_log_total	-1.13363098481356e-13	0.999999999999873	-0.00	opt5 | log_depth_residualized
sample_clr_raw	opt5	cor_PC1_log_total	0.769016800544585	0.139499535980711	0.77	opt5 | sample_clr_raw
