module	Zsummary	Zdensity	Zconnectivity	preserved	module_type	variant	setting_id
black	8.30190070654043	12.2836331144238	4.32016829865707	moderate	biological	log_depth_residualized	exp4
blue	18.4182741583774	26.2040608217308	10.6324874950241	strong	biological	log_depth_residualized	exp4
brown	6.49346342955814	8.91277054783477	4.07415631128152	moderate	biological	log_depth_residualized	exp4
cyan	4.03963861215739	6.40012994376633	1.67914728054844	moderate	biological	log_depth_residualized	exp4
gold	24.2245824566665	8.35476098026553	40.0944039330674	strong	technical	log_depth_residualized	exp4
green	14.5739550224313	24.5965991783663	4.55131086649629	strong	biological	log_depth_residualized	exp4
greenyellow	6.69200170333044	7.81619170944631	5.56781169721457	moderate	biological	log_depth_residualized	exp4
grey	16.3690440370491	4.40149077237935	28.3365973017189	strong	technical	log_depth_residualized	exp4
grey60	3.08322560433376	6.58783855364949	-0.42138734498197	moderate	biological	log_depth_residualized	exp4
lightcyan	7.67349405270656	12.5999410198509	2.74704708556222	moderate	biological	log_depth_residualized	exp4
magenta	8.4538836652305	12.7107757521868	4.19699157827424	moderate	biological	log_depth_residualized	exp4
midnightblue	3.31750734542447	4.8663390549092	1.76867563593974	moderate	biological	log_depth_residualized	exp4
pink	7.92647754409302	9.135828646571	6.71712644161503	moderate	biological	log_depth_residualized	exp4
purple	5.55490580948987	6.85973678630088	4.25007483267886	moderate	biological	log_depth_residualized	exp4
red	7.62718077520792	11.4626054254702	3.79175612494565	moderate	biological	log_depth_residualized	exp4
salmon	6.66795387085471	11.8084309879363	1.52747675377317	moderate	biological	log_depth_residualized	exp4
tan	8.61589743640001	14.1354961755168	3.09629869728324	moderate	biological	log_depth_residualized	exp4
turquoise	23.7730874345769	33.2790225055675	14.2671523635864	strong	biological	log_depth_residualized	exp4
yellow	5.93930280867419	10.0177686740676	1.86083694328074	moderate	biological	log_depth_residualized	exp4
