ref_module	best_test_module	best_jaccard	ref_size	test_size	variant	setting_id
black	black	1	74	74	current_taxon_centered_log	exp3
blue	blue	1	202	202	current_taxon_centered_log	exp3
brown	brown	1	148	148	current_taxon_centered_log	exp3
green	green	1	107	107	current_taxon_centered_log	exp3
pink	pink	1	44	44	current_taxon_centered_log	exp3
red	red	1	105	105	current_taxon_centered_log	exp3
turquoise	turquoise	1	483	483	current_taxon_centered_log	exp3
yellow	yellow	1	119	119	current_taxon_centered_log	exp3
black	black	1	105	105	current_taxon_centered_log	exp4
blue	blue	1	230	230	current_taxon_centered_log	exp4
brown	brown	1	202	202	current_taxon_centered_log	exp4
green	green	1	119	119	current_taxon_centered_log	exp4
magenta	magenta	1	44	44	current_taxon_centered_log	exp4
pink	pink	1	74	74	current_taxon_centered_log	exp4
red	red	1	107	107	current_taxon_centered_log	exp4
turquoise	turquoise	1	253	253	current_taxon_centered_log	exp4
yellow	yellow	1	148	148	current_taxon_centered_log	exp4
blue	blue	1	320	320	current_taxon_centered_log	opt5
brown	brown	1	259	259	current_taxon_centered_log	opt5
green	green	1	107	107	current_taxon_centered_log	opt5
turquoise	turquoise	1	338	338	current_taxon_centered_log	opt5
yellow	yellow	1	161	161	current_taxon_centered_log	opt5
black	salmon	0.493506493506494	74	41	sample_clr_raw	exp3
blue	black	0.173728813559322	202	75	sample_clr_raw	exp3
brown	blue	0.408450704225352	148	152	sample_clr_raw	exp3
green	brown	0.657342657342657	107	130	sample_clr_raw	exp3
pink	tan	0.457627118644068	44	42	sample_clr_raw	exp3
red	pink	0.356060606060606	105	74	sample_clr_raw	exp3
turquoise	turquoise	0.374741200828157	483	181	sample_clr_raw	exp3
yellow	magenta	0.480314960629921	119	69	sample_clr_raw	exp3
black	pink	0.356060606060606	105	74	sample_clr_raw	exp4
blue	green	0.330612244897959	230	96	sample_clr_raw	exp4
brown	black	0.173728813559322	202	75	sample_clr_raw	exp4
green	magenta	0.480314960629921	119	69	sample_clr_raw	exp4
magenta	tan	0.457627118644068	44	42	sample_clr_raw	exp4
pink	salmon	0.493506493506494	74	41	sample_clr_raw	exp4
red	brown	0.657342657342657	107	130	sample_clr_raw	exp4
turquoise	turquoise	0.682170542635659	253	181	sample_clr_raw	exp4
yellow	blue	0.408450704225352	148	152	sample_clr_raw	exp4
blue	yellow	0.302197802197802	320	154	sample_clr_raw	opt5
brown	blue	0.662878787878788	259	180	sample_clr_raw	opt5
green	green	0.657342657342657	107	130	sample_clr_raw	opt5
turquoise	brown	0.35978835978836	338	176	sample_clr_raw	opt5
yellow	red	0.502923976608187	161	96	sample_clr_raw	opt5
black	black	0.821428571428571	74	79	deseq_length_log	exp3
blue	brown	0.538116591928251	202	141	deseq_length_log	exp3
brown	blue	0.642857142857143	148	174	deseq_length_log	exp3
green	yellow	0.829268292682927	107	118	deseq_length_log	exp3
pink	purple	0.615384615384615	44	40	deseq_length_log	exp3
red	red	0.528455284552846	105	83	deseq_length_log	exp3
turquoise	turquoise	0.559183673469388	483	281	deseq_length_log	exp3
yellow	pink	0.52755905511811	119	75	deseq_length_log	exp3
black	yellow	0.528455284552846	105	83	deseq_length_log	exp4
blue	blue	0.182890855457227	230	171	deseq_length_log	exp4
brown	red	0.311320754716981	202	76	deseq_length_log	exp4
green	pink	0.52755905511811	119	75	deseq_length_log	exp4
magenta	cyan	0.615384615384615	44	40	deseq_length_log	exp4
pink	green	0.821428571428571	74	79	deseq_length_log	exp4
red	black	0.550847457627119	107	76	deseq_length_log	exp4
turquoise	brown	0.390804597701149	253	110	deseq_length_log	exp4
yellow	turquoise	0.642857142857143	148	174	deseq_length_log	exp4
blue	red	0.172727272727273	320	67	deseq_length_log	opt5
brown	yellow	0.385185185185185	259	115	deseq_length_log	opt5
green	green	0.559322033898305	107	77	deseq_length_log	opt5
turquoise	turquoise	0.669767441860465	338	380	deseq_length_log	opt5
yellow	brown	0.883040935672515	161	161	deseq_length_log	opt5
black	green	0.775	74	68	log_depth_residualized	exp3
blue	brown	0.269565217391304	202	90	log_depth_residualized	exp3
brown	turquoise	0.579185520361991	148	201	log_depth_residualized	exp3
green	blue	0.836065573770492	107	117	log_depth_residualized	exp3
pink	cyan	0.627450980392157	44	39	log_depth_residualized	exp3
red	greenyellow	0.330357142857143	105	44	log_depth_residualized	exp3
turquoise	tan	0.0888429752066116	483	44	log_depth_residualized	exp3
yellow	pink	0.395161290322581	119	54	log_depth_residualized	exp3
black	greenyellow	0.330357142857143	105	44	log_depth_residualized	exp4
blue	purple	0.160337552742616	230	45	log_depth_residualized	exp4
brown	brown	0.269565217391304	202	90	log_depth_residualized	exp4
green	pink	0.395161290322581	119	54	log_depth_residualized	exp4
magenta	cyan	0.627450980392157	44	39	log_depth_residualized	exp4
pink	green	0.775	74	68	log_depth_residualized	exp4
red	blue	0.836065573770492	107	117	log_depth_residualized	exp4
turquoise	salmon	0.14453125	253	40	log_depth_residualized	exp4
yellow	turquoise	0.579185520361991	148	201	log_depth_residualized	exp4
blue	green	0.169184290030212	320	67	log_depth_residualized	opt5
brown	black	0.212927756653992	259	60	log_depth_residualized	opt5
green	blue	0.836065573770492	107	117	log_depth_residualized	opt5
turquoise	turquoise	0.72289156626506	338	377	log_depth_residualized	opt5
yellow	brown	0.540372670807454	161	87	log_depth_residualized	opt5
