module	Zsummary	Zdensity	Zconnectivity	preserved	module_type	variant	setting_id
black	10.4039705863288	15.4602664633367	5.34767470932088	strong	biological	current_taxon_centered_log	exp3
blue	10.4067244737872	14.5558290918105	6.25761985576386	strong	biological	current_taxon_centered_log	exp3
brown	20.0033754519909	28.287336868879	11.7194140351028	strong	biological	current_taxon_centered_log	exp3
gold	20.9348021311165	2.98756439969545	38.8820398625376	strong	technical	current_taxon_centered_log	exp3
green	12.8637406205098	16.1550967717	9.57238446931956	strong	biological	current_taxon_centered_log	exp3
grey	14.1572019037046	4.44191178077143	23.8724920266377	strong	technical	current_taxon_centered_log	exp3
pink	4.51170568889378	7.24888298342409	1.77452839436348	moderate	biological	current_taxon_centered_log	exp3
red	8.45179098174592	10.6179946764143	6.28558728707756	moderate	biological	current_taxon_centered_log	exp3
turquoise	23.5690443901968	22.1516048920958	24.9864838882978	strong	biological	current_taxon_centered_log	exp3
yellow	12.6240500527951	14.9511177384356	10.2969823671545	strong	biological	current_taxon_centered_log	exp3
black	8.45179098174592	10.6179946764143	6.28558728707756	moderate	biological	current_taxon_centered_log	exp4
blue	13.3322040986826	11.8393910961379	14.8250171012273	strong	biological	current_taxon_centered_log	exp4
brown	10.4067244737872	14.5558290918105	6.25761985576386	strong	biological	current_taxon_centered_log	exp4
gold	20.9348021311165	2.98756439969545	38.8820398625376	strong	technical	current_taxon_centered_log	exp4
green	12.6240500527951	14.9511177384356	10.2969823671545	strong	biological	current_taxon_centered_log	exp4
grey	14.1572019037046	4.44191178077143	23.8724920266377	strong	technical	current_taxon_centered_log	exp4
magenta	4.51170568889378	7.24888298342409	1.77452839436348	moderate	biological	current_taxon_centered_log	exp4
pink	10.4039705863288	15.4602664633367	5.34767470932088	strong	biological	current_taxon_centered_log	exp4
red	12.8637406205098	16.1550967717	9.57238446931956	strong	biological	current_taxon_centered_log	exp4
turquoise	22.3835154256153	26.5875923247036	18.179438526527	strong	biological	current_taxon_centered_log	exp4
yellow	20.0033754519909	28.287336868879	11.7194140351028	strong	biological	current_taxon_centered_log	exp4
blue	16.0879369885808	16.2036975061523	15.9721764710092	strong	biological	current_taxon_centered_log	opt5
brown	22.2756503636492	26.5449769098644	18.0063238174341	strong	biological	current_taxon_centered_log	opt5
gold	20.9348021311165	2.98756439969545	38.8820398625376	strong	technical	current_taxon_centered_log	opt5
green	12.8637406205098	16.1550967717	9.57238446931956	strong	biological	current_taxon_centered_log	opt5
grey	17.7047413465323	8.63684061465922	26.7726420784053	strong	technical	current_taxon_centered_log	opt5
turquoise	21.1684590832026	29.2850041257654	13.0519140406399	strong	biological	current_taxon_centered_log	opt5
yellow	12.5027252150665	14.6891414913338	10.3163089387992	strong	biological	current_taxon_centered_log	opt5
black	6.34450657297445	8.12801128103727	4.56100186491162	moderate	biological	sample_clr_raw	exp3
blue	32.2247895604884	53.8858547449022	10.5637243760746	strong	biological	sample_clr_raw	exp3
brown	18.2908376520174	25.582036953758	10.9996383502769	strong	biological	sample_clr_raw	exp3
cyan	10.5848368659033	17.3643477066209	3.80532602518572	strong	biological	sample_clr_raw	exp3
gold	26.5491464559725	14.8806610024256	38.2176319095194	strong	technical	sample_clr_raw	exp3
green	6.0180071921806	4.90469519689455	7.13131918746664	moderate	biological	sample_clr_raw	exp3
greenyellow	12.868158275254	19.9685170861519	5.76779946435608	strong	biological	sample_clr_raw	exp3
grey	15.6866834378011	7.27166497362231	24.1017019019799	strong	technical	sample_clr_raw	exp3
grey60	4.53845112708841	5.37563838072571	3.7012638734511	moderate	biological	sample_clr_raw	exp3
lightcyan	6.35873816413843	9.03143970571704	3.68603662255981	moderate	biological	sample_clr_raw	exp3
lightgreen	5.5525954140234	7.19863056268218	3.90656026536461	moderate	biological	sample_clr_raw	exp3
lightyellow	1.55439370332639	0.373307069632728	2.73548033702006	weak	biological	sample_clr_raw	exp3
magenta	10.3634758994437	11.2116816039594	9.51527019492801	strong	biological	sample_clr_raw	exp3
midnightblue	2.38705143590983	3.77306139602217	1.0010414757975	moderate	biological	sample_clr_raw	exp3
pink	6.68276073778385	6.80719396421817	6.55832751134953	moderate	biological	sample_clr_raw	exp3
purple	8.28983927218245	11.7203700014274	4.85930854293753	moderate	biological	sample_clr_raw	exp3
red	6.92354581892129	7.42476755979025	6.42232407805233	moderate	biological	sample_clr_raw	exp3
salmon	14.1453823353853	23.0153809516793	5.27538371909126	strong	biological	sample_clr_raw	exp3
tan	5.79641511799077	8.27123357660684	3.3215966593747	moderate	biological	sample_clr_raw	exp3
turquoise	14.5648257962147	14.7356201372972	14.3940314551323	strong	biological	sample_clr_raw	exp3
yellow	9.73971223755499	11.9190783875006	7.56034608760939	moderate	biological	sample_clr_raw	exp3
black	6.34450657297445	8.12801128103727	4.56100186491162	moderate	biological	sample_clr_raw	exp4
