module	Zsummary	Zdensity	Zconnectivity	preserved	module_type	variant	setting_id
black	6.34450657297445	8.12801128103727	4.56100186491162	moderate	biological	sample_clr_raw	exp4
blue	32.2247895604884	53.8858547449022	10.5637243760746	strong	biological	sample_clr_raw	exp4
brown	18.2908376520174	25.582036953758	10.9996383502769	strong	biological	sample_clr_raw	exp4
cyan	10.5848368659033	17.3643477066209	3.80532602518572	strong	biological	sample_clr_raw	exp4
gold	26.5491464559725	14.8806610024256	38.2176319095194	strong	technical	sample_clr_raw	exp4
green	6.0180071921806	4.90469519689455	7.13131918746664	moderate	biological	sample_clr_raw	exp4
greenyellow	12.868158275254	19.9685170861519	5.76779946435608	strong	biological	sample_clr_raw	exp4
grey	15.6866834378011	7.27166497362231	24.1017019019799	strong	technical	sample_clr_raw	exp4
grey60	4.53845112708841	5.37563838072571	3.7012638734511	moderate	biological	sample_clr_raw	exp4
lightcyan	6.35873816413843	9.03143970571704	3.68603662255981	moderate	biological	sample_clr_raw	exp4
lightgreen	5.5525954140234	7.19863056268218	3.90656026536461	moderate	biological	sample_clr_raw	exp4
lightyellow	1.55439370332639	0.373307069632728	2.73548033702006	weak	biological	sample_clr_raw	exp4
magenta	10.3634758994437	11.2116816039594	9.51527019492801	strong	biological	sample_clr_raw	exp4
midnightblue	2.38705143590983	3.77306139602217	1.0010414757975	moderate	biological	sample_clr_raw	exp4
pink	6.68276073778385	6.80719396421817	6.55832751134953	moderate	biological	sample_clr_raw	exp4
purple	8.28983927218245	11.7203700014274	4.85930854293753	moderate	biological	sample_clr_raw	exp4
red	6.92354581892129	7.42476755979025	6.42232407805233	moderate	biological	sample_clr_raw	exp4
salmon	14.1453823353853	23.0153809516793	5.27538371909126	strong	biological	sample_clr_raw	exp4
tan	5.79641511799077	8.27123357660684	3.3215966593747	moderate	biological	sample_clr_raw	exp4
turquoise	14.5648257962147	14.7356201372972	14.3940314551323	strong	biological	sample_clr_raw	exp4
yellow	9.73971223755499	11.9190783875006	7.56034608760939	moderate	biological	sample_clr_raw	exp4
