variant	PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
current_taxon_centered_log	PC1	detected_taxa	technical	-0.987367370050766	-0.979702977294534	0.987367370050766
current_taxon_centered_log	PC1	log_total_reads	technical	-0.893685515232153	-0.905901656406599	0.893685515232153
current_taxon_centered_log	PC1	log_derep	technical	-0.817800347914208	-0.822442763514362	0.817800347914208
current_taxon_centered_log	PC1	shannon_raw	technical	-0.776494712906256	-0.774143404220148	0.776494712906256
current_taxon_centered_log	PC1	total_reads	technical	-0.739724355242772	-0.905901656406599	0.739724355242772
current_taxon_centered_log	PC2	mis	biological_proxy	-0.438047866887941	-0.469053300581903	0.438047866887941
current_taxon_centered_log	PC2	core	core_or_batch	0.274449847612817		0.274449847612817
current_taxon_centered_log	PC2	age_kyr	biological_proxy	0.257370239834584	0.358147785915771	0.257370239834584
current_taxon_centered_log	PC2	log_derep	technical	0.245569174130207	0.122948777210098	0.245569174130207
current_taxon_centered_log	PC2	log_total_reads	technical	0.195092395158463	0.0792791524194067	0.195092395158463
current_taxon_centered_log	PC3	total_reads	technical	0.339951955081658	0.0686115388265258	0.339951955081658
current_taxon_centered_log	PC3	shannon_raw	technical	-0.329409285427161	-0.148780271282116	0.329409285427161
current_taxon_centered_log	PC3	mis	biological_proxy	-0.31814367959653	-0.264114624573338	0.31814367959653
current_taxon_centered_log	PC3	avg_leng_initial	technical	0.201181755520678	0.205256307180141	0.201181755520678
current_taxon_centered_log	PC3	core	core_or_batch	0.199317346305673		0.199317346305673
deseq_length_log	PC1	detected_taxa	technical	-0.910897689473379	-0.916800084269142	0.910897689473379
deseq_length_log	PC1	log_total_reads	technical	-0.876510878328898	-0.79185418968932	0.876510878328898
deseq_length_log	PC1	shannon_raw	technical	-0.855382974792165	-0.795190880120978	0.855382974792165
deseq_length_log	PC1	log_derep	technical	-0.81561166347001	-0.716279682004218	0.81561166347001
deseq_length_log	PC1	total_reads	technical	-0.579053569608772	-0.79185418968932	0.579053569608772
deseq_length_log	PC2	mis	biological_proxy	-0.428463221514181	-0.495671273348701	0.428463221514181
deseq_length_log	PC2	age_kyr	biological_proxy	0.259403950572871	0.365320194642259	0.259403950572871
deseq_length_log	PC2	core	core_or_batch	0.250624689460881		0.250624689460881
deseq_length_log	PC2	log_derep	technical	0.244189586814208	0.125414866945643	0.244189586814208
deseq_length_log	PC2	log_total_reads	technical	0.197634506322943	0.0829635933400884	0.197634506322943
deseq_length_log	PC3	total_reads	technical	0.514678509507427	0.365995757199139	0.514678509507427
deseq_length_log	PC3	detected_taxa	technical	0.313102777041907	0.313037739172849	0.313102777041907
deseq_length_log	PC3	library_concentration	technical	0.294581598439237	0.196493228044906	0.294581598439237
deseq_length_log	PC3	age_kyr	biological_proxy	-0.220042770285612	-0.249045132917261	0.220042770285612
deseq_length_log	PC3	core	core_or_batch	0.216260690322701		0.216260690322701
log_depth_residualized	PC1	mis	biological_proxy	-0.535713366163586	-0.573233557826613	0.535713366163586
log_depth_residualized	PC1	age_kyr	biological_proxy	0.324989724973491	0.362516128746628	0.324989724973491
log_depth_residualized	PC1	detected_taxa	technical	-0.316380631506518	-0.260808048285937	0.316380631506518
log_depth_residualized	PC1	core	core_or_batch	0.311876255016116		0.311876255016116
log_depth_residualized	PC1	library_concentration	technical	-0.244701977211976	-0.194575701287081	0.244701977211976
log_depth_residualized	PC2	total_reads	technical	0.306100499906341	0.171950984323677	0.306100499906341
log_depth_residualized	PC2	avg_leng_initial	technical	0.233572003337224	0.206142848286417	0.233572003337224
log_depth_residualized	PC2	mis	biological_proxy	-0.221554266692646	-0.262434011470825	0.221554266692646
log_depth_residualized	PC2	detected_taxa	technical	0.213874782145158	0.182576470470714	0.213874782145158
log_depth_residualized	PC2	library_concentration	technical	0.205030436108996	0.0932951460614347	0.205030436108996
log_depth_residualized	PC3	shannon_raw	technical	0.340483128588267	0.433399352865727	0.340483128588267
log_depth_residualized	PC3	mis	biological_proxy	0.334005586092845	0.314345670614352	0.334005586092845
log_depth_residualized	PC3	total_reads	technical	-0.28197640688767	0.001952423080102	0.28197640688767
log_depth_residualized	PC3	avg_leng_initial	technical	0.147412217781438	0.151412404521064	0.147412217781438
log_depth_residualized	PC3	avg_len_derep	technical	0.127311684117586	0.138580866485867	0.127311684117586
sample_clr_raw	PC1	detected_taxa	technical	0.844447967871891	0.814533750740601	0.844447967871891
sample_clr_raw	PC1	log_total_reads	technical	0.769016800544586	0.702931695804035	0.769016800544586
sample_clr_raw	PC1	shannon_raw	technical	0.766704104872917	0.77063773643819	0.766704104872917
sample_clr_raw	PC1	log_derep	technical	0.714247118032515	0.657114344401554	0.714247118032515
sample_clr_raw	PC1	age_kyr	biological_proxy	-0.60130058025195	-0.595008701499202	0.60130058025195
sample_clr_raw	PC2	log_derep	technical	0.440117338241947	0.314370727735244	0.440117338241947
sample_clr_raw	PC2	log_total_reads	technical	0.393876847764629	0.274309626504955	0.393876847764629
sample_clr_raw	PC2	mis	biological_proxy	-0.310329406976535	-0.312330159381757	0.310329406976535
sample_clr_raw	PC2	log_initial	technical	0.271104718447617	0.237209302325581	0.271104718447617
sample_clr_raw	PC2	total_reads	technical	0.261984126023549	0.274309626504955	0.261984126023549
sample_clr_raw	PC3	total_reads	technical	0.380016410760441	0.0806162775391755	0.380016410760441
sample_clr_raw	PC3	avg_leng_initial	technical	0.364217031889386	0.352228046891936	0.364217031889386
sample_clr_raw	PC3	avg_len_derep	technical	0.312953580329929	0.351642841490868	0.312953580329929
sample_clr_raw	PC3	core	core_or_batch	0.298107350526094		0.298107350526094
sample_clr_raw	PC3	mis	biological_proxy	-0.287208679503912	-0.226036645958511	0.287208679503912
