group_var	group	core	n	pct_within_group
low_reads_50k	FALSE	ST8	96	51.0638297872341
low_reads_50k		ST8	3	75
low_reads_50k	TRUE	ST8	19	73.0769230769231
low_reads_50k	FALSE	ST13	45	23.936170212766
low_reads_50k	TRUE	ST13	3	11.5384615384615
low_reads_50k	FALSE	GeoB25202_R1	23	12.2340425531915
low_reads_50k	FALSE	GeoB25202_R2	24	12.7659574468085
low_reads_50k	TRUE	GeoB25202_R2	1	3.84615384615385
low_reads_50k	TRUE	GeoB25202_R1	3	11.5384615384615
low_reads_50k		GeoB25202_R2	1	25
low_reads_100k	FALSE	ST8	91	50
low_reads_100k		ST8	3	75
low_reads_100k	TRUE	ST8	24	75
low_reads_100k	FALSE	ST13	45	24.7252747252747
low_reads_100k	TRUE	ST13	3	9.375
low_reads_100k	FALSE	GeoB25202_R1	22	12.0879120879121
low_reads_100k	FALSE	GeoB25202_R2	24	13.1868131868132
low_reads_100k	TRUE	GeoB25202_R2	1	3.125
low_reads_100k	TRUE	GeoB25202_R1	4	12.5
low_reads_100k		GeoB25202_R2	1	25
low_reads_q10	FALSE	ST8	100	52.0833333333333
low_reads_q10		ST8	3	75
low_reads_q10	TRUE	ST8	15	68.1818181818182
low_reads_q10	FALSE	ST13	45	23.4375
low_reads_q10	TRUE	ST13	3	13.6363636363636
low_reads_q10	FALSE	GeoB25202_R1	23	11.9791666666667
low_reads_q10	FALSE	GeoB25202_R2	24	12.5
low_reads_q10	TRUE	GeoB25202_R2	1	4.54545454545455
low_reads_q10	TRUE	GeoB25202_R1	3	13.6363636363636
low_reads_q10		GeoB25202_R2	1	25
low_reads_q20	FALSE	ST8	83	48.5380116959064
low_reads_q20		ST8	3	75
low_reads_q20	TRUE	ST8	32	74.4186046511628
low_reads_q20	TRUE	ST13	4	9.30232558139535
low_reads_q20	FALSE	ST13	44	25.7309941520468
low_reads_q20	FALSE	GeoB25202_R1	22	12.8654970760234
low_reads_q20	FALSE	GeoB25202_R2	22	12.8654970760234
low_reads_q20	TRUE	GeoB25202_R2	3	6.97674418604651
low_reads_q20	TRUE	GeoB25202_R1	4	9.30232558139535
low_reads_q20		GeoB25202_R2	1	25
low_taxa_150	FALSE	ST8	94	50.5376344086022
low_taxa_150		ST8	3	75
low_taxa_150	TRUE	ST8	21	75
low_taxa_150	FALSE	ST13	45	24.1935483870968
low_taxa_150	TRUE	ST13	3	10.7142857142857
low_taxa_150	FALSE	GeoB25202_R1	23	12.3655913978495
low_taxa_150	FALSE	GeoB25202_R2	24	12.9032258064516
low_taxa_150	TRUE	GeoB25202_R2	1	3.57142857142857
low_taxa_150	TRUE	GeoB25202_R1	3	10.7142857142857
low_taxa_150		GeoB25202_R2	1	25
low_taxa_250	FALSE	ST8	88	49.7175141242938
low_taxa_250		ST8	3	75
low_taxa_250	TRUE	ST8	27	72.972972972973
low_taxa_250	TRUE	ST13	4	10.8108108108108
low_taxa_250	FALSE	ST13	44	24.8587570621469
low_taxa_250	FALSE	GeoB25202_R1	22	12.4293785310734
low_taxa_250	FALSE	GeoB25202_R2	23	12.9943502824859
low_taxa_250	TRUE	GeoB25202_R2	2	5.40540540540541
low_taxa_250	TRUE	GeoB25202_R1	4	10.8108108108108
low_taxa_250		GeoB25202_R2	1	25
low_taxa_q10	FALSE	ST8	100	52.0833333333333
low_taxa_q10		ST8	3	75
low_taxa_q10	TRUE	ST8	15	68.1818181818182
low_taxa_q10	FALSE	ST13	45	23.4375
low_taxa_q10	TRUE	ST13	3	13.6363636363636
low_taxa_q10	FALSE	GeoB25202_R1	23	11.9791666666667
low_taxa_q10	FALSE	GeoB25202_R2	24	12.5
low_taxa_q10	TRUE	GeoB25202_R2	1	4.54545454545455
low_taxa_q10	TRUE	GeoB25202_R1	3	13.6363636363636
low_taxa_q10		GeoB25202_R2	1	25
low_taxa_q20	FALSE	ST8	86	50.2923976608187
low_taxa_q20		ST8	3	75
low_taxa_q20	TRUE	ST8	29	67.4418604651163
low_taxa_q20	TRUE	ST13	6	13.953488372093
