group_var	group	n	pct	age_min	age_median	age_max	d18O_median	sst_median	total_reads_median	detected_taxa_median	shannon_median	library_concentration_median	avg_len_derep_median	dedup_fraction_median	PC1_median	PC2_median
low_reads_50k	FALSE	188	86.2385321100918	0.692	43.51901	148.086	4.42745	8.0316233852669	483588	538.5	5.28820571960508	98.335	64.45	0.360523428705529	-8.16075348123647	-4.8095698361377
low_reads_50k	TRUE	26	11.9266055045872	4.753	100.19325	133.7754	3.87643	8.11691003904572	25429	74	3.6118975584685	30.025	61.9	0.116133977730177	91.0147895809474	-13.3303321890514
low_reads_50k		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_reads_100k	FALSE	182	83.4862385321101	0.692	42.74601	148.086	4.435802	8.02668324051411	500132	539.5	5.30829367180771	100.05	64.75	0.369062046069993	-9.19892754093863	-4.34262108518177
low_reads_100k	TRUE	32	14.6788990825688	4.753	97.52	133.7754	3.88141	8.14670965261526	36918.5	93.5	3.8119222237057	30.025	61.9	0.116133977730177	87.3008542755552	-12.8573362335941
low_reads_100k		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_reads_q10	FALSE	192	88.0733944954129	0.692	45.06101	148.086	4.423102	8.02668324051411	468198	530	5.26099263031377	96.175	64.4	0.359440291532174	-7.67151450850187	-4.8095698361377
low_reads_q10	TRUE	22	10.0917431192661	4.753	101.1785	133.7754	3.88141	8.26557099405692	24612.5	55	3.32680891423122	27.46	60.8	0.114672164648396	93.3134863678702	-13.563912187104
low_reads_q10		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_reads_q20	FALSE	171	78.4403669724771	0.692	39.57797	148.086	4.4482802	8.03655127079825	534055	547	5.32479048232079	105.88	64.2	0.381918839785911	-11.6057949509437	-4.75633088066448
low_reads_q20	TRUE	43	19.7247706422018	4.753	94.9015	136.2775	3.95335	8.08727062917724	43633	112	4.00340158156778	31.71	62.9	0.131766181309146	83.0487964257158	-11.7856146755761
low_reads_q20		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_taxa_150	FALSE	186	85.3211009174312	0.692	43.105	148.086	4.428815	8.0316233852669	485232.5	539	5.29670641726325	99.56	64.2	0.363160385433766	-8.62353102195491	-4.77962554644144
low_taxa_150	TRUE	28	12.8440366972477	4.753	97.52	133.7754	3.87276	8.11691003904572	27628	83.5	3.66791592851555	27.46	61.9	0.113150510735063	89.2867673735649	-13.1324837965941
low_taxa_150		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_taxa_250	FALSE	177	81.1926605504587	0.692	40.9751666666667	148.086	4.446994	8.02667098129265	511586	541	5.31623130687781	104.24	64.2	0.372195866908489	-10.6533454843781	-4.75633088066448
low_taxa_250	TRUE	37	16.9724770642202	4.753	96.283	133.7754	3.88392	8.14686985631632	39371	108	3.89653074070307	31.46	62	0.11765563164351	84.5166636030656	-12.6469761751388
low_taxa_250		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_taxa_q10	FALSE	192	88.0733944954129	0.692	45.06101	148.086	4.423102	8.0316233852669	468198	530	5.26099263031377	96.175	64.4	0.359440291532174	-7.67151450850187	-4.85353955538396
low_taxa_q10	TRUE	22	10.0917431192661	4.753	101.1785	133.7754	3.87643	8.23593158418844	24612.5	55	3.32680891423122	27.46	61.1	0.127761423047403	93.3134863678702	-13.563912187104
low_taxa_q10		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_taxa_q20	FALSE	171	78.4403669724771	0.692	40.0335	148.086	4.450373	8.02669549973556	530612	547	5.33168804583661	104.95	64.7	0.37403559717966	-11.6057949509437	-4.80292021221839
low_taxa_q20	TRUE	43	19.7247706422018	2.324	94.9015	136.2775	3.9078	8.14654944891421	43633	112	3.97868853906934	31.71	62	0.130560005765604	83.0487964257158	-11.8266311742377
low_taxa_q20		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_reads_or_taxa	FALSE	177	81.1926605504587	0.692	40.9751666666667	148.086	4.446994	8.02667098129265	511586	541	5.31623130687781	104.24	64.2	0.372195866908489	-10.6533454843781	-4.75633088066448
low_reads_or_taxa	TRUE	37	16.9724770642202	4.753	96.283	133.7754	3.88392	8.14686985631632	39371	108	3.89653074070307	31.46	62	0.11765563164351	84.5166636030656	-12.6469761751388
low_reads_or_taxa		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
low_reads_and_taxa	FALSE	182	83.4862385321101	0.692	42.74601	148.086	4.435802	8.02668324051411	500132	539.5	5.30829367180771	100.05	64.75	0.369062046069993	-9.19892754093863	-4.34262108518177
low_reads_and_taxa	TRUE	32	14.6788990825688	4.753	97.52	133.7754	3.88141	8.14670965261526	36918.5	93.5	3.8119222237057	30.025	61.9	0.116133977730177	87.3008542755552	-12.8573362335941
low_reads_and_taxa		4	1.8348623853211	9.158	41.8845	78.313	4.26457	7.46375536432514				34.63	92.5	0.171182396441409		
