group_var	group	site_group	glacial_class	n	pct_within_group
low_reads_50k	FALSE	ST8	glacial_like	80	42.5531914893617
low_reads_50k	FALSE	ST8	interglacial_like	16	8.51063829787234
low_reads_50k		ST8	interglacial_like	1	25
low_reads_50k	TRUE	ST8	interglacial_like	12	46.1538461538462
low_reads_50k	TRUE	ST8	glacial_like	7	26.9230769230769
low_reads_50k		ST8	glacial_like	2	50
low_reads_50k	FALSE	ST13	interglacial_like	15	7.97872340425532
low_reads_50k	FALSE	ST13	glacial_like	30	15.9574468085106
low_reads_50k	TRUE	ST13	glacial_like	1	3.84615384615385
low_reads_50k	TRUE	ST13	interglacial_like	2	7.69230769230769
low_reads_50k	FALSE	GeoB25202	glacial_like	30	15.9574468085106
low_reads_50k	TRUE	GeoB25202	interglacial_like	3	11.5384615384615
low_reads_50k	FALSE	GeoB25202	interglacial_like	17	9.04255319148936
low_reads_50k	TRUE	GeoB25202	glacial_like	1	3.84615384615385
low_reads_50k		GeoB25202	glacial_like	1	25
low_reads_100k	FALSE	ST8	glacial_like	77	42.3076923076923
low_reads_100k	FALSE	ST8	interglacial_like	14	7.69230769230769
low_reads_100k		ST8	interglacial_like	1	25
low_reads_100k	TRUE	ST8	interglacial_like	14	43.75
low_reads_100k	TRUE	ST8	glacial_like	10	31.25
low_reads_100k		ST8	glacial_like	2	50
low_reads_100k	FALSE	ST13	interglacial_like	15	8.24175824175824
low_reads_100k	FALSE	ST13	glacial_like	30	16.4835164835165
low_reads_100k	TRUE	ST13	glacial_like	1	3.125
low_reads_100k	TRUE	ST13	interglacial_like	2	6.25
low_reads_100k	FALSE	GeoB25202	glacial_like	29	15.9340659340659
low_reads_100k	TRUE	GeoB25202	interglacial_like	3	9.375
low_reads_100k	FALSE	GeoB25202	interglacial_like	17	9.34065934065934
low_reads_100k	TRUE	GeoB25202	glacial_like	2	6.25
low_reads_100k		GeoB25202	glacial_like	1	25
low_reads_q10	FALSE	ST8	glacial_like	81	42.1875
low_reads_q10	FALSE	ST8	interglacial_like	19	9.89583333333333
low_reads_q10		ST8	interglacial_like	1	25
low_reads_q10	TRUE	ST8	interglacial_like	9	40.9090909090909
low_reads_q10		ST8	glacial_like	2	50
low_reads_q10	TRUE	ST8	glacial_like	6	27.2727272727273
low_reads_q10	FALSE	ST13	interglacial_like	15	7.8125
low_reads_q10	FALSE	ST13	glacial_like	30	15.625
low_reads_q10	TRUE	ST13	glacial_like	1	4.54545454545455
low_reads_q10	TRUE	ST13	interglacial_like	2	9.09090909090909
low_reads_q10	FALSE	GeoB25202	glacial_like	30	15.625
low_reads_q10	TRUE	GeoB25202	interglacial_like	3	13.6363636363636
low_reads_q10	FALSE	GeoB25202	interglacial_like	17	8.85416666666667
low_reads_q10	TRUE	GeoB25202	glacial_like	1	4.54545454545455
low_reads_q10		GeoB25202	glacial_like	1	25
low_reads_q20	FALSE	ST8	glacial_like	71	41.5204678362573
