sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003046936	ST8		139.5	6.27443150715505	1881184	189.42	8.18202560490086	7.75500706127122	62.8	63.9	1044	5.79036371112999	22.905	4.8619	7.62434576717752
LV3003046937	ST8		99.5	5.74086854525352	550640	100.16	7.56858242168356	7.28648444872805	66.6	67.9	592	5.19180560931416	18.598	4.98412	7.40669227965178
LV3003046938	ST8		55	5.87460414511034	749210	92.71	8.13146374049289	7.86544763633642	83.8	85.5	658	5.58983006062237	11.169	3.65408	6.64060093364877
LV3003046939	ST8		15	6.18198699573197	1520501	137.77	8.24262129834256	8.16202407881504	79.3	79.8	541	4.86324339842374	2.42	3.2262	6.89400787736814
LV3003046949	ST8		134.5	6.11653336302888	1307775	140.56	7.78707156082083	7.57943717721456	56.4	57.8	916	5.31578030448818	22.3686666666667	4.87262666666667	7.59724225650273
LV3003046950	ST8		94.5	5.91777272586659	827508	104.24	7.73679962727509	7.48171898404423	72.2	73.7	835	5.86240552233203	18.099	5.01406	7.38147540241116
LV3003046952	ST8		50	5.7604043874428	575975	116.29	7.94660195781311	7.77954539733012	83.4	86	591	5.55938229899026	10.26	3.5408	6.52726089941695
LV3003046953	ST8		10	6.34252078081338	2200496	82.74	8.42960294421019	8.38770905248328	82.4	82.6	519	4.29430920270236	1.5215	3.203925	7.82527505425364
LV3003046965	ST8		129.5	6.32197664246912	2098826	73.24	8.09027861351887	7.78726487752125	60	60.7	1082	5.83198123821659	21.8323333333333	4.88503	7.57013874582794
LV3003046966	ST8		89.5	5.90146431538148	797010	104.95	7.80654125846476	7.5208060354686	73.4	75	787	5.79871728277718	17.373	4.93222	7.34478712009314
LV3003046967	ST8		45			69.08							9.158	3.40212	6.38985636946814
LV3003046978	ST8		124.5	6.15368440402301	1424571	113.8	7.86145443237786	7.69059001026332	55.3	56.1	952	5.57865136199562	21.296	4.90112	7.54303523515316
LV3003046979	ST8		84.5	5.74591756692192	557079	131.92	7.79887232070529	7.5549205871131	71.5	73.7	708	5.5513328829203	16.461	4.80993	7.29869936048704
LV3003046980	ST8		40	5.76070438173389	576373	95.39	7.9276000728071	7.84703720930062	80.9	82.7	540	5.30688669104138	8.056	3.41776	6.25245183951933
LV3003046993	ST8		119.5	6.08809035242446	1224870	108.7	8.3619331483457	8.00165773923495	68.3	69.6	966	5.91446715650096	20.719	4.93248	7.51387664163044
