ts	setting_id	phase	status	details
2026-05-19 12:04:51	exp3	fit_consensus	start	""
2026-05-19 12:06:33	exp3	fit_consensus	ok	""
2026-05-19 12:06:33	exp3	eigengenes	start	""
2026-05-19 12:06:53	exp3	eigengenes	ok	""
2026-05-19 12:06:53	exp3	preservation	start	n_perm=200
2026-05-19 12:35:25	exp3	preservation	ok	""
2026-05-19 12:35:25	exp3	concordance	start	""
2026-05-19 12:35:25	exp3	concordance	ok	""
2026-05-19 12:35:26	exp3	bootstrap	start	n_boot=30
2026-05-19 12:35:26	exp3	bootstrap_replicate	ok	1/30
2026-05-19 12:48:22	exp3	bootstrap_replicate	ok	10/30
2026-05-19 13:05:08	exp3	bootstrap_replicate	ok	20/30
2026-05-19 13:18:20	exp3	bootstrap_replicate	ok	30/30
2026-05-19 13:19:55	exp3	bootstrap	ok	""
2026-05-19 13:19:55	exp3	core_balance	start	""
2026-05-19 13:20:23	exp3	core_balance	ok	""
2026-05-19 13:20:24	exp3	done	ok	""
2026-05-19 13:20:24	exp4	fit_consensus	start	""
2026-05-19 13:21:55	exp4	fit_consensus	ok	""
2026-05-19 13:21:55	exp4	eigengenes	start	""
2026-05-19 13:22:16	exp4	eigengenes	ok	""
2026-05-19 13:22:16	exp4	preservation	start	n_perm=200
2026-05-19 13:56:22	exp4	preservation	ok	""
2026-05-19 13:56:22	exp4	concordance	start	""
2026-05-19 13:56:22	exp4	concordance	ok	""
2026-05-19 13:56:22	exp4	bootstrap	start	n_boot=30
2026-05-19 13:56:22	exp4	bootstrap_replicate	ok	1/30
2026-05-19 14:06:58	exp4	bootstrap_replicate	ok	10/30
2026-05-19 14:18:41	exp4	bootstrap_replicate	ok	20/30
2026-05-19 14:29:07	exp4	bootstrap_replicate	ok	30/30
2026-05-19 14:30:26	exp4	bootstrap	ok	""
2026-05-19 14:30:26	exp4	core_balance	start	""
2026-05-19 14:30:44	exp4	core_balance	ok	""
2026-05-19 14:30:44	exp4	done	ok	""
2026-05-19 14:30:44	opt5	fit_consensus	start	""
2026-05-19 14:31:48	opt5	fit_consensus	ok	""
2026-05-19 14:31:48	opt5	eigengenes	start	""
2026-05-19 14:32:10	opt5	eigengenes	ok	""
2026-05-19 14:32:10	opt5	preservation	start	n_perm=200
2026-05-19 14:49:35	opt5	preservation	ok	""
2026-05-19 14:49:35	opt5	concordance	start	""
2026-05-19 14:49:35	opt5	concordance	ok	""
2026-05-19 14:49:35	opt5	bootstrap	start	n_boot=30
2026-05-19 14:49:35	opt5	bootstrap_replicate	ok	1/30
2026-05-19 14:57:45	opt5	bootstrap_replicate	ok	10/30
2026-05-19 15:06:45	opt5	bootstrap_replicate	ok	20/30
2026-05-19 15:14:26	opt5	bootstrap_replicate	ok	30/30
2026-05-19 15:15:24	opt5	bootstrap	ok	""
2026-05-19 15:15:24	opt5	core_balance	start	""
2026-05-19 15:15:40	opt5	core_balance	ok	""
2026-05-19 15:15:41	opt5	done	ok	""
