replicate	module	jaccard
1	black	0.387096774193548
1	blue	0.306666666666667
1	brown	0.0356164383561644
1	green	0.785714285714286
1	magenta	0
1	pink	0.327586206896552
1	purple	0.707317073170732
1	red	0.326315789473684
1	turquoise	0.19205298013245
1	yellow	0.455645161290323
2	black	0.00892857142857143
2	blue	0.506437768240343
2	brown	0.531746031746032
2	green	0.446428571428571
2	magenta	0.276595744680851
2	pink	0.409836065573771
2	purple	0.1171875
2	red	0.520408163265306
2	turquoise	0.405172413793103
2	yellow	0.261904761904762
3	black	0.734375
3	blue	0.407407407407407
3	brown	0.616113744075829
3	green	0.67479674796748
3	magenta	0.195652173913043
3	pink	0.470588235294118
3	purple	0.473684210526316
3	red	0.408695652173913
3	turquoise	0.27843137254902
3	yellow	0.376923076923077
4	black	0.463768115942029
4	blue	0.467248908296943
4	brown	0.0407673860911271
4	green	0.700854700854701
4	magenta	0.573770491803279
4	pink	0.340909090909091
4	purple	0.142857142857143
4	red	0.354838709677419
4	turquoise	0.20873786407767
4	yellow	0.362745098039216
5	black	0.626865671641791
5	blue	0.528776978417266
5	brown	0.135
5	green	0.389830508474576
5	magenta	0.51219512195122
5	pink	0.170068027210884
5	purple	0.7
5	red	0.68421052631579
5	turquoise	0.272727272727273
5	yellow	0.398104265402844
6	black	0
6	blue	0.331730769230769
6	brown	0.389776357827476
6	green	0.398305084745763
6	magenta	0
6	pink	0.328358208955224
6	purple	0.527777777777778
6	red	0.355555555555556
6	turquoise	0.238805970149254
6	yellow	0.302180685358255
7	black	0.327586206896552
7	blue	0.380645161290323
7	brown	0.0920634920634921
7	green	0.522935779816514
7	magenta	0.285714285714286
7	pink	0.313953488372093
7	purple	0.605263157894737
7	red	0.446808510638298
7	turquoise	0.165714285714286
7	yellow	0.347826086956522
8	black	0
8	blue	0.6
8	brown	0.460580912863071
8	green	0.697478991596639
8	magenta	0.432432432432432
8	pink	0.160583941605839
8	purple	0.104477611940299
8	red	0.293577981651376
8	turquoise	0.262589928057554
8	yellow	0.209386281588448
9	black	0
9	blue	0.396984924623116
9	brown	0.508620689655172
9	green	0.452991452991453
9	magenta	0.478260869565217
9	pink	0.148148148148148
9	purple	0.685714285714286
9	red	0.585585585585586
9	turquoise	0.294303797468354
9	yellow	0.363636363636364
10	black	0.370967741935484
10	blue	0.5
10	brown	0.329896907216495
10	green	0.719298245614035
10	magenta	0.0714285714285714
10	pink	0.330097087378641
10	purple	0.681818181818182
10	red	0.612068965517241
10	turquoise	0.192307692307692
10	yellow	0.311881188118812
11	black	0.716666666666667
11	blue	0.340304182509506
11	brown	0.644144144144144
11	green	0.368421052631579
11	magenta	0.410714285714286
11	pink	0.51063829787234
11	purple	0.564102564102564
11	red	0.465346534653465
11	turquoise	0.312280701754386
11	yellow	0.184724689165187
12	black	0.714285714285714
12	blue	0.546511627906977
12	brown	0.373626373626374
12	green	0.447368421052632
12	magenta	0.634146341463415
12	pink	0.5625
12	purple	0.558139534883721
12	red	0.672413793103448
12	turquoise	0.587458745874588
12	yellow	0.256140350877193
13	black	0
13	blue	0.378172588832487
13	brown	0.450920245398773
13	green	0.165137614678899
13	magenta	0.325581395348837
13	pink	0.573770491803279
13	purple	0.0911680911680912
13	red	0.0380952380952381
13	turquoise	0.340961098398169
13	yellow	0.288135593220339
14	black	0.736111111111111
14	blue	0.354948805460751
14	brown	0.551111111111111
14	green	0.572649572649573
14	magenta	0.0253164556962025
14	pink	0.217948717948718
14	purple	0.266666666666667
14	red	0.371134020618557
14	turquoise	0.306962025316456
14	yellow	0.277580071174377
15	black	0.578125
15	blue	0.522968197879859
15	brown	0.068421052631579
15	green	0.518518518518519
15	magenta	0.233766233766234
15	pink	0.239130434782609
15	purple	0.106122448979592
15	red	0.336363636363636
15	turquoise	0.290909090909091
15	yellow	0.214285714285714
16	black	0.430379746835443
16	blue	0.445945945945946
16	brown	0.48972602739726
16	green	0.442477876106195
16	magenta	0.547619047619048
16	pink	0.607142857142857
16	purple	0.147286821705426
16	red	0.584905660377359
16	turquoise	0.399317406143345
16	yellow	0.274390243902439
17	black	0.00202839756592292
17	blue	0.293532338308458
17	brown	0.358574610244989
17	green	0.564102564102564
17	magenta	0.26530612244898
17	pink	0.181286549707602
17	purple	0.46551724137931
17	red	0.525252525252525
17	turquoise	0.246835443037975
17	yellow	0.259023354564756
18	black	0.453125
18	blue	0.514388489208633
18	brown	0.433155080213904
18	green	0.607142857142857
18	magenta	0.291139240506329
18	pink	0.435483870967742
18	purple	0.780487804878049
18	red	0.262295081967213
18	turquoise	0.193181818181818
18	yellow	0.291457286432161
