module	pearson_r.V1	spearman_rho.V1	rmse
MEblack	0.868075092028687	0.694548835786517	0.068132943874423
MEmagenta	0.958611039292351	0.654836218566635	0.0363653860668358
MEred	0.945668807634433	0.798736269839388	0.0589352401688316
MEgreen	0.946446274499036	0.426918691869187	0.0663467483806884
MEblue	0.87503313096816	0.853501350135014	0.127232271241009
MEbrown	0.98688494523819	0.678535853585359	0.0652165172213513
MEyellow	0.832548402473206	0.851533153315332	0.0727903332293493
MEpurple	0.950965739749257	0.89970597059706	0.114591982960898
MEpink	0.848276631248089	0.783578708610514	0.119448626600089
MEturquoise	0.869204759131277	0.828514851485149	0.119823783567283
MEgrey	-0.394784444216639	-0.846024602460246	0.169241461457001
