module	Zsummary	Zdensity	Zconnectivity	preserved	module_type
black	9.68169281386754	15.4543837568965	3.90900187083855	moderate	biological
blue	14.3357990840259	14.9536856054039	13.717912562648	strong	biological
brown	18.0312621821515	24.1419978052759	11.920526559027	strong	biological
gold	18.9474030409271	3.16739257720216	34.727413504652	strong	technical
green	13.712484987204	16.3980579589914	11.0269120154165	strong	biological
grey	14.9755941591223	1.10062263967357	28.8505656785711	strong	technical
magenta	4.3445152070538	7.79876258881387	0.89026782529373	moderate	biological
pink	9.23451230723225	12.4694156119891	5.99960900247539	moderate	biological
purple	9.03703424129282	13.2312870076051	4.84278147498058	moderate	biological
red	11.9618085537629	15.2719103145466	8.65170679297923	strong	biological
turquoise	15.0872750227115	16.3012747006116	13.8732753448114	strong	biological
yellow	10.9591488386938	15.6982193054831	6.22007837190443	strong	biological
