module	n	jaccard_median	jaccard_p05	jaccard_p95
black	30	0.227251838235294	0.106643643427585	0.369603564284415
blue	30	0.385628919654479	0.0502955259613946	0.614235693570064
brown	30	0.328445559199949	0.172613441780822	0.395627676357899
green	30	0.452159443309886	0.256615161757605	0.710998650472335
greenyellow	30	0.469600725952813	0.111101721938776	0.722779922779923
magenta	30	0.327972207925888	0.16485178012811	0.592125292740047
pink	30	0.408738260514496	0	0.72640625
purple	30	0.270950933564915	0	0.606977209116353
red	30	0.408893280632411	0.260821248423707	0.665282131661442
turquoise	30	0.398897320611153	0.262400376756992	0.522953609751354
yellow	30	0.310049880251382	0.171422155688623	0.42066529668636
