replicate	module	jaccard
1	black	0
1	blue	0.258992805755396
1	brown	0.248618784530387
1	green	0.785714285714286
1	magenta	0.725
1	pink	0.327586206896552
1	red	0.0610328638497653
1	turquoise	0.0121951219512195
1	yellow	0.0258064516129032
2	black	0
2	blue	0.485714285714286
2	brown	0.35632183908046
2	green	0.446428571428571
2	magenta	0.134020618556701
2	pink	0.384615384615385
2	red	0.291970802919708
2	turquoise	0.650704225352113
2	yellow	0.0238095238095238
3	black	0.0222222222222222
3	blue	0.606060606060606
3	brown	0.375661375661376
3	green	0.67479674796748
3	magenta	0.0769230769230769
3	pink	0.470588235294118
3	red	0.219858156028369
3	turquoise	0.384180790960452
3	yellow	0.674074074074074
4	black	0.0451388888888889
4	blue	0.464912280701754
4	brown	0.193069306930693
4	green	0.700854700854701
4	magenta	0.131313131313131
4	pink	0.337078651685393
4	red	0.158088235294118
4	turquoise	0.292237442922374
4	yellow	0.427480916030534
5	black	0.626865671641791
5	blue	0.565543071161049
5	brown	0.358649789029536
5	green	0.389830508474576
5	magenta	0.132530120481928
5	pink	0.149425287356322
5	red	0.05
5	turquoise	0.249322493224932
5	yellow	0.496240601503759
6	black	0
6	blue	0.282894736842105
6	brown	0.270175438596491
6	green	0.398305084745763
6	magenta	0.117647058823529
6	pink	0.405405405405405
6	red	0.0638977635782748
6	turquoise	0.6
6	yellow	0.021978021978022
7	black	0.0147058823529412
7	blue	0.314285714285714
7	brown	0.17283950617284
7	green	0.522935779816514
7	magenta	0.198412698412698
7	pink	0.325301204819277
7	red	0.216494845360825
7	turquoise	0.221238938053097
7	yellow	0.57037037037037
8	black	0
8	blue	0.529126213592233
8	brown	0.359223300970874
8	green	0.697478991596639
8	magenta	0.0895522388059701
8	pink	0.161764705882353
8	red	0.0836012861736334
8	turquoise	0.619834710743802
8	yellow	0.216216216216216
9	black	0
9	blue	0.41
9	brown	0.274418604651163
9	green	0.461538461538462
9	magenta	0.275229357798165
9	pink	0.216
9	red	0.248730964467005
9	turquoise	0.366477272727273
9	yellow	0.562043795620438
10	black	0.370967741935484
10	blue	0.289592760180996
10	brown	0.269058295964126
10	green	0.719298245614035
10	magenta	0.659090909090909
10	pink	0.319672131147541
10	red	0.177033492822967
10	turquoise	0.240853658536585
10	yellow	0.56551724137931
11	black	0.716666666666667
11	blue	0.483333333333333
11	brown	0.368078175895765
11	green	0.358974358974359
11	magenta	0.564102564102564
11	pink	0.51063829787234
11	red	0.10958904109589
11	turquoise	0.459893048128342
11	yellow	0.00285714285714286
12	black	0.621951219512195
12	blue	0.451923076923077
12	brown	0.343612334801762
12	green	0.443478260869565
12	magenta	0.595238095238095
12	pink	0.236486486486487
12	red	0.254310344827586
12	turquoise	0.429824561403509
12	yellow	0.631944444444445
13	black	0
13	blue	0.475982532751092
13	brown	0.409090909090909
13	green	0.165137614678899
13	magenta	0.0867579908675799
13	pink	0.573770491803279
13	red	0.0909090909090909
13	turquoise	0.675675675675676
13	yellow	0.0113636363636364
14	black	0.00224719101123596
14	blue	0.266811279826464
14	brown	0.142857142857143
14	green	0.572649572649573
14	magenta	0.221238938053097
14	pink	0.217948717948718
14	red	0.135802469135802
14	turquoise	0.394957983193277
14	yellow	0.0114285714285714
15	black	0
15	blue	0.392070484581498
15	brown	0.37914691943128
15	green	0.504672897196262
15	magenta	0.140740740740741
15	pink	0.119205298013245
15	red	0.00775193798449612
15	turquoise	0
15	yellow	0.430769230769231
16	black	0.0100502512562814
16	blue	0.463768115942029
16	brown	0.386792452830189
16	green	0.424778761061947
16	magenta	0.134751773049645
16	pink	0.282442748091603
16	red	0.354285714285714
16	turquoise	0.447368421052632
16	yellow	0.38121546961326
17	black	0.00383141762452107
17	blue	0.292079207920792
17	brown	0.238095238095238
17	green	0.564102564102564
17	magenta	0.0430107526881721
17	pink	0.289719626168224
17	red	0.227941176470588
17	turquoise	0.390501319261214
17	yellow	0.141791044776119
18	black	0.00657894736842105
18	blue	0.313364055299539
18	brown	0.283236994219653
18	green	0.607142857142857
18	magenta	0.75609756097561
18	pink	0.435483870967742
18	red	0.198501872659176
18	turquoise	0.277404921700224
18	yellow	0.613793103448276
19	black	0.116071428571429
19	blue	0.577235772357724
19	brown	0.294326241134752
19	green	0.554545454545455
19	magenta	0.68421052631579
19	pink	0.179611650485437
19	red	0.20627802690583
19	turquoise	0.147058823529412
19	yellow	0.480519480519481
20	black	0.682539682539683
20	blue	0.570796460176991
20	brown	0.414414414414414
20	green	0.434782608695652
20	magenta	0.102857142857143
20	pink	0.384615384615385
20	red	0.0688259109311741
20	turquoise	0.434540389972145
20	yellow	0.549618320610687
21	black	0.385714285714286
21	blue	0.289719626168224
21	brown	0.283582089552239
21	green	0.491379310344828
21	magenta	0.118421052631579
21	pink	0.214285714285714
21	red	0.285714285714286
21	turquoise	0.25609756097561
21	yellow	0.357664233576642
22	black	0
22	blue	0.268482490272374
22	brown	0.2
22	green	0.442477876106195
22	magenta	0.154471544715447
22	pink	0.274509803921569
22	red	0.155405405405405
22	turquoise	0.385756676557864
22	yellow	0.445255474452555
23	black	0
23	blue	0.509803921568627
23	brown	0.407692307692308
23	green	0.412280701754386
23	magenta	0.115384615384615
23	pink	0.388888888888889
23	red	0.0931174089068826
23	turquoise	0.214067278287462
23	yellow	0.0520231213872832
24	black	0
24	blue	0.597744360902256
24	brown	0.390756302521008
24	green	0.434782608695652
24	magenta	0.0823045267489712
24	pink	0.673076923076923
24	red	0.157635467980296
24	turquoise	0.331550802139037
24	yellow	0.204724409448819
25	black	0.474576271186441
25	blue	0.31
25	brown	0.353535353535354
25	green	0.385964912280702
25	magenta	0.0850202429149798
25	pink	0.147540983606557
25	red	0.0917647058823529
25	turquoise	0.666666666666667
25	yellow	0.00835654596100279
26	black	0
26	blue	0.316831683168317
26	brown	0.288617886178862
26	green	0.445454545454545
26	magenta	0.14375
26	pink	0.196319018404908
26	red	0.0780487804878049
26	turquoise	0.039647577092511
26	yellow	0.0259259259259259
27	black	0
27	blue	0.578199052132701
27	brown	0.363207547169811
27	green	0.518518518518519
27	magenta	0.666666666666667
27	pink	0.467532467532468
27	red	0.0265957446808511
27	turquoise	0.00656455142231947
27	yellow	0.0427807486631016
28	black	0.0316742081447964
28	blue	0.427745664739884
28	brown	0.308988764044944
28	green	0
28	magenta	0.735294117647059
28	pink	0.42
28	red	0.1
28	turquoise	0.314666666666667
28	yellow	0.0337837837837838
29	black	0.0242914979757085
29	blue	0.625
29	brown	0.421245421245421
29	green	0.420560747663551
29	magenta	0.0672268907563025
29	pink	0.192825112107623
29	red	0.0936329588014981
29	turquoise	0.486111111111111
29	yellow	0.365671641791045
30	black	0.578947368421053
30	blue	0.303886925795053
30	brown	0.2
30	green	0.61864406779661
30	magenta	0.131147540983607
30	pink	0.247058823529412
30	red	0.144
30	turquoise	0.299212598425197
30	yellow	0.310810810810811
