module	pearson_r.V1	spearman_rho.V1	rmse
MEblack	0.868075092028687	0.694548835786517	0.068132943874423
MEgreen	0.946446274499036	0.426918691869187	0.0663467483806884
MEpink	0.848276631248089	0.783578708610514	0.119448626600089
MEyellow	0.960890178192827	0.798151815181518	0.0555719720540973
MEred	0.833013986397076	0.840074527680132	0.127081431926773
MEturquoise	0.899718195693715	0.78942694269427	0.0693313286441544
MEmagenta	0.951795547276256	0.908310831083108	0.114834826212504
MEblue	0.876412755832043	0.852937293729373	0.127287419936722
MEbrown	0.872414901482548	0.825010501050105	0.117381405520464
MEgrey	-0.380817108326799	-0.858853885388539	0.169335635948619
