module	Zsummary	Zdensity	Zconnectivity	preserved	module_type
black	9.68169281386754	15.4543837568965	3.90900187083855	moderate	biological
blue	14.2875813763637	14.6156729585949	13.9594897941325	strong	biological
brown	15.8731976335616	16.4199221349723	15.3264731321508	strong	biological
gold	18.9474030409271	3.16739257720216	34.727413504652	strong	technical
green	13.712484987204	16.3980579589914	11.0269120154165	strong	biological
grey	15.0144481069049	1.1696215649838	28.8592746488259	strong	technical
magenta	9.1663112513062	13.1360586424694	5.19656386014302	moderate	biological
pink	9.23451230723225	12.4694156119891	5.99960900247539	moderate	biological
red	8.01862731099961	11.6064728743997	4.4307817475995	moderate	biological
turquoise	20.4700039062176	27.4989292319416	13.4410785804937	strong	biological
yellow	11.7266168027386	15.4457867525865	8.00744685289069	strong	biological
