setting_id	original_module	best_filtered_module	best_jaccard	original_size	filtered_size
exp3	black	black	0.77027027027027	74	57
exp3	blue	yellow	0.642201834862385	202	156
exp3	brown	brown	0.716577540106952	148	173
exp3	green	green	0.893805309734513	107	107
exp3	pink	magenta	0.702127659574468	44	36
exp3	red	turquoise	0.252747252747253	105	237
exp3	turquoise	blue	0.370445344129555	483	194
exp3	yellow	red	0.656	119	88
exp4	black	black	0.442622950819672	105	71
exp4	blue	turquoise	0.372168284789644	230	194
exp4	brown	yellow	0.642201834862385	202	156
exp4	green	red	0.656	119	88
exp4	magenta	purple	0.702127659574468	44	36
exp4	pink	pink	0.77027027027027	74	57
exp4	red	green	0.893805309734513	107	107
exp4	turquoise	brown	0.281345565749235	253	166
exp4	yellow	blue	0.716577540106952	148	173
opt5	blue	blue	0.2875	320	195
opt5	brown	brown	0.279279279279279	259	167
opt5	green	green	0.893805309734513	107	107
opt5	turquoise	turquoise	0.853932584269663	338	322
opt5	yellow	yellow	0.734939759036145	161	127
