domain	phylum	functional_group	signal_source	taxa_n	median_samples_present	total_counts
d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	32	9.5	401552
d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	84	2	135316
d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	26	3	102362
d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	58	2.5	68861
d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	41	3	63753
d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	29	3	63219
d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	11	4	43534
d__Bacteria	p__Bacteroidota	Particle_heterotroph	particle_associated	35	3	41034
d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	2	16	39165
d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	7	8	33300
d__Bacteria	p__Proteobacteria	Pelagic_heterotroph	pelagic_export	27	3	26877
d__Bacteria	p__Verrucomicrobiota	Particle_heterotroph	particle_associated	15	6	24544
d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	16	2.5	21705
d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	14	2.5	19983
d__Bacteria	p__SAR324	Core_heterotrophy	pelagic_export	4	10	15891
d__Bacteria	p__Nitrospinota	Nitrite_oxidation_NOB	pelagic_export	9	3	13381
d__Bacteria	p__Proteobacteria	Sulfate_reduction_diagenetic	diagenetic_in_situ	12	2.5	13122
d__Bacteria	p__Planctomycetota	Anammox	particle_associated	5	9	11403
d__Bacteria	p__Marinisomatota	Pelagic_heterotroph	pelagic_export	6	2	10919
d__Bacteria	p__Aerophobota	Core_heterotrophy	pelagic_export	2	3.5	8309
d__Bacteria	p__Marinisomatota	Core_heterotrophy	pelagic_export	7	6	8066
d__Bacteria	p__KSB1	Unknown	uncertain	1	19	7721
d__Bacteria	p__Myxococcota_A	Core_heterotrophy	pelagic_export	10	2.5	7674
d__Bacteria	p__KSB1	Core_heterotrophy	pelagic_export	1	18	7306
d__Bacteria	p__Actinobacteriota	Core_heterotrophy	pelagic_export	15	2	6552
d__Bacteria	p__Nitrospirota	Nitrite_oxidation_NOB	pelagic_export	4	2.5	5691
d__Bacteria	p__Planctomycetota	Particle_heterotroph	particle_associated	10	2.5	5487
d__Bacteria	p__Gemmatimonadota	Core_heterotrophy	pelagic_export	5	3	5252
d__Bacteria	p__Aerophobota	Unknown	uncertain	2	4	4677
d__Bacteria	p__Cyanobacteria	Oxygenic_photosynthesis	pelagic_export	3	2	3801
d__Archaea	p__Asgardarchaeota	Core_heterotrophy	pelagic_export	4	1.5	3562
d__Bacteria	p__Verrucomicrobiota	Denitrification	particle_associated	1	11	3410
d__Viruses	p__Nucleocytoviricota	Virus_modulator	pelagic_export	8	1	2832
d__Bacteria	p__Latescibacterota	Core_heterotrophy	pelagic_export	3	4	2407
d__Bacteria	p__Nitrospinota	Core_heterotrophy	pelagic_export	2	3	2068
d__Bacteria	p__Proteobacteria	Nitrification_AOB	pelagic_export	2	5	2010
d__Bacteria	p__Campylobacterota	Unknown	uncertain	3	1	1284
d__Bacteria	p__Planctomycetota	Sulfate_reduction_diagenetic	diagenetic_in_situ	2	3.5	1272
d__Bacteria	p__Cyanobacteria	Core_heterotrophy	pelagic_export	1	5	1207
d__Bacteria	p__BS750m-G34	Unknown	uncertain	1	6	1124
d__Bacteria	p__Proteobacteria	Denitrification	particle_associated	3	3	1051
d__Archaea	p__Thermoproteota	Core_heterotrophy	pelagic_export	1	6	950
d__Archaea	p__Nanoarchaeota	Symbiont_DPANN	uncertain	2	2.5	885
d__Bacteria	p__Gemmatimonadota	Unknown	uncertain	1	3	828
d__Bacteria	p__Firmicutes	Nitrite_oxidation_NOB	pelagic_export	1	2	772
d__Bacteria	p__Spirochaetota	Core_heterotrophy	pelagic_export	1	4	709
d__Bacteria	p__Acidobacteriota	Denitrification	particle_associated	1	3	406
d__Bacteria	p__Desulfobacterota_D	Sulfate_reduction_diagenetic	diagenetic_in_situ	1	2	245
d__Bacteria	p__Campylobacterota	Core_heterotrophy	pelagic_export	1	1	207
d__Bacteria	p__Patescibacteria	Symbiont_CPR	uncertain	1	1	152
d__Bacteria	p__Myxococcota_A	Nitrite_oxidation_NOB	pelagic_export	1	1	138
d__Bacteria	p__Hydrogenedentota	Core_heterotrophy	pelagic_export	1	1	134
d__Viruses	p__Uroviricota	Virus_modulator	pelagic_export	1	1	124
d__Bacteria	p__Nitrospirota	Sulfate_reduction_diagenetic	diagenetic_in_situ	1	1	123
d__Bacteria	p__Desulfobacterota_B	Sulfate_reduction_diagenetic	diagenetic_in_situ	1	1	110
