sample	age_kyr	library_concentration	qc_depth_class	detected_taxa	total_reads	top1_pct	top5_pct	top10_pct	taxa_for_50pct	taxa_for_80pct	taxa_for_90pct	pielou_evenness	gini
LV3003047028	4.753	124.79	low_diversity_but_saturated	38	11886	23.3720343260979	48.2668685848898	62.5441696113074	6	20	28	0.857272069677658	0.47417129395928
LV3003047141	39.15347	61.93	low_diversity_but_saturated	27	6891	12.1317660716877	43.7962559860688	65.2590335219852	7	16	22	0.928222762796951	0.365178413066963
LV3003047140	46.0948	83.7	low_diversity_but_saturated	108	29261	4.25481015686409	17.2174566829568	28.2492054270189	26	63	82	0.94925739332372	0.36799171441699
LV3003047127	47.6248	56.2	low_diversity_but_saturated	240	96803	9.7527969174509	22.8453663626127	31.6054254516905	31	113	164	0.882914408739447	0.522099220409836
LV3003047161	54.98346	31.63	low_diversity_but_saturated	30	7628	11.4840062926062	38.0571578395385	54.8505506030414	9	20	24	0.94764262604758	0.305838140185282
LV3003047160	55.8911266666667	36.23	insufficient_for_call	24	6403	18.5381852256755	47.555833203186	68.7802592534749	6	14	19	0.917961260028652	0.374583528554324
LV3003047125	72.872	32.35	low_diversity_but_saturated	232	107697	9.23609757003445	25.5698858835437	35.483811062518	25	96	147	0.863951462090368	0.568993893468041
LV3003047124	74.227	25.72	low_diversity_but_saturated	145	69484	13.4016464221979	35.5031374129296	48.1851937136607	11	58	93	0.831024104359322	0.59348100976856
LV3003047123	75.589	0.85	low_diversity_but_saturated	82	25995	8.50932871706097	29.4479707636084	43.619926909021	14	45	61	0.908476659604112	0.446434351821879
LV3003047122	76.951	31.46	low_diversity_but_saturated	126	43633	8.03978640020168	24.4860541333394	36.4861458070726	18	63	90	0.899564881248471	0.487849228721963
LV3003047105	82.4525	68.23	low_diversity_but_saturated	114	62015	9.95404337660243	36.7491735870354	50.6796742723535	10	43	70	0.837110431841392	0.599514690135805
LV3003047104	83.84125	1	low_diversity_but_saturated	138	88376	17.3553906037838	44.668235720105	55.6010681633023	8	40	75	0.767666975108607	0.674658540649111
LV3003047090	90.757	58.67	low_diversity_but_saturated	161	110264	15.2570195167961	41.7289414496118	55.8133207574548	8	41	82	0.766821622690322	0.696138302517775
LV3003047089	92.1385	1.23	low_diversity_but_saturated	206	141951	9.01367373248515	33.9596057794591	47.4184753893949	12	64	113	0.805476853282162	0.662823312543307
LV3003047088	93.52	46.2	low_diversity_but_saturated	112	46002	10.8103995478457	35.9636537541846	49.654362853789	11	48	75	0.849949449563682	0.561813694435646
LV3003047087	94.9015	1.28	low_diversity_but_saturated	142	45812	6.8519165284205	23.7208591635379	34.1176984196281	25	76	105	0.913191366726235	0.445711376439902
LV3003047064	96.283	31.71	low_diversity_but_saturated	35	21720	17.6979742173112	54.2771639042357	71.3213627992634	5	15	22	0.83272607306319	0.558376742962379
LV3003047078	98.757	23.95	low_diversity_but_saturated	44	13396	15.2657509704389	45.3792176769185	60.6001791579576	7	23	32	0.874688909134397	0.480648904693396
LV3003047077	99.7145	39.39	low_diversity_but_saturated	117	46091	8.48538760278579	28.4524093640841	43.0561280944219	16	55	81	0.88455415970132	0.515601336412341
LV3003047074	100.672	71.25	insufficient_for_call	20	8155	20.6621704475782	56.9589209074188	82.2808093194359	5	10	14	0.883251223995071	0.452992029429798
LV3003047073	101.685	16.41	insufficient_for_call	12	4586	20.1046663759267	64.8059310946359	95.3990405582207	4	7	9	0.932546951489978	0.318505596743713
LV3003047162	102.698	24.03	low_diversity_but_saturated	53	24615	22.4822262847857	49.006703229738	64.9400771887061	6	22	34	0.818648756324894	0.576036241132305
LV3003047063	103.695	26.33	low_diversity_but_saturated	57	24610	16.0097521332792	47.0946769605851	62.661519707436	6	24	38	0.827006363291464	0.567843623687419
LV3003047062	104.692	74.51	low_diversity_but_saturated	108	39336	11.6941224323775	31.2690665039658	46.2578808216392	13	51	75	0.872062894629494	0.522677370272449
LV3003047061	105.689	43.21	low_diversity_but_saturated	109	39371	13.5353432729674	33.240202179269	42.924995555104	15	54	76	0.873145602468039	0.505219344839808
LV3003047060	106.686	70.8	low_diversity_but_saturated	162	46974	6.25665261634096	15.4298122365564	24.7945672073913	33	91	122	0.936240173422361	0.407063639617818
LV3003047059	107.683	57.46	low_diversity_but_saturated	169	79512	11.6950900493007	31.910906529832	44.0436663648254	15	68	108	0.842567358755321	0.584189294340447
