sample	age_kyr	depth_in_core_cm	total_reads	detected_taxa	observed_taxa	shannon_raw	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	qc_depth_class	rarefaction_slope_per_10k
LV3003047028	4.753	25	11886	38	38	3.11840101577944	124.79	6.48560900630185	6.45915295656391	78.3	79.3	low_diversity_but_saturated	0
LV3003047141	39.15347	309.5	6891	27	27	3.05927080149058	61.93	5.98048151434607	5.92929679515375	61.3	61.8	low_diversity_but_saturated	0
LV3003047140	46.0948	349.5	29261	108	108	4.44454768385953	83.7	6.38770759937478	6.31283338189959	64.6	65.5	low_diversity_but_saturated	0
LV3003047127	47.6248	354.5	96803	240	240	4.83893507451689	56.2	7.70321853093494	7.05624544244435	60.3	63	low_diversity_but_saturated	0
LV3003047161	54.98346	379.5	7628	30	30	3.22311961846448	31.63	6.0432754104377	5.89954857303288	59.1	62	low_diversity_but_saturated	0
LV3003047160	55.8911266666667	384.5	6403	24	24	2.91733029854508	36.23	6.28012061773137	5.99632556862128	56.6	66.2	insufficient_for_call	0
LV3003047125	72.872	469.2	107697	232	232	4.70571671587336	32.35	7.56593544762643	6.78315935553136	62	66	low_diversity_but_saturated	0
LV3003047124	74.227	474.2	69484	145	145	4.13578570092987	25.72	7.75519610995641	6.62984571348159	56.2	59.8	low_diversity_but_saturated	0
LV3003047123	75.589	479.2	25995	82	82	4.00340158156778	0.85	8.14291682611608	6.42825680067488	61.2	68.5	low_diversity_but_saturated	0
LV3003047122	76.951	484.2	43633	126	126	4.35054935931093	31.46	7.39135380518593	6.43936317233712	58.2	61.2	low_diversity_but_saturated	0
LV3003047105	82.4525	504.2	62015	114	114	3.96472112842204	68.23	7.21737954306536	6.62042756971581	62.3	66.1	low_diversity_but_saturated	0
LV3003047104	83.84125	509.2	88376	138	138	3.78248993207737	1	8.0545486256001	6.67980878206339	60.2	65.9	low_diversity_but_saturated	0
LV3003047090	90.757	534.2	110264	161	161	3.89653074070307	58.67	7.73707721321004	6.96726770033963	70.8	80.3	low_diversity_but_saturated	0
LV3003047089	92.1385	539.2	141951	206	206	4.29148093111365	1.23	8.67265142265355	7.15896794083345	65.4	86.5	low_diversity_but_saturated	0
LV3003047088	93.52	544.2	46002	112	112	4.01048551842412	46.2	7.43685559698328	6.57631669724637	58.7	62.9	low_diversity_but_saturated	0
LV3003047087	94.9015	549.2	45812	142	142	4.52561848398975	1.28	7.98816708128839	6.70482897942603	62.8	70.1	low_diversity_but_saturated	0
LV3003047064	96.283	554.2	21720	35	35	2.9606310296169	31.71	7.57927502583958	6.19909034064697	51.3	57.8	low_diversity_but_saturated	0
LV3003047078	98.757	564.2	13396	44	44	3.30998870284966	23.95	7.45915579309656	6.19841760923552	48.2	51.4	low_diversity_but_saturated	0
LV3003047077	99.7145	569.2	46091	117	117	4.21240076324656	39.39	7.54179709780102	6.6010285122959	60	64.6	low_diversity_but_saturated	0
LV3003047074	100.672	574.2	8155	20	20	2.6459841973781	71.25	6.51052771850801	5.96374109096816	51.6	52.8	insufficient_for_call	0
LV3003047073	101.685	579.2	4586	12	12	2.31729212099697	16.41	6.92397274178271	5.82869726744958	50.9	55.5	insufficient_for_call	0
LV3003047162	102.698	584.2	24615	53	53	3.25027453727623	24.03	7.28420540628884	6.35481829529252	49.7	51.8	low_diversity_but_saturated	0
LV3003047063	103.695	589.2	24610	57	57	3.34362912561279	26.33	7.55693681901201	6.27782229862708	54.5	59.4	low_diversity_but_saturated	0
LV3003047062	104.692	594.2	39336	108	108	4.08311291096109	74.51	7.09569496559726	6.457942421364	64.7	66.7	low_diversity_but_saturated	0
LV3003047061	105.689	599.2	39371	109	109	4.09622977301612	43.21	7.4482587660589	6.46178206121975	61.9	66	low_diversity_but_saturated	0
LV3003047060	106.686	604.2	46974	162	162	4.76321207520094	70.8	7.16272835608921	6.53486657908937	58.9	62	low_diversity_but_saturated	0
LV3003047059	107.683	609.2	79512	169	169	4.32228521091505	57.46	7.70247026740302	6.6868841752809	52.1	54.7	low_diversity_but_saturated	0
