taxon	samples_present	total_counts	max_count	mean_count_when_present	pct_low_samples_present	domain	phylum	functional_group	signal_source	tea_primary	confidence_score	module_completeness_detail
S__GCA_011055585.1	27	85257	16823	3157.66666666667	100	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
S__GCA_016838845.1	27	54034	7887	2001.25925925926	100	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300024058_12	26	38374	5136	1475.92307692308	96.2962962962963	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:1;W00011:0.62
S__GCA_013911135.1	25	62542	15338	2501.68	92.5925925925926	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_013390475.1	25	19114	3052	764.56	92.5925925925926	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_008974855.1	24	25683	4753	1070.125	88.8888888888889	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300006311_3	23	12766	1984	555.04347826087	85.1851851851852	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__GCA_016838795.1	22	32592	7170	1481.45454545455	81.4814814814815	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300026253_28	22	7741	1423	351.863636363636	81.4814814814815	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:0;W00011:0.38
S__3300024516_13	21	15696	2332	747.428571428571	77.7777777777778	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.62
S__GCA_905182815.1	21	6936	756	330.285714285714	77.7777777777778	d__Bacteria	p__Proteobacteria	Pelagic_heterotroph	pelagic_export	O2	0.85	""
S__GCA_905182865.1	21	6560	948	312.380952380952	77.7777777777778	d__Bacteria	p__SAR324	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.33;W00010:1;W00011:0.38
S__GCA_011049715.1	20	19066	2681	953.3	74.0740740740741	d__Bacteria	p__Desulfobacterota	Sulfate_reduction_diagenetic	diagenetic_in_situ	SO4--	0.99	M00596:1
S__GCA_017368835.1	20	7452	1671	372.6	74.0740740740741	d__Bacteria	p__Planctomycetota	Anammox	particle_associated	NO2-/NH4+	0.968888888888889	M00973:0.89
S__GCA_001437625.1	20	5212	532	260.6	74.0740740740741	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_014384505.1	20	5128	749	256.4	74.0740740740741	d__Bacteria	p__Bacteroidota	Particle_heterotroph	particle_associated	O2	0.85	""
S__GCA_905181595.1	20	4771	526	238.55	74.0740740740741	d__Bacteria	p__Proteobacteria	Pelagic_heterotroph	pelagic_export	O2	0.85	""
S__3300024516_38	19	7721	842	406.368421052632	70.3703703703704	d__Bacteria	p__KSB1	Unknown	uncertain	Unknown	0.1	""
S__3300024058_22	19	6234	1086	328.105263157895	70.3703703703704	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCF_002836475.1	19	5970	453	314.21052631579	70.3703703703704	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.75
S__3300027752_17	19	5900	748	310.526315789474	70.3703703703704	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__GCA_015659035.1	19	5632	652	296.421052631579	70.3703703703704	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.75;W00008:1;W00010:0;W00011:0.5
S__3300026253_8	19	5294	684	278.631578947368	70.3703703703704	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.25
S__TARA_ARC_108_MAG_00146	19	5247	893	276.157894736842	70.3703703703704	d__Bacteria	p__Verrucomicrobiota	Particle_heterotroph	particle_associated	O2	0.85	""
S__GCA_013215285.1	18	10785	2196	599.166666666667	66.6666666666667	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300024431_33	18	7575	1364	420.833333333333	66.6666666666667	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
S__GCA_004356825.1	18	7306	896	405.888888888889	66.6666666666667	d__Bacteria	p__KSB1	Core_heterotrophy	pelagic_export	O2	0.6	""
S__GCA_905612295.1	18	6858	892	381	66.6666666666667	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_016276965.1	18	6531	1066	362.833333333333	66.6666666666667	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
S__GCA_905181765.1	18	6010	596	333.888888888889	66.6666666666667	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__GCF_002836055.1	18	5555	1540	308.611111111111	66.6666666666667	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__3300024060_27	18	5324	585	295.777777777778	66.6666666666667	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.25
S__3300020263_16	18	4673	569	259.611111111111	66.6666666666667	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__GCA_016782865.1	17	78048	11592	4591.05882352941	62.962962962963	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__GCA_012974305.1	17	30712	10838	1806.58823529412	62.962962962963	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__GCA_001795235.1	17	17886	2157	1052.11764705882	62.962962962963	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
S__3300020187_18	17	8305	1545	488.529411764706	62.962962962963	d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__GCF_012276695.1	17	6166	1088	362.705882352941	62.962962962963	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:0.33;W00010:1;W00011:0.5
S__3300024516_14	17	4335	502	255	62.962962962963	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:0;W00011:0.5
S__TARA_ARC_108_MAG_00066	17	3706	455	218	62.962962962963	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__3300026264_34	16	23799	5811	1487.4375	59.2592592592593	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__GCA_905478615.1	16	5764	960	360.25	59.2592592592593	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.75
S__GCA_012960805.1	16	5442	670	340.125	59.2592592592593	d__Bacteria	p__Bacteroidota	Particle_heterotroph	particle_associated	O2	0.85	""
S__TARA_ARC_108_MAG_00021	16	4173	723	260.8125	59.2592592592593	d__Bacteria	p__Actinobacteriota	Core_heterotrophy	uncertain	O2	0.7	""
S__TARA_SOC_28_MAG_00016	16	4057	603	253.5625	59.2592592592593	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__TARA_SOC_28_MAG_00007	16	3187	385	199.1875	59.2592592592593	d__Bacteria	p__Proteobacteria	Pelagic_heterotroph	pelagic_export	O2	0.85	""
S__3300027779_22	16	2730	286	170.625	59.2592592592593	d__Bacteria	p__Marinisomatota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__GCA_001643535.1	15	8453	1655	563.533333333333	55.5555555555556	d__Bacteria	p__Methylomirabilota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.12
S__3300025276_12	15	4175	763	278.333333333333	55.5555555555556	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
S__3300020389_10	15	3362	465	224.133333333333	55.5555555555556	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.5
S__3300027801_7	15	3155	451	210.333333333333	55.5555555555556	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.33;W00008:0.33;W00010:1;W00011:0.75
S__GCA_016838825.1	14	5348	804	382	51.8518518518519	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300027801_13	14	4735	875	338.214285714286	51.8518518518519	d__Bacteria	p__Verrucomicrobiota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__3300027687_20	14	3807	666	271.928571428571	51.8518518518519	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__GCA_013390375.1	14	3522	493	251.571428571429	51.8518518518519	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300027791_27	14	3066	445	219	51.8518518518519	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__GCA_003672175.1	13	7395	2525	568.846153846154	48.1481481481482	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__GCA_002082295.1	13	5955	1540	458.076923076923	48.1481481481482	d__Bacteria	p__SAR324	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.5
S__3300027847_80	13	4858	911	373.692307692308	48.1481481481482	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__3300024516_18	13	4523	1003	347.923076923077	48.1481481481482	d__Bacteria	p__Nitrospirota	Nitrite_oxidation_NOB	pelagic_export	O2	0.85	""
S__GCA_905182475.1	13	4475	1799	344.230769230769	48.1481481481482	d__Bacteria	p__Verrucomicrobiota	Particle_heterotroph	particle_associated	O2	0.85	""
S__3300026080_15	13	4177	708	321.307692307692	48.1481481481482	d__Bacteria	p__Verrucomicrobiota	Particle_heterotroph	particle_associated	O2	0.85	""
S__GCA_002499015.1	13	3768	616	289.846153846154	48.1481481481482	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__GCA_012964335.1	13	2429	315	186.846153846154	48.1481481481482	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__TARA_ARC_108_MAG_00105	13	2108	320	162.153846153846	48.1481481481482	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.62
S__GCA_016777225.1	12	9762	3484	813.5	44.4444444444444	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
S__GCA_004356105.1	12	5460	1596	455	44.4444444444444	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:0.67;W00008:1;W00010:0;W00011:0.75
S__GCA_905478185.1	12	5339	1970	444.916666666667	44.4444444444444	d__Bacteria	p__Bacteroidota	Particle_heterotroph	particle_associated	O2	0.85	""
S__GCA_905612455.1	12	4793	1044	399.416666666667	44.4444444444444	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
S__3300026108_2	12	4179	666	348.25	44.4444444444444	d__Bacteria	p__Chloroflexota	Dehalococcoidia	diagenetic_in_situ	CO2	0.85	""
