sample	taxon	count	relative_abundance	domain	phylum	functional_group	signal_source	tea_primary	confidence_score	module_completeness_detail
LV3003047028	S__GCA_011055585.1	2778	0.233720343260979	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.85	""
LV3003047028	S__3300024516_13	1154	0.0970890122833586	d__Bacteria	p__Proteobacteria	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:1;W00011:0.62
LV3003047028	S__GCA_013911135.1	914	0.0768971899713949	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047028	S__GCA_016777225.1	448	0.0376914016489988	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
LV3003047028	S__3300024516_38	443	0.0372707386841662	d__Bacteria	p__KSB1	Unknown	uncertain	Unknown	0.1	""
LV3003047028	S__GCA_003672175.1	409	0.0344102305233047	d__Archaea	p__Thermoplasmatota	Pelagic_heterotroph_MGII	pelagic_export	O2	0.85	""
LV3003047028	S__GCA_013215285.1	363	0.030540131246845	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047028	S__GCA_004356825.1	347	0.0291940097593808	d__Bacteria	p__KSB1	Core_heterotrophy	pelagic_export	O2	0.6	""
LV3003047028	S__GCA_008974855.1	296	0.0249032475180885	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047028	S__GCA_905478185.1	282	0.0237253912165573	d__Bacteria	p__Bacteroidota	Particle_heterotroph	particle_associated	O2	0.85	""
LV3003047028	S__GCA_013390475.1	247	0.0207807504627293	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047028	S__3300026253_28	241	0.0202759549049302	d__Bacteria	p__Acidobacteriota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.67;W00010:0;W00011:0.38
LV3003047028	S__GCA_016838845.1	240	0.0201918223119637	d__Archaea	p__Thermoproteota	Nitrification_AOA	pelagic_export	O2	0.895	M00528:0.5
LV3003047028	S__GCA_905480095.1	233	0.019602894161198	d__Bacteria	p__Bacteroidota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.5
LV3003047028	S__GCA_003331785.1	223	0.0187615682315329	d__Bacteria	p__Cyanobacteria	Oxygenic_photosynthesis	pelagic_export	O2	0.85	""
LV3003047059	S__GCA_016782865.1	9299	0.116950900493007	d__Bacteria	p__Planctomycetota	Core_heterotrophy	pelagic_export	O2	0.99	M00307:1;W00008:0.33;W00010:0;W00011:0.38
