core	mg	al	si	p	s	cl	ar	k	ca	ti	v	cr	mn	fe	ni	cu	zn	ge	as	se	br	rb	sr	y	zr	nb	mo	sn	sb	ba	la	ce	nd	sm	eu	tm	yb	hg	pb	at	u	depth_in_core_cm	ga	ru	bi	ag	cd	te	y_bp
GeoB25202	60	337	3773	124	784	13487	NA	1966	152040	2087	NA	148	572	14108	2464	274	530	NA	NA	NA	1293	1357	7091	NA	5306	889	273	1787	NA	1070	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	13	87	18156	44	153089	112	639	1559
GeoB25202	87	759	7901	179	1134	21512	NA	3730	113863	4994	NA	183	694	31056	2421	273	485	NA	NA	NA	1495	1378	7818	NA	3831	779	289	1309	NA	1674	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	14	99	19829	28	154001	73	836	1665
GeoB25202	88	1247	13963	136	1193	21938	NA	7176	96490	7675	NA	197	958	51758	2476	269	562	NA	NA	NA	1407	1393	7088	NA	4128	674	313	957	NA	1670	NA	NA	NA	NA	NA	NA	NA	NA	43	NA	NA	15	109	20199	29	153827	59	778	1766
GeoB25202	76	1529	15245	124	1171	22215	NA	8474	43967	12535	NA	45	1917	81327	2502	329	551	NA	NA	NA	1478	1391	7045	NA	4577	852	244	1004	NA	1363	NA	NA	NA	NA	NA	NA	NA	NA	47	NA	NA	16	113	19993	28	155180	72	790	1864
GeoB25202	87	1449	14544	155	1033	21599	NA	7314	43653	14144	NA	180	1976	87361	2444	292	514	NA	NA	NA	1590	1191	6639	NA	4451	618	359	1141	NA	1348	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	NA	17	76	19571	41	155606	67	903	1965
GeoB25202	102	1631	15555	202	1188	22937	NA	8912	41824	12013	NA	NA	2036	79389	2416	310	492	NA	NA	NA	1416	982	6238	NA	4705	742	237	1774	NA	1267	NA	NA	NA	NA	NA	NA	NA	NA	53	NA	NA	18	142	18635	19	153064	98	721	2073
GeoB25202	72	1522	15325	143	1219	22604	NA	9335	41992	12086	NA	178	1909	80467	2433	301	495	NA	NA	NA	1043	977	6683	NA	5249	648	446	1116	NA	1537	NA	NA	NA	NA	NA	NA	NA	NA	57	NA	NA	19	105	15332	31	152484	89	735	2176
GeoB25202	51	263	3055	37	480	8275	NA	1719	23671	8880	NA	205	1036	49049	2405	361	528	NA	NA	NA	1463	726	6169	NA	4714	794	235	805	NA	1090	NA	NA	NA	NA	NA	NA	NA	NA	54	NA	NA	28	120	19347	69	157061	95	750	3267
GeoB25202	25	227	3024	44	406	7013	NA	1561	17109	6465	NA	249	814	35591	2480	370	528	NA	NA	NA	1497	754	6112	NA	3559	777	364	1005	NA	962	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	29	95	19691	42	153431	92	786	3422
GeoB25202	167	1736	19537	264	788	15039	NA	4381	69157	32596	NA	766	2948	125112	2316	296	538	NA	NA	NA	1026	650	6415	NA	4428	757	358	1066	NA	1142	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	30	111	16146	31	153482	58	737	3575
GeoB25202	113	1443	16261	212	981	20301	NA	5185	53576	21992	NA	426	2479	107890	2404	333	495	NA	NA	NA	1411	651	5822	NA	4314	962	172	981	NA	877	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA	31	55	18589	40	152608	103	722	3982
GeoB25202	109	1288	13450	216	1225	23947	NA	6226	35467	14023	NA	239	1966	95478	2570	376	510	NA	NA	NA	1626	603	5983	NA	4359	816	212	1079	NA	1021	NA	NA	NA	NA	NA	NA	NA	NA	36	NA	NA	32	130	19043	27	153223	74	863	4366
GeoB25202	68	1387	13963	200	1088	22129	NA	6294	35048	13950	NA	164	2036	93172	2485	331	532	NA	NA	NA	1539	740	6128	NA	4503	644	226	1034	NA	941	NA	NA	NA	NA	NA	NA	NA	NA	50	NA	NA	33	121	18373	49	151657	57	809	4741
GeoB25202	71	1375	14818	195	1049	20890	NA	5627	43007	14722	NA	203	1995	93502	2434	409	517	NA	NA	NA	1681	734	5773	NA	4435	855	357	945	NA	973	NA	NA	NA	NA	NA	NA	NA	NA	46	NA	NA	34	93	20245	51	152766	107	678	5090
GeoB25202	92	1094	12041	222	1135	23824	NA	5338	38656	14101	NA	137	1918	93086	2332	329	459	NA	NA	NA	1717	867	5900	NA	4036	1014	117	1135	NA	942	NA	NA	NA	NA	NA	NA	NA	NA	31	NA	NA	35	128	21465	35	154920	95	827	5432
GeoB25202	102	1113	11856	177	1376	26205	NA	5866	32470	13459	NA	231	2151	93442	2424	372	519	NA	NA	NA	1590	851	6185	NA	4318	855	270	1196	NA	950	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	36	94	19564	33	155752	113	837	5925
