module	pearson_r	spearman_rho	rmse	variant	setting_id
MEturquoise	0.765813503782609	0.792319231923192	0.140882750467161	alr_single_reference	exp3
MEgrey	0.858001594466549	0.884578253384269	0.130088596431285	alr_single_reference	exp3
MEturquoise	0.765813503782609	0.792319231923192	0.140882750467161	alr_single_reference	exp4
MEgrey	0.858001594466549	0.884578253384269	0.130088596431285	alr_single_reference	exp4
MEturquoise	0.765813503782609	0.792319231923192	0.140882750467161	alr_single_reference	opt5
MEgrey	0.858001594466549	0.884578253384269	0.130088596431285	alr_single_reference	opt5
MEblack	0.758220454218709	0.607776777677768	0.11979719658323	alr_panel_reference	exp3
MEpink	0.842190467683085	0.804536453645365	0.121828728115002	alr_panel_reference	exp3
MEred	0.817811534838551	0.785526552655266	0.125426749373502	alr_panel_reference	exp3
MEgreen	0.889852804331668	0.816345634563457	0.11941746172533	alr_panel_reference	exp3
MEturquoise	0.913370484809511	0.883240324032403	0.124439293519797	alr_panel_reference	exp3
MEbrown	0.920707850005628	0.915103510351035	0.118052430732807	alr_panel_reference	exp3
MEmagenta	0.71012339381825	0.496837683768377	0.127623189882521	alr_panel_reference	exp3
MEblue	0.937547904890847	0.860990099009901	0.13073226731834	alr_panel_reference	exp3
MEpurple	0.906884174867925	0.861050105010501	0.142620717185711	alr_panel_reference	exp3
MEyellow	0.924694602369774	0.921788178817882	0.134888112764512	alr_panel_reference	exp3
MEgrey	-0.097871475231094	-0.122844284428443	0.200807066985898	alr_panel_reference	exp3
MEbrown	0.920707850005628	0.915103510351035	0.118052430732807	alr_panel_reference	exp4
MEgreenyellow	0.71012339381825	0.496837683768377	0.127623189882521	alr_panel_reference	exp4
MEblue	0.949592510317375	0.877443744374438	0.129763115431341	alr_panel_reference	exp4
MEgreen	0.868037214277353	0.755535553555356	0.131663648871663	alr_panel_reference	exp4
MEred	0.924694602369774	0.921788178817882	0.134888112764512	alr_panel_reference	exp4
MEtan	0.906884174867925	0.861050105010501	0.142620717185711	alr_panel_reference	exp4
MEmagenta	0.758220454218709	0.607776777677768	0.11979719658323	alr_panel_reference	exp4
MEpurple	0.842190467683085	0.804536453645365	0.121828728115002	alr_panel_reference	exp4
MEpink	0.817811534838551	0.785526552655266	0.125426749373502	alr_panel_reference	exp4
MEyellow	0.945959806830242	0.918211821182118	0.10796469935865	alr_panel_reference	exp4
MEblack	0.889852804331668	0.816345634563457	0.11941746172533	alr_panel_reference	exp4
MEturquoise	0.898848301609046	0.862538253825383	0.129007835877215	alr_panel_reference	exp4
MEgrey	-0.097871475231094	-0.122844284428443	0.200807066985898	alr_panel_reference	exp4
MEbrown	0.911960993456336	0.914479447944795	0.118365170243088	alr_panel_reference	opt5
MEblue	0.93992814102508	0.873267326732673	0.131057862143702	alr_panel_reference	opt5
MEturquoise	0.920413954460861	0.87985598559856	0.123419293196284	alr_panel_reference	opt5
MEyellow	0.857310450669908	0.808604860486049	0.128935746138751	alr_panel_reference	opt5
MEgrey	-0.583343371818378	-0.584290429042904	0.224695896316124	alr_panel_reference	opt5
