ref_module	best_test_module	best_jaccard	ref_size	test_size	variant	setting_id
black	turquoise	0.0412256267409471	74	1795	alr_single_reference	exp3
blue	turquoise	0.112534818941504	202	1795	alr_single_reference	exp3
brown	turquoise	0.0824512534818942	148	1795	alr_single_reference	exp3
green	turquoise	0.0596100278551532	107	1795	alr_single_reference	exp3
pink	turquoise	0.0245125348189415	44	1795	alr_single_reference	exp3
red	turquoise	0.0584958217270195	105	1795	alr_single_reference	exp3
turquoise	turquoise	0.268523676880223	482	1795	alr_single_reference	exp3
yellow	turquoise	0.0662952646239554	119	1795	alr_single_reference	exp3
black	turquoise	0.0584958217270195	105	1795	alr_single_reference	exp4
blue	turquoise	0.128133704735376	230	1795	alr_single_reference	exp4
brown	turquoise	0.112534818941504	202	1795	alr_single_reference	exp4
green	turquoise	0.0662952646239554	119	1795	alr_single_reference	exp4
magenta	turquoise	0.0245125348189415	44	1795	alr_single_reference	exp4
pink	turquoise	0.0412256267409471	74	1795	alr_single_reference	exp4
red	turquoise	0.0596100278551532	107	1795	alr_single_reference	exp4
turquoise	turquoise	0.140389972144847	252	1795	alr_single_reference	exp4
yellow	turquoise	0.0824512534818942	148	1795	alr_single_reference	exp4
blue	turquoise	0.178272980501393	320	1795	alr_single_reference	opt5
brown	turquoise	0.143732590529248	258	1795	alr_single_reference	opt5
green	turquoise	0.0596100278551532	107	1795	alr_single_reference	opt5
turquoise	turquoise	0.188300835654596	338	1795	alr_single_reference	opt5
yellow	turquoise	0.0896935933147632	161	1795	alr_single_reference	opt5
black	green	0.445652173913043	74	59	alr_panel_reference	exp3
blue	blue	0.251082251082251	202	376	alr_panel_reference	exp3
brown	blue	0.201834862385321	148	376	alr_panel_reference	exp3
green	turquoise	0.135922330097087	107	712	alr_panel_reference	exp3
pink	turquoise	0.0603085553997195	44	712	alr_panel_reference	exp3
red	blue	0.16747572815534	105	376	alr_panel_reference	exp3
turquoise	brown	0.443064182194617	483	214	alr_panel_reference	exp3
yellow	black	0.270491803278689	119	36	alr_panel_reference	exp3
black	green	0.385714285714286	105	89	alr_panel_reference	exp4
blue	red	0.184905660377358	230	84	alr_panel_reference	exp4
brown	blue	0.247448979591837	202	287	alr_panel_reference	exp4
green	magenta	0.270491803278689	119	36	alr_panel_reference	exp4
magenta	turquoise	0.0725126475548061	44	592	alr_panel_reference	exp4
pink	black	0.445652173913043	74	59	alr_panel_reference	exp4
red	yellow	0.621428571428571	107	120	alr_panel_reference	exp4
turquoise	brown	0.531147540983607	253	214	alr_panel_reference	exp4
yellow	blue	0.246418338108883	148	287	alr_panel_reference	exp4
blue	blue	0.245669291338583	320	471	alr_panel_reference	opt5
brown	brown	0.522935779816514	259	239	alr_panel_reference	opt5
green	turquoise	0.141779788838612	107	650	alr_panel_reference	opt5
turquoise	blue	0.431858407079646	338	471	alr_panel_reference	opt5
yellow	yellow	0.322175732217573	161	155	alr_panel_reference	opt5
