module	pearson_r	spearman_rho	rmse	variant	setting_id
MEbrown	0.920707850005628	0.915103510351035	0.118052430732807	alr_panel_reference	exp4
MEgreenyellow	0.71012339381825	0.496837683768377	0.127623189882521	alr_panel_reference	exp4
MEblue	0.949592510317375	0.877443744374438	0.129763115431341	alr_panel_reference	exp4
MEgreen	0.868037214277353	0.755535553555356	0.131663648871663	alr_panel_reference	exp4
MEred	0.924694602369774	0.921788178817882	0.134888112764512	alr_panel_reference	exp4
MEtan	0.906884174867925	0.861050105010501	0.142620717185711	alr_panel_reference	exp4
MEmagenta	0.758220454218709	0.607776777677768	0.11979719658323	alr_panel_reference	exp4
MEpurple	0.842190467683085	0.804536453645365	0.121828728115002	alr_panel_reference	exp4
MEpink	0.817811534838551	0.785526552655266	0.125426749373502	alr_panel_reference	exp4
MEyellow	0.945959806830242	0.918211821182118	0.10796469935865	alr_panel_reference	exp4
MEblack	0.889852804331668	0.816345634563457	0.11941746172533	alr_panel_reference	exp4
MEturquoise	0.898848301609046	0.862538253825383	0.129007835877215	alr_panel_reference	exp4
MEgrey	-0.097871475231094	-0.122844284428443	0.200807066985898	alr_panel_reference	exp4
