module	Zsummary	Zdensity	Zconnectivity	preserved	module_type	variant	setting_id
black	8.47663391926715	10.3738665038925	6.57940133464182	moderate	biological	alr_panel_reference	exp4
blue	13.8863550308647	11.5447957523389	16.2279143093905	strong	biological	alr_panel_reference	exp4
brown	11.2847839328284	10.3812062752893	12.1883615903676	strong	biological	alr_panel_reference	exp4
gold	21.62491471696	4.07334261695946	39.1764868169605	strong	technical	alr_panel_reference	exp4
green	5.03491832026805	4.65093440827152	5.41890223226458	moderate	biological	alr_panel_reference	exp4
greenyellow	3.22344620370472	1.30143107991532	5.14546132749412	moderate	biological	alr_panel_reference	exp4
grey	8.46248587716104	-1.28278217498516	18.2077539293072	moderate	technical	alr_panel_reference	exp4
magenta	2.66913282423749	1.80725158329892	3.53101406517605	moderate	biological	alr_panel_reference	exp4
pink	-0.658417420573433	-2.12953681339185	0.812701972244981	weak	biological	alr_panel_reference	exp4
purple	2.65848610840826	1.67247224958958	3.64449996722694	moderate	biological	alr_panel_reference	exp4
red	5.82529367349647	4.04562653187043	7.6049608151225	moderate	biological	alr_panel_reference	exp4
tan	4.23345337638828	5.24540969305141	3.22149705972515	moderate	biological	alr_panel_reference	exp4
turquoise	16.4224212507955	9.55742824194763	23.2874142596433	strong	biological	alr_panel_reference	exp4
yellow	9.82820938088043	9.14689207274616	10.5095266890147	moderate	biological	alr_panel_reference	exp4
