variant	setting_id	metric	value	scaled	label	row_label
alr_panel_reference	exp3	grey_pct	10.5731775180857	0.327402783969882	10.57	exp3 | alr_panel_reference
alr_single_reference	exp3	grey_pct	0.0556792873051225	1	0.06	exp3 | alr_single_reference
alr_panel_reference	exp4	grey_pct	10.5731775180857	0.327402783969882	10.57	exp4 | alr_panel_reference
alr_single_reference	exp4	grey_pct	0.0556792873051225	1	0.06	exp4 | alr_single_reference
alr_panel_reference	opt5	grey_pct	15.6928213689483	0	15.69	opt5 | alr_panel_reference
alr_single_reference	opt5	grey_pct	0.0556792873051225	1	0.06	opt5 | alr_single_reference
alr_panel_reference	exp3	mean_ref_best_jaccard	0.246978985813258	0.658427187957966	0.25	exp3 | alr_panel_reference
alr_single_reference	exp3	mean_ref_best_jaccard	0.0892061281337047	0.0389194440627649	0.09	exp3 | alr_single_reference
alr_panel_reference	exp4	mean_ref_best_jaccard	0.333968888994564	1	0.33	exp4 | alr_panel_reference
alr_single_reference	exp4	mean_ref_best_jaccard	0.0792943361188487	0	0.08	exp4 | alr_single_reference
alr_panel_reference	opt5	mean_ref_best_jaccard	0.332883799858186	0.995739310723721	0.33	opt5 | alr_panel_reference
alr_single_reference	opt5	mean_ref_best_jaccard	0.131922005571031	0.206646753112648	0.13	opt5 | alr_single_reference
alr_panel_reference	exp3	min_ref_best_jaccard	0.0603085553997195	0.30525163124203	0.06	exp3 | alr_panel_reference
alr_single_reference	exp3	min_ref_best_jaccard	0.0245125348189415	0	0.02	exp3 | alr_single_reference
alr_panel_reference	exp4	min_ref_best_jaccard	0.0725126475548061	0.40932239044169	0.07	exp4 | alr_panel_reference
alr_single_reference	exp4	min_ref_best_jaccard	0.0245125348189415	0	0.02	exp4 | alr_single_reference
alr_panel_reference	opt5	min_ref_best_jaccard	0.141779788838612	1	0.14	opt5 | alr_panel_reference
alr_single_reference	opt5	min_ref_best_jaccard	0.0596100278551532	0.299294916808782	0.06	opt5 | alr_single_reference
alr_panel_reference	exp3	bio_pres_strong	3	1	3.00	exp3 | alr_panel_reference
alr_single_reference	exp3	bio_pres_strong	1	0	1.00	exp3 | alr_single_reference
alr_panel_reference	exp4	bio_pres_strong	3	1	3.00	exp4 | alr_panel_reference
alr_single_reference	exp4	bio_pres_strong	1	0	1.00	exp4 | alr_single_reference
alr_panel_reference	opt5	bio_pres_strong	3	1	3.00	opt5 | alr_panel_reference
alr_single_reference	opt5	bio_pres_strong	1	0	1.00	opt5 | alr_single_reference
alr_panel_reference	exp3	bio_pres_moderate	6	0.75	6.00	exp3 | alr_panel_reference
alr_single_reference	exp3	bio_pres_moderate	0	0	0.00	exp3 | alr_single_reference
alr_panel_reference	exp4	bio_pres_moderate	8	1	8.00	exp4 | alr_panel_reference
alr_single_reference	exp4	bio_pres_moderate	0	0	0.00	exp4 | alr_single_reference
alr_panel_reference	opt5	bio_pres_moderate	1	0.125	1.00	opt5 | alr_panel_reference
alr_single_reference	opt5	bio_pres_moderate	0	0	0.00	opt5 | alr_single_reference
alr_panel_reference	exp3	mean_concordance_pearson	0.862140367183395	0.680323075621834	0.86	exp3 | alr_panel_reference
alr_single_reference	exp3	mean_concordance_pearson	0.765813503782609	0	0.77	exp3 | alr_single_reference
alr_panel_reference	exp4	mean_concordance_pearson	0.869410259597301	0.73166779288819	0.87	exp4 | alr_panel_reference
alr_single_reference	exp4	mean_concordance_pearson	0.765813503782609	0	0.77	exp4 | alr_single_reference
alr_panel_reference	opt5	mean_concordance_pearson	0.907403384903046	1	0.91	opt5 | alr_panel_reference
alr_single_reference	opt5	mean_concordance_pearson	0.765813503782609	0	0.77	opt5 | alr_single_reference
alr_panel_reference	exp3	mean_concordance_spearman	0.795319531953195	0.0391006842619754	0.80	exp3 | alr_panel_reference
alr_single_reference	exp3	mean_concordance_spearman	0.792319231923192	0	0.79	exp3 | alr_single_reference
alr_panel_reference	exp4	mean_concordance_spearman	0.801891189118912	0.124744216357119	0.80	exp4 | alr_panel_reference
alr_single_reference	exp4	mean_concordance_spearman	0.792319231923192	0	0.79	exp4 | alr_single_reference
alr_panel_reference	opt5	mean_concordance_spearman	0.869051905190519	1	0.87	opt5 | alr_panel_reference
alr_single_reference	opt5	mean_concordance_spearman	0.792319231923192	0	0.79	opt5 | alr_single_reference
alr_panel_reference	exp3	mean_concordance_rmse	0.126482614720075	0.932758054579704	0.13	exp3 | alr_panel_reference
alr_single_reference	exp3	mean_concordance_rmse	0.140882750467161	0	0.14	exp3 | alr_single_reference
alr_panel_reference	exp4	mean_concordance_rmse	0.125671157158457	0.985319613015163	0.13	exp4 | alr_panel_reference
alr_single_reference	exp4	mean_concordance_rmse	0.140882750467161	0	0.14	exp4 | alr_single_reference
alr_panel_reference	opt5	mean_concordance_rmse	0.125444517930456	1	0.13	opt5 | alr_panel_reference
alr_single_reference	opt5	mean_concordance_rmse	0.140882750467161	0	0.14	opt5 | alr_single_reference
alr_panel_reference	exp3	cor_PC1_log_total	0.141947850704682	0	0.14	exp3 | alr_panel_reference
alr_single_reference	exp3	cor_PC1_log_total	0.114495877052669	0.193394782067716	0.11	exp3 | alr_single_reference
alr_panel_reference	exp4	cor_PC1_log_total	0.141947850704682	0	0.14	exp4 | alr_panel_reference
alr_single_reference	exp4	cor_PC1_log_total	0.114495877052669	0.193394782067716	0.11	exp4 | alr_single_reference
alr_panel_reference	opt5	cor_PC1_log_total	0.141947850704682	0	0.14	opt5 | alr_panel_reference
alr_single_reference	opt5	cor_PC1_log_total	0.114495877052669	0.193394782067716	0.11	opt5 | alr_single_reference
