sample	total_reads	log_total_reads
LV3003046936	1881184	6.27443150715505
LV3003046937	550640	5.74086854525352
LV3003046938	749210	5.87460414511034
LV3003046939	1520501	6.18198699573197
LV3003046949	1307775	6.11653336302888
LV3003046950	827508	5.91777272586659
LV3003046952	575975	5.7604043874428
LV3003046953	2200496	6.34252078081338
LV3003046965	2098826	6.32197664246912
LV3003046966	797010	5.90146431538148
LV3003046978	1424571	6.15368440402301
LV3003046979	557079	5.74591756692192
LV3003046980	576373	5.76070438173389
LV3003046993	1224870	6.08809035242446
LV3003046994	615826	5.78945872596691
LV3003046995	703131	5.84703686341278
LV3003047009	735476	5.86656909592246
LV3003047010	684865	5.83560560630494
LV3003047013	607702	5.7836913803003
LV3003047026	1714271	6.23407973166362
LV3003047027	728928	5.86268522871595
LV3003047028	11886	4.07507226270612
LV3003047041	1504623	6.1774279848954
LV3003047044	330929	5.51973613930819
LV3003047045	1001311	6.00056942090177
LV3003047059	79512	4.90043813955844
LV3003047060	46974	4.67186678877256
LV3003047061	39371	4.59518747643367
LV3003047062	39336	4.59480123577839
LV3003047063	24610	4.3911292604179
LV3003047064	21720	4.33687981559842
LV3003047065	139588	5.14485119602693
LV3003047067	369122	5.56717110686425
LV3003047068	296447	5.47194852470327
LV3003047069	265589	5.42421171893929
LV3003047070	302672	5.48097368136621
LV3003047071	445326	5.64867902703227
LV3003047073	4586	3.66152874013198
LV3003047074	8155	3.9114772171061
LV3003047077	46091	4.6636255532128
LV3003047078	13396	4.12700755737133
LV3003047079	171510	5.23429197910824
LV3003047080	360480	5.55688237914529
LV3003047081	284676	5.45435238047121
LV3003047082	203145	5.30780827537013
LV3003047083	270682	5.43246098115644
LV3003047084	534055	5.72758679863126
LV3003047085	442512	5.64592603378036
LV3003047087	45812	4.66098873187183
LV3003047088	46002	4.66278615431119
LV3003047089	141951	5.15214151579703
LV3003047090	110264	5.04243768180528
LV3003047091	233626	5.36852303224776
LV3003047093	373747	5.57257887734242
LV3003047094	316404	5.50024333783212
LV3003047095	317139	5.50125102185586
LV3003047096	554559	5.74394854103382
LV3003047097	325562	5.51263504176721
LV3003047098	245864	5.39069670934575
LV3003047099	501957	5.70066738023003
LV3003047100	317133	5.50124280532202
LV3003047101	208332	5.31875806775269
LV3003047104	88376	4.94633925514029
LV3003047105	62015	4.79250375103465
LV3003047106	180685	5.25692450364952
LV3003047107	276159	5.44116077403512
LV3003047110	176521	5.24679883937363
LV3003047112	326098	5.51334946702078
LV3003047113	524909	5.72008484654115
LV3003047114	219614	5.34166199968858
LV3003047117	291425	5.4645282953846
LV3003047118	1319922	6.12054859662214
LV3003047122	43633	4.63982502729579
LV3003047123	25995	4.41490652829503
LV3003047124	69484	4.84189106185163
LV3003047125	107697	5.03220763833021
LV3003047126	159066	5.20158009036671
LV3003047127	96803	4.98589330299059
LV3003047128	391438	5.59266409327141
LV3003047129	331944	5.52106613136895
LV3003047130	253221	5.40350143461365
LV3003047131	352895	5.54764673575364
LV3003047132	2357051	6.3723691637988
LV3003047133	265736	5.4244520277904
LV3003047134	265089	5.42339334513508
LV3003047136	273614	5.43713990239991
LV3003047137	199065	5.29899708989525
LV3003047138	238312	5.37714773380374
LV3003047139	193122	5.28583399919759
LV3003047140	29261	4.46630400597521
LV3003047141	6891	3.83834526877599
LV3003047142	202061	5.30548464730047
LV3003047143	385370	5.58587902995138
LV3003047144	655177	5.81635930596999
LV3003047145	644011	5.80889395972818
LV3003047146	383035	5.58323959346369
LV3003047147	230733	5.36311159506033
LV3003047148	231255	5.36409300944604
LV3003047149	174745	5.2424072433716
LV3003047150	369577	5.56770611091665
LV3003047152	280073	5.44727279400518
LV3003047153	404947	5.60739925836781
LV3003047154	221684	5.34573630819064
LV3003047155	275074	5.43945112163136
LV3003047156	510882	5.70832145146083
LV3003047158	197348	5.29523493009519
LV3003047159	168854	5.22751392514472
LV3003047160	6403	3.80645132324726
LV3003047161	7628	3.88246761489537
LV3003047162	24615	4.3912174832394
LV3003047164	192338	5.28406735375224
LV3003047166	363360	5.56033831209221
LV3003047167	191213	5.28151968658108
LV3003047168	498307	5.69749785953302
LV3003047169	561645	5.74946267021869
LV3003061473	119389	5.07696795219792
LV3003061474	633449	5.80171234048059
LV3003061475	339939	5.5314022700764
LV3003061476	530612	5.72477788597632
LV3003061477	2265796	6.35522099743865
LV3003061485	1607425	6.20613098873069
LV3003061486	207288	5.31657625643031
LV3003061488	908601	5.95837368844164
LV3003061489	288010	5.45940907507892
LV3003061492	2256543	6.35344380617919
LV3003061500	511586	5.70891950003649
LV3003061501	603306	5.78053836434133
LV3003061503	1167454	6.06724014951367
LV3003061504	396789	5.59856071842281
LV3003061505	454584	5.65761510115423
LV3003061506	484905	5.68565755790552
LV3003061513	213784	5.32997723012551
LV3003061514	1392493	6.14379333255492
LV3003061515	1712411	6.23360826256073
LV3003061516	448781	5.65203542967092
LV3003061517	1029848	6.01277355162342
LV3003061518	1323453	6.12170885089362
LV3003061527	14647	4.16577833129364
LV3003061528	1017781	6.00765476588312
LV3003061529	1022208	6.00953970036519
LV3003061530	628860	5.79855466197296
LV3003061531	983144	5.99261757485742
LV3003061533	723360	5.85935509007479
LV3003061539	281351	5.44925000669768
LV3003061541	648194	5.81170567667955
LV3003061543	850907	5.92988260679173
LV3003061544	419887	5.62313346309173
LV3003061545	853834	5.93137395322656
LV3003061546	662119	5.82093670638072
LV3003061555	37477	4.57377640686517
LV3003061556	481812	5.68287851370321
LV3003061557	444799	5.648164778574
LV3003061558	584697	5.76693160830547
LV3003061559	674707	5.82911585960729
LV3003061568	22478	4.35177698731776
LV3003061569	720079	5.85738074869307
LV3003061570	485560	5.68624379716732
LV3003061571	632984	5.80139341855698
LV3003061572	1903659	6.27958938453724
LV7001898064	953475	5.97930976586787
LV7001898076	2366636	6.37413164999221
LV7001898088	2576046	6.41095378246667
LV7001898100	3291174	6.51735097543132
LV7008886221	438595	5.64206466658945
LV7008886222	282824	5.45151779579732
LV7008886226	640010	5.80618743835615
LV7008886228	41750	4.62066688195808
LV7008886229	1307891	6.11657188333034
LV7008886690	656787	5.81742520930415
LV7008886692	226186	5.3544676404192
LV7008886695	745595	5.87250356943366
LV7008886702	1035788	6.01527129453217
LV7008886703	619230	5.79185268990988
LV7008886704	266844	5.42625906963631
LV7008886705	82777	4.91791492919863
LV7008886706	1015717	6.00677314884995
LV7008886707	568907	5.7550420408717
LV7008886708	534951	5.72831481553461
LV7008886709	207636	5.31730474543867
LV7008886714	3774170	6.576821573273
LV7008886715	811529	5.90930457911436
LV7008886717	201068	5.30334511800236
LV7008886718	679496	5.83218754364935
LV7008886719	433496	5.63698609630368
LV7008886720	914033	5.96096235080796
LV7008886721	282338	5.45077087217787
LV7008886726	2423502	6.38444356166251
LV7008886727	1206819	6.08164249889909
LV7008886728	330465	5.51912678372496
LV7008886730	1065055	6.02737244331616
LV7008886731	482271	5.68329204815765
LV7008886739	1759696	6.24543789363425
LV7008886740	390482	5.59160213125582
LV7008886741	36360	4.56063581867836
LV7008886742	1336420	6.12594329135435
LV7008886743	536346	5.72944585578515
LV7008886744	417148	5.62029120681951
LV7008886745	149876	5.17573499149085
LV7008886751	555536	5.74471298921875
LV7008886752	380554	5.58041743238211
LV7008886753	183516	5.26367630109068
LV7008886754	1135815	6.05530798220513
LV7008886755	636273	5.80364417706739
LV7008886756	414662	5.61769528539364
LV7008886757	41240	4.61532918738783
LV7008886763	290240	5.46275876170626
LV7008886765	405489	5.60798014831692
LV7008886766	1186650	6.07432300955226
LV7008886768	625669	5.79634533166474
LV7008886769	112804	5.05232834986261
LV7008886776	800670	5.90345409881058
LV7008886778	1069557	6.02920434047086
LV7008886780	891911	5.95032200706702
LV7008886781	24863	4.39557099712082
