module	pearson_r	spearman_rho	rmse	variant	setting_id
MEcyan	0.959182972228287	0.478943215792112	0.0344035753162714	deseq_length_log	exp4
MEpink	0.890049630695595	0.76352464304167	0.122042885483025	deseq_length_log	exp4
MEpurple	0.927966966626994	0.763272169311322	0.108424722073581	deseq_length_log	exp4
MEblack	0.98046792270083	0.678979897989799	0.094491356941032	deseq_length_log	exp4
MEtan	0.935862740110214	0.566367153795128	0.0615635085087817	deseq_length_log	exp4
MEgreen	0.831297153872602	0.755362176997756	0.0643262885564716	deseq_length_log	exp4
MEyellow	0.823509175472653	0.839620260770294	0.0593361823754753	deseq_length_log	exp4
MEmagenta	0.823980640893758	0.814817926250071	0.174430209049067	deseq_length_log	exp4
MEturquoise	0.980294842188645	0.768523157888721	0.0645525934167821	deseq_length_log	exp4
MEblue	0.76898070903138	0.744890489048905	0.154348487797766	deseq_length_log	exp4
MEbrown	0.94203440105041	0.858529852985299	0.135942566289409	deseq_length_log	exp4
MEred	0.830031237893596	0.781378848824512	0.0628099772633557	deseq_length_log	exp4
MEgreenyellow	0.805682760386255	0.817641764176418	0.138343522539886	deseq_length_log	exp4
MEsalmon	0.820963142856945	0.816777677767777	0.132488037780924	deseq_length_log	exp4
MEgrey	-0.381844289727021	-0.859177917791779	0.172722338797836	deseq_length_log	exp4
