module	pearson_r	spearman_rho	rmse	variant	setting_id
MEpink	0.978010725543701	0.739443616803382	0.0316486120991269	current_taxon_centered_log	exp3
MEyellow	0.942804135315002	0.79989198919892	0.0557709094356325	current_taxon_centered_log	exp3
MEblack	0.847669837183083	0.701211261101279	0.0715073358783735	current_taxon_centered_log	exp3
MEgreen	0.943767373228576	0.32998499849985	0.0657834906274955	current_taxon_centered_log	exp3
MEturquoise	0.882522652723875	0.848928892889289	0.14214791512619	current_taxon_centered_log	exp3
MEred	0.861237173170434	0.855845625810033	0.131249287351866	current_taxon_centered_log	exp3
MEblue	0.835633133795234	0.822694269426943	0.0655333206360284	current_taxon_centered_log	exp3
MEbrown	0.98948045693881	0.707686768676868	0.0626841941334959	current_taxon_centered_log	exp3
MEgrey	0.43040479097135	0.856549654965497	0.171414942427904	current_taxon_centered_log	exp3
MEgreen	0.942804135315002	0.79989198919892	0.0557709094356325	current_taxon_centered_log	exp4
MEmagenta	0.978010725543701	0.739443616803382	0.0316486120991269	current_taxon_centered_log	exp4
MEpink	0.847669837183083	0.701211261101279	0.0715073358783735	current_taxon_centered_log	exp4
MEred	0.943767373228576	0.32998499849985	0.0657834906274955	current_taxon_centered_log	exp4
MEblue	0.838901454055528	0.831959195919592	0.138920518132659	current_taxon_centered_log	exp4
MEturquoise	0.922771568003133	0.86006600660066	0.1403003931691	current_taxon_centered_log	exp4
MEblack	0.861237173170434	0.855845625810033	0.131249287351866	current_taxon_centered_log	exp4
MEbrown	0.835633133795234	0.822694269426943	0.0655333206360284	current_taxon_centered_log	exp4
MEyellow	0.98948045693881	0.707686768676868	0.0626841941334959	current_taxon_centered_log	exp4
MEgrey	0.43040479097135	0.856549654965497	0.171414942427904	current_taxon_centered_log	exp4
MEgreen	0.943767373228576	0.32998499849985	0.0657834906274955	current_taxon_centered_log	opt5
MEyellow	0.957461600377295	0.81012901290129	0.0521042253454171	current_taxon_centered_log	opt5
MEturquoise	0.888458135742738	0.787386738673868	0.0652146553965888	current_taxon_centered_log	opt5
MEblue	0.849121038212388	0.842352235223522	0.135269417928343	current_taxon_centered_log	opt5
MEbrown	0.922655108182619	0.860906090609061	0.140091508050773	current_taxon_centered_log	opt5
MEgrey	-0.279921086543875	-0.633999399939994	0.170828933767309	current_taxon_centered_log	opt5
MEbrown	0.930516991158669	0.844512451245125	0.106774592978487	sample_clr_raw	exp3
MEgrey60	0.87899066751173	0.873795379537954	0.147040194428395	sample_clr_raw	exp3
MEpurple	0.862335262150555	0.864470447044705	0.116374749754896	sample_clr_raw	exp3
MEsalmon	0.904188608626828	0.880432043204321	0.124113910064164	sample_clr_raw	exp3
MEmidnightblue	0.839694244194757	0.854605460546055	0.150621231596816	sample_clr_raw	exp3
MEyellow	0.960102702041685	0.959363936393639	0.124862168538626	sample_clr_raw	exp3
MElightyellow	0.750180968792388	0.746246624662466	0.154749307755835	sample_clr_raw	exp3
MEred	0.776418381306	0.741518151815182	0.142016290314828	sample_clr_raw	exp3
MEmagenta	0.915155252455345	0.854929492949295	0.121810829176659	sample_clr_raw	exp3
MElightcyan	0.9449647073015	0.856993699369937	0.112008024796814	sample_clr_raw	exp3
MEgreenyellow	0.880301737228887	0.86012601260126	0.154344866804266	sample_clr_raw	exp3
MEtan	0.889653594731052	0.837755775577558	0.127543167307969	sample_clr_raw	exp3
MEblack	0.857599289200416	0.859273927392739	0.142195474527166	sample_clr_raw	exp3
MEgreen	0.750214707394004	0.761500150015002	0.142695027894998	sample_clr_raw	exp3
MEturquoise	0.931449667266812	0.723624362436244	0.138637089587922	sample_clr_raw	exp3
MEpink	0.760383408249938	0.695325532553255	0.133824608778856	sample_clr_raw	exp3
MEblue	0.886619774452396	0.855109510951095	0.145250636191662	sample_clr_raw	exp3
MEcyan	0.925919894125248	0.906090609060906	0.156552156164081	sample_clr_raw	exp3
MElightgreen	0.841941273060632	0.86004200420042	0.170605621146363	sample_clr_raw	exp3
MEgrey	0.228776284659869	0.259201920192019	0.175162179609814	sample_clr_raw	exp3
MEbrown	0.930516991158669	0.844512451245125	0.106774592978487	sample_clr_raw	exp4
MEgrey60	0.87899066751173	0.873795379537954	0.147040194428395	sample_clr_raw	exp4
MEpurple	0.862335262150555	0.864470447044705	0.116374749754896	sample_clr_raw	exp4
MEsalmon	0.904188608626828	0.880432043204321	0.124113910064164	sample_clr_raw	exp4
MEmidnightblue	0.839694244194757	0.854605460546055	0.150621231596816	sample_clr_raw	exp4
MEyellow	0.960102702041685	0.959363936393639	0.124862168538626	sample_clr_raw	exp4
MElightyellow	0.750180968792388	0.746246624662466	0.154749307755835	sample_clr_raw	exp4
MEred	0.776418381306	0.741518151815182	0.142016290314828	sample_clr_raw	exp4
MEmagenta	0.915155252455345	0.854929492949295	0.121810829176659	sample_clr_raw	exp4
MElightcyan	0.9449647073015	0.856993699369937	0.112008024796814	sample_clr_raw	exp4
MEgreenyellow	0.880301737228887	0.86012601260126	0.154344866804266	sample_clr_raw	exp4
MEtan	0.889653594731052	0.837755775577558	0.127543167307969	sample_clr_raw	exp4
MEblack	0.857599289200416	0.859273927392739	0.142195474527166	sample_clr_raw	exp4
MEgreen	0.750214707394004	0.761500150015002	0.142695027894998	sample_clr_raw	exp4
MEturquoise	0.931449667266812	0.723624362436244	0.138637089587922	sample_clr_raw	exp4
MEpink	0.760383408249938	0.695325532553255	0.133824608778856	sample_clr_raw	exp4
MEblue	0.886619774452396	0.855109510951095	0.145250636191662	sample_clr_raw	exp4
MEcyan	0.925919894125248	0.906090609060906	0.156552156164081	sample_clr_raw	exp4
MElightgreen	0.841941273060632	0.86004200420042	0.170605621146363	sample_clr_raw	exp4
MEgrey	0.228776284659869	0.259201920192019	0.175162179609814	sample_clr_raw	exp4
MEblue	0.931252245007476	0.730537053705371	0.138744305202488	sample_clr_raw	opt5
MEyellow	0.830704576449044	0.846108610861086	0.138943211026631	sample_clr_raw	opt5
MEturquoise	0.954604355609708	0.960636063606361	0.134184192256362	sample_clr_raw	opt5
MEred	0.945332128088531	0.944266426642664	0.122431770569518	sample_clr_raw	opt5
MEblack	0.866394034344482	0.847068706870687	0.152087624399124	sample_clr_raw	opt5
MEpink	0.883986900161272	0.836543654365437	0.128435691427657	sample_clr_raw	opt5
MEbrown	0.909427046501639	0.864458445844585	0.145201951787163	sample_clr_raw	opt5
MEgreen	0.930516991158669	0.844512451245125	0.106774592978487	sample_clr_raw	opt5
MEgrey	0.642282035284603	0.672595259525953	0.146328676403238	sample_clr_raw	opt5
MEpurple	0.959182972228287	0.478943215792112	0.0344035753162714	deseq_length_log	exp3
MEmagenta	0.927966966626994	0.763272169311322	0.108424722073581	deseq_length_log	exp3
MEpink	0.890049630695595	0.76352464304167	0.122042885483025	deseq_length_log	exp3
MEyellow	0.966125129815848	0.411161116111611	0.0699681249978059	deseq_length_log	exp3
MEblack	0.831297153872602	0.755362176997756	0.0643262885564716	deseq_length_log	exp3
