sample	MEgreen	MElightcyan	MEsalmon	MEtan	MEbrown	MEpurple	MEblue	MEgreenyellow	MEblack	MEred	MEturquoise	MEyellow	MEgrey60	MEcyan	MEmidnightblue	MEmagenta	MEpink	MEgrey
LV3003046953	-0.0716541760637331	-0.0741070290540284	-0.118555240394693	-0.22319549357739	-0.126657095826866	-0.126815453320286	-0.072027795255605	0.0317604303332866	-0.0972012080647461	-0.0857688158610593	-0.0641282549853717	-0.0464368260567403	0.00402662891259501	0.0142656799414828	-0.0153519630074359	0.0412677454934502	0.0731611333915003	-0.146474247516835
LV3003046939	-0.050694064388586	-0.0315826324494292	-0.0806557715213134	-0.163543501632382	-0.127888290659188	-0.111334440303601	-0.0673934514942076	0.0584208371527528	-0.0957782924874544	-0.0714641749437629	-0.062533709367433	-0.0407706935595892	0.0170440484135596	0.138175516959726	0.126955287986274	0.0829699275273377	0.125097718718059	-0.132266751498093
LV3003047045	-0.0418805026537115	0.00526144618480069	-0.0493258179549916	-0.150324881940693	-0.123499375322714	-0.111251467129996	-0.0591474818158634	0.0801608329606158	-0.0724427991033597	-0.0650787355189229	-0.0597622218831211	-0.0359976018367647	0.0756585274682615	0.113676107533109	0.0547759497126823	0.0833650686268483	0.147081309842849	-0.126822123628844
LV3003047028	0.00123653071927001	0.0320579975361513	-0.0328402953991748	-0.137692115608234	0.0462749783665913	0.0201131290697013	0.0313713358594486	0.101723201889731	0.0607433557551687	0.0585586793596798	0.0684098789943242	0.0239178484636743	0.0891595954663169	0.0405948868124598	0.0260904095201048	0.042593990109775	0.0594928564360673	0.05958903686376
LV3003047013	-0.0482406098010143	5.42481218675405e-05	-0.0206502018853698	-0.143962777051425	-0.122788728536293	-0.100408318208324	-0.0485232722380638	0.0539735680094607	-0.064182392916493	-0.0525944345559567	-0.0528080403404479	-0.028344317480407	0.0863078967303042	0.177937543850201	0.213557823017209	0.147815232240012	0.133834936029655	-0.105934961726607
LV3003046995	-0.0523590779524315	0.0402478995428538	-0.0238809779675827	-0.138051125923025	-0.108261901713921	-0.0825673124424961	-0.0520755010286569	0.0640538742877304	-0.071674310905583	-0.040798878442351	-0.0490212802475275	-0.0312483101847405	0.0823208584387512	0.103033737708256	0.0658238598202054	0.0973116108753842	0.124085297646874	-0.0941142718736072
LV3003046980	-0.059097222444198	0.0162004468927468	-0.0309920410135144	-0.0997197130124646	-0.124444551725469	-0.0699921821757917	-0.0480984549725797	0.113017529541276	-0.0506741775893626	-0.0501281358879898	-0.0504245558059487	-0.0278590970098097	0.0874533611765078	0.256300373435445	0.357344809456765	0.180847892869992	0.137515680261507	-0.0825600362425172
LV3003046952	-0.0189602059522296	0.0335782166858083	-0.0152506659974299	-0.0377075219768323	-0.101006893617657	-0.0469423574227108	-0.0474438734097747	0.115250910448525	-0.0459082485454673	-0.0429242276187196	-0.0384145819241281	-0.0290938632311231	0.101322439430126	0.291890541975409	0.344845774310096	0.251484218320412	0.157557170193549	-0.0799672535753705
LV3003046938	0.0176624690917697	0.0213014571114356	-0.0250419606525425	-0.0144012048913612	-0.0874753190034669	-0.0123642318416174	-0.0554086214694348	0.121082708212759	-0.0556510948112221	-0.0459582078143504	-0.0364591232364298	-0.032801069009618	0.0918220580160198	0.310896735766931	0.346464271680136	0.276590383631973	0.15005878823228	-0.074116641343461
LV3003047044	0.0587713235967056	0.0608229745028828	0.0465639452941498	0.079700747354083	0.0884869515151734	0.0841253108091178	-0.0293268535348118	-0.0165720294956482	0.0158468560501856	-0.00623171642070359	-0.0397082358286172	-0.0210133840464331	0.00392475596589087	-0.0224806774052553	-0.0162978418018937	-0.0201612513322215	-0.055746234840717	-0.065314584610815
LV3003047027	-0.00431087675146471	0.0333740583333908	-0.00305642939047197	0.0122338447816546	-0.0155895728759996	0.0159085721980878	-0.0467520472252202	0.12435678121718	-0.0303968738351889	-0.0168911661648743	-0.0295925395115696	-0.0320802259030903	0.0887501967711655	0.24806645276299	0.288652794582504	0.246880229845554	0.130161251190759	-0.0499455841966347
LV3003047010	-0.0410321667117138	0.035019657891392	-0.0291312784290565	-0.0780523375896447	-0.11027096931857	-0.0706461628922086	-0.0515991166220799	0.0834359232074973	-0.0472913113702126	-0.0495314543018488	-0.0299769514225404	-0.0310059057749776	0.0924337800421809	0.289209304914852	0.328921791092314	0.205952141915584	0.14847425365687	-0.0860073358365197
LV3003046994	-0.0601264253691713	-0.16170073480897	-0.0855663155013791	-0.0599952258720803	-0.0556281804068286	-0.0645523442532027	0.244587403134904	-0.119680714959977	-0.0671412898751633	-0.048996344516369	-0.0591029865639636	-0.0214015250987029	-0.101255808024982	-0.0437062796114809	-0.0291848982656863	-0.0555545740156543	-0.0830780659292958	-0.0458408501067925
LV3003046979	-0.0154374414704914	0.0287263165902637	0.0113743973156974	0.0292611063524034	0.0284335221486272	0.0342282825328197	0.0836086289020202	0.0200061580289535	-0.0125984216650724	-0.00897968836509085	-0.0376705913143791	-0.0268558847612781	0.05343422476072	-0.0178334848868089	0.0137045703509203	0.0421146201992352	0.0752715272701951	-0.0122163240393485
LV3003046966	0.078650949312023	0.0145559841358577	0.00658813808688449	0.061163590283239	0.130665262373966	0.0508744623330787	0.0295452149888984	0.02753330227845	0.172987788368019	0.0523981529466767	0.00793824997866166	-0.0325713906146734	-0.0727077541015208	-0.0399540729055345	-0.0426615473702733	-0.0563092108865336	-0.0894835179092968	-0.0350735556227278
LV3003046950	0.0259083273187077	0.0318320134924267	0.0247555618001474	0.064059197350911	0.124044545556831	0.0601706224641844	0.00909730556814602	0.10677981920102	0.18301679244053	0.0446141610888059	0.0659201782276529	-0.0333602610864043	-0.0109516129228392	-0.041631323723448	-0.0380778509072465	-0.0605888256995406	-0.0787244174745739	-0.0233298167309628
