module	pearson_r	spearman_rho	rmse	variant	setting_id
MEgreen	0.855392187748895	0.853945394539454	0.145975310653941	log_depth_residualized	exp4
MElightcyan	0.478047959324187	0.564920492049205	0.15054532048955	log_depth_residualized	exp4
MEsalmon	0.879026649975425	0.856477647764777	0.11940152332502	log_depth_residualized	exp4
MEtan	0.838367386026837	0.768244824482448	0.113632157421229	log_depth_residualized	exp4
MEbrown	0.820794989186677	0.796603660366037	0.148471390882351	log_depth_residualized	exp4
MEpurple	0.798556116985332	0.79980798079808	0.126112470894386	log_depth_residualized	exp4
MEblue	0.954913345786622	0.903570357035704	0.102805006251297	log_depth_residualized	exp4
MEgreenyellow	0.7038574507848	0.641788178817882	0.141336984768209	log_depth_residualized	exp4
MEblack	0.816710582303507	0.788934893489349	0.165311666040381	log_depth_residualized	exp4
MEred	-0.219362323231909	0.219381938193819	0.22799259594978	log_depth_residualized	exp4
MEturquoise	0.97916380457957	0.855325532553255	0.144327304506194	log_depth_residualized	exp4
MEyellow	0.980809704313703	0.947062706270627	0.125033178966242	log_depth_residualized	exp4
MEgrey60	0.807053964407351	0.873795379537954	0.137573255905293	log_depth_residualized	exp4
MEcyan	0.949486712857546	0.814209420942094	0.0988793814942835	log_depth_residualized	exp4
MEmidnightblue	0.907459994176434	0.902958295829583	0.165923971684746	log_depth_residualized	exp4
MEmagenta	0.919947386203078	0.851641164116412	0.108382146374379	log_depth_residualized	exp4
MEpink	0.933115976759417	0.884464446444645	0.118794135401693	log_depth_residualized	exp4
MEgrey	0.872256224516033	0.800936093609361	0.126008441872647	log_depth_residualized	exp4
