module	pearson_r	spearman_rho	rmse	variant	setting_id
MEpink	0.930559215512186	0.87947194719472	0.118154131342967	log_depth_residualized	opt5
MEbrown	0.955034178483869	0.897749774977498	0.106833602140549	log_depth_residualized	opt5
MEmagenta	0.907459994176434	0.902958295829583	0.165923971684746	log_depth_residualized	opt5
MEblue	0.954913345786622	0.903570357035704	0.102805006251297	log_depth_residualized	opt5
MEred	-0.219362323231909	0.219381938193819	0.22799259594978	log_depth_residualized	opt5
MEturquoise	0.917092616378589	0.803540354035404	0.153910713210687	log_depth_residualized	opt5
MEyellow	0.855392187748895	0.853945394539454	0.145975310653941	log_depth_residualized	opt5
MEgreen	0.811506986448833	0.790651065106511	0.115846096750723	log_depth_residualized	opt5
MEblack	0.874155768957781	0.874143414341434	0.119592003026442	log_depth_residualized	opt5
MEpurple	0.478047959324187	0.564920492049205	0.15054532048955	log_depth_residualized	opt5
MEgrey	0.925490088978398	0.623030303030303	0.139587315832131	log_depth_residualized	opt5
