module	pearson_r	spearman_rho	rmse	variant	setting_id
MEbrown	0.930516991158669	0.844512451245125	0.106774592978487	sample_clr_raw	exp4
MEgrey60	0.87899066751173	0.873795379537954	0.147040194428395	sample_clr_raw	exp4
MEpurple	0.862335262150555	0.864470447044705	0.116374749754896	sample_clr_raw	exp4
MEsalmon	0.904188608626828	0.880432043204321	0.124113910064164	sample_clr_raw	exp4
MEmidnightblue	0.839694244194757	0.854605460546055	0.150621231596816	sample_clr_raw	exp4
MEyellow	0.960102702041685	0.959363936393639	0.124862168538626	sample_clr_raw	exp4
MElightyellow	0.750180968792388	0.746246624662466	0.154749307755835	sample_clr_raw	exp4
MEred	0.776418381306	0.741518151815182	0.142016290314828	sample_clr_raw	exp4
MEmagenta	0.915155252455345	0.854929492949295	0.121810829176659	sample_clr_raw	exp4
MElightcyan	0.9449647073015	0.856993699369937	0.112008024796814	sample_clr_raw	exp4
MEgreenyellow	0.880301737228887	0.86012601260126	0.154344866804266	sample_clr_raw	exp4
MEtan	0.889653594731052	0.837755775577558	0.127543167307969	sample_clr_raw	exp4
MEblack	0.857599289200416	0.859273927392739	0.142195474527166	sample_clr_raw	exp4
MEgreen	0.750214707394004	0.761500150015002	0.142695027894998	sample_clr_raw	exp4
MEturquoise	0.931449667266812	0.723624362436244	0.138637089587922	sample_clr_raw	exp4
MEpink	0.760383408249938	0.695325532553255	0.133824608778856	sample_clr_raw	exp4
MEblue	0.886619774452396	0.855109510951095	0.145250636191662	sample_clr_raw	exp4
MEcyan	0.925919894125248	0.906090609060906	0.156552156164081	sample_clr_raw	exp4
MElightgreen	0.841941273060632	0.86004200420042	0.170605621146363	sample_clr_raw	exp4
MEgrey	0.228776284659869	0.259201920192019	0.175162179609814	sample_clr_raw	exp4
