setting_id	module	module_type	n_taxa	median_assigned_kME	p05_assigned_kME	frac_assigned_kME_lt_0_2	frac_negative_assigned_kME	frac_assigned_is_max_kME	median_kME_margin	n_strong_hubs	grey_max_bio_kME_median	grey_rescuable_fraction
baseline	grey	technical	1196	0.320937450151197	-0.0492552338739826	0.335284280936455	0.0936454849498328	0	-0.0594670366491008	84	0.427600639647018	0.37876254180602
baseline	green	biological	65	0.789769414331905	0.63935329356976	0	0	0.984615384615385	0.402256498504519	54		
baseline	turquoise	biological	237	0.77671034710395	0.581885416122307	0	0	0.79746835443038	0.0603252729653411	165		
baseline	yellow	biological	76	0.812110287903906	0.678111356259061	0	0	0.868421052631579	0.0707795894271438	67		
baseline	blue	biological	138	0.757104026205583	0.616845888293066	0	0	1	0.321598371874449	102		
baseline	brown	biological	85	0.838550462099788	0.623412781421465	0	0	0.964705882352941	0.502986339964888	68		
opt5	turquoise	biological	338	0.67777012413377	0.45028812087848	0	0	0.855029585798817	0.107442419101371	145		
opt5	blue	biological	320	0.632628244524868	0.349718815346253	0	0	0.7	0.0305945762308092	112		
opt5	yellow	biological	161	0.695239699680107	0.434727055233276	0	0	0.944099378881988	0.380322841255988	78		
opt5	grey	technical	612	-0.00340179216499204	-0.175081458237231	0.650326797385621	0.508169934640523	0	-0.237656991327221	49	0.24432359454191	0.160130718954248
opt5	brown	biological	259	0.750346468044523	0.36946133656731	0	0	0.872586872586873	0.0904772584538691	155		
opt5	green	biological	107	0.816421867943726	0.408185170415147	0	0	0.953271028037383	0.456948056273474	69		
exp4	brown	biological	202	0.687786707351322	0.459078622672851	0	0	0.698019801980198	0.044709780752701	96		
exp4	blue	biological	230	0.660432523007745	0.334930046515742	0	0	0.643478260869565	0.0253365988633193	93		
exp4	green	biological	119	0.692729888888249	0.430056463435616	0	0	0.831932773109244	0.113489329117799	58		
exp4	grey	technical	515	0.0844903388557229	-0.104188138898763	0.580582524271845	0.409708737864078	0	-0.156399147815513	49	0.27098391860615	0.180582524271845
exp4	black	biological	105	0.707279300899615	0.406853281917889	0	0	0.838095238095238	0.0759899432851428	55		
exp4	turquoise	biological	253	0.754920641837595	0.378735392101158	0	0	0.802371541501976	0.0669620601895244	155		
exp4	red	biological	107	0.816421867943726	0.408185170415147	0	0	0.94392523364486	0.431628127650091	69		
exp4	yellow	biological	148	0.733361662759099	0.416099837786595	0	0	0.817567567567568	0.0804115564060131	87		
exp4	pink	biological	74	0.616453527143461	0.428094942499384	0	0	0.945945945945946	0.278002201911937	23		
exp4	magenta	biological	44	0.7635942324086	0.520704272083076	0	0	1	0.158068927770324	34		
exp3	blue	biological	202	0.687786707351322	0.459078622672851	0	0	0.767326732673267	0.0615935194861243	96		
exp3	turquoise	biological	483	0.683029687677871	0.337921516217403	0	0	0.799171842650104	0.13263984219595	229		
exp3	yellow	biological	119	0.692729888888249	0.430056463435616	0	0	0.831932773109244	0.113489329117799	58		
exp3	grey	technical	515	0.0844903388557229	-0.104188138898763	0.580582524271845	0.409708737864078	0	-0.146853805344184	49	0.265898423932263	0.180582524271845
exp3	red	biological	105	0.707279300899615	0.406853281917889	0	0	0.838095238095238	0.077156149252557	55		
exp3	green	biological	107	0.816421867943726	0.408185170415147	0	0	0.94392523364486	0.431628127650091	69		
exp3	brown	biological	148	0.733361662759099	0.416099837786595	0	0	0.817567567567568	0.0804115564060131	87		
exp3	black	biological	74	0.616453527143461	0.428094942499384	0	0	0.945945945945946	0.287554834322071	23		
exp3	pink	biological	44	0.7635942324086	0.520704272083076	0	0	1	0.158068927770324	34		
