power	deepSplit	mergeCutHeight	minModuleSize	non_grey_modules	grey_pct	module_size_median	module_count_distance	score_grey	score_module_count	score_module_size	score_concordance	decision_score	rank
12	1	0.1	20	5	34.0567612687813	259	0	0.870147255689424	1	0.91747572815534	0.5	0.925061410691309	1
12	1	0.1	30	5	34.0567612687813	259	0	0.870147255689424	1	0.91747572815534	0.5	0.925061410691309	2
12	1	0.15	20	5	34.0567612687813	259	0	0.870147255689424	1	0.91747572815534	0.5	0.925061410691309	3
12	1	0.15	30	5	34.0567612687813	259	0	0.870147255689424	1	0.91747572815534	0.5	0.925061410691309	4
12	1	0.2	20	5	34.0567612687813	259	0	0.870147255689424	1	0.91747572815534	0.5	0.925061410691309	5
12	1	0.2	30	5	34.0567612687813	259	0	0.870147255689424	1	0.91747572815534	0.5	0.925061410691309	6
12	1	0.25	20	4	34.0567612687813	249.5	1	0.870147255689424	0.875	0.871359223300971	0.5	0.872088109720435	7
12	1	0.25	30	4	34.0567612687813	249.5	1	0.870147255689424	0.875	0.871359223300971	0.5	0.872088109720435	8
12	2	0.25	30	6	33.2220367278798	115.5	1	0.890227576974564	0.875	0.220873786407767	0.5	0.751027166920107	9
12	2	0.25	20	7	29.1040623260991	112	2	0.98929049531459	0.75	0.203883495145631	0.5	0.748457421920692	10
16	2	0.1	30	5	48.1914301613801	217	0	0.53012048192771	1	0.713592233009709	0.5	0.731272663469411	11
16	2	0.15	30	5	48.1914301613801	217	0	0.53012048192771	1	0.713592233009709	0.5	0.731272663469411	12
16	2	0.2	30	5	48.1914301613801	217	0	0.53012048192771	1	0.713592233009709	0.5	0.731272663469411	13
12	2	0.1	30	7	33.2220367278798	119	2	0.890227576974564	0.75	0.237864077669903	0.5	0.710675225172535	14
12	2	0.15	30	7	33.2220367278798	119	2	0.890227576974564	0.75	0.237864077669903	0.5	0.710675225172535	15
12	2	0.2	30	7	33.2220367278798	119	2	0.890227576974564	0.75	0.237864077669903	0.5	0.710675225172535	16
12	3	0.25	20	8	28.6588759042849	113	3	1	0.625	0.20873786407767	0.5	0.710497572815534	17
12	3	0.25	30	8	28.7701725097385	113	3	0.997322623828646	0.625	0.20873786407767	0.5	0.709292753538425	18
12	2	0.1	20	8	29.1040623260991	115.5	3	0.98929049531459	0.625	0.220873786407767	0.5	0.708105480173119	19
12	2	0.15	20	8	29.1040623260991	115.5	3	0.98929049531459	0.625	0.220873786407767	0.5	0.708105480173119	20
12	2	0.2	20	8	29.1040623260991	115.5	3	0.98929049531459	0.625	0.220873786407767	0.5	0.708105480173119	21
12	3	0.2	20	9	28.6588759042849	119	4	1	0.5	0.237864077669903	0.5	0.672572815533981	22
12	3	0.2	30	9	28.7701725097385	119	4	0.997322623828646	0.5	0.237864077669903	0.5	0.671367996256872	23
16	1	0.2	20	4	48.1357818586533	188	1	0.531459170013386	0.875	0.572815533980583	0.5	0.65996973330214	24
16	1	0.25	20	4	48.1357818586533	188	1	0.531459170013386	0.875	0.572815533980583	0.5	0.65996973330214	25
16	2	0.2	20	4	48.1357818586533	188	1	0.531459170013386	0.875	0.572815533980583	0.5	0.65996973330214	26
16	2	0.25	20	4	48.1357818586533	188	1	0.531459170013386	0.875	0.572815533980583	0.5	0.65996973330214	27
16	2	0.25	30	4	48.1914301613801	188	1	0.53012048192771	0.875	0.572815533980583	0.5	0.659367323663586	28
16	1	0.15	20	5	48.1357818586533	141	0	0.531459170013386	1	0.344660194174757	0.5	0.658088665340975	29
16	2	0.15	20	5	48.1357818586533	140	0	0.531459170013386	1	0.339805825242718	0.5	0.657117791554568	30
16	1	0.1	30	4	53.1997774067891	232.5	1	0.409638554216866	0.875	0.788834951456311	0.5	0.648354339688852	31
16	1	0.15	30	4	53.1997774067891	232.5	1	0.409638554216866	0.875	0.788834951456311	0.5	0.648354339688852	32
16	1	0.2	30	4	53.1997774067891	232.5	1	0.409638554216866	0.875	0.788834951456311	0.5	0.648354339688852	33
16	1	0.25	30	3	53.1997774067891	276	2	0.409638554216866	0.75	1	0.5	0.64683734939759	34
12	3	0.1	20	10	28.6588759042849	112.5	5	1	0.375	0.20631067961165	0.5	0.62251213592233	35
12	3	0.15	20	10	28.6588759042849	112.5	5	1	0.375	0.20631067961165	0.5	0.62251213592233	36
12	3	0.1	30	10	28.7701725097385	112.5	5	0.997322623828646	0.375	0.20631067961165	0.5	0.621307316645221	37
12	3	0.15	30	10	28.7701725097385	112.5	5	0.997322623828646	0.375	0.20631067961165	0.5	0.621307316645221	38
16	1	0.1	20	6	48.1357818586533	130	1	0.531459170013386	0.875	0.29126213592233	0.5	0.60365905369049	39
16	2	0.1	20	6	48.1357818586533	129.5	1	0.531459170013386	0.875	0.288834951456311	0.5	0.603173616797286	40
16	3	0.25	20	8	43.0717863105175	101	3	0.653279785809906	0.625	0.150485436893204	0.5	0.542822990993099	41
16	3	0.25	30	8	43.7395659432387	95	3	0.637215528781794	0.625	0.121359223300971	0.5	0.529768832612001	42
16	3	0.1	30	9	43.7395659432387	100	4	0.637215528781794	0.5	0.145631067961165	0.5	0.49087320154404	43
16	3	0.15	30	9	43.7395659432387	100	4	0.637215528781794	0.5	0.145631067961165	0.5	0.49087320154404	44
16	3	0.2	30	9	43.7395659432387	100	4	0.637215528781794	0.5	0.145631067961165	0.5	0.49087320154404	45
16	3	0.2	20	9	43.0717863105175	82	4	0.653279785809906	0.5	0.058252427184466	0.5	0.480626389051351	46
20	3	0.2	30	5	63.2164718976071	85	0	0.16867469879518	1	0.0728155339805825	0.5	0.440466721253948	47
20	3	0.25	30	5	63.2164718976071	85	0	0.16867469879518	1	0.0728155339805825	0.5	0.440466721253948	48
20	2	0.1	30	5	66.5553700612131	106	0	0.0883534136546182	1	0.174757281553398	0.5	0.424710492455258	49
20	2	0.15	30	5	66.5553700612131	106	0	0.0883534136546182	1	0.174757281553398	0.5	0.424710492455258	50
20	3	0.1	30	6	63.2164718976071	95.5	1	0.16867469879518	0.875	0.12378640776699	0.5	0.406910896011229	51
20	3	0.15	30	6	63.2164718976071	95.5	1	0.16867469879518	0.875	0.12378640776699	0.5	0.406910896011229	52
20	2	0.15	20	5	66.5553700612131	85	0	0.0883534136546182	1	0.0728155339805825	0.5	0.404322142940695	53
20	3	0.2	20	6	61.825264329438	75	1	0.20214190093708	0.875	0.0242718446601942	0.5	0.402068224353725	54
20	3	0.25	20	6	61.825264329438	75	1	0.20214190093708	0.875	0.0242718446601942	0.5	0.402068224353725	55
20	1	0.1	20	5	70.2281580411797	108	0	0	1	0.184466019417476	0.5	0.386893203883495	56
20	2	0.2	20	4	66.5553700612131	111.5	1	0.0883534136546182	0.875	0.201456310679612	0.5	0.386300298280501	57
20	2	0.2	30	4	66.5553700612131	111.5	1	0.0883534136546182	0.875	0.201456310679612	0.5	0.386300298280501	58
20	2	0.25	20	4	66.5553700612131	111.5	1	0.0883534136546182	0.875	0.201456310679612	0.5	0.386300298280501	59
20	2	0.25	30	4	66.5553700612131	111.5	1	0.0883534136546182	0.875	0.201456310679612	0.5	0.386300298280501	60
20	2	0.1	20	6	66.5553700612131	97	1	0.0883534136546182	0.875	0.131067961165049	0.5	0.372222628377588	61
20	1	0.1	30	4	70.2281580411797	122	1	0	0.875	0.252427184466019	0.5	0.356735436893204	62
20	1	0.15	30	4	70.2281580411797	122	1	0	0.875	0.252427184466019	0.5	0.356735436893204	63
20	1	0.15	20	4	70.2281580411797	111.5	1	0	0.875	0.201456310679612	0.5	0.346541262135922	64
16	3	0.15	20	12	43.0717863105175	75	7	0.653279785809906	0.125	0.0242718446601942	0.5	0.342580272546497	65
20	1	0.2	20	3	70.2281580411797	138	2	0	0.75	0.330097087378641	0.5	0.328519417475728	66
20	1	0.2	30	3	70.2281580411797	138	2	0	0.75	0.330097087378641	0.5	0.328519417475728	67
20	1	0.25	20	3	70.2281580411797	138	2	0	0.75	0.330097087378641	0.5	0.328519417475728	68
20	1	0.25	30	3	70.2281580411797	138	2	0	0.75	0.330097087378641	0.5	0.328519417475728	69
20	3	0.15	20	8	61.825264329438	70	3	0.20214190093708	0.625	0	0.5	0.309713855421686	70
16	3	0.1	20	13	43.0717863105175	82	8	0.653279785809906	0	0.058252427184466	0.5	0.305626389051351	71
20	3	0.1	20	9	61.825264329438	75	4	0.20214190093708	0.5	0.0242718446601942	0.5	0.270818224353725	72
