from	to	w
S__3300000179_4	S__3300001683_4	0.115417044930648
S__3300001683_28	S__3300001683_4	0.145988261199393
S__3300001683_31	S__3300001683_4	0.117758041017636
S__3300001683_4	S__3300006311_3	0.114186351100316
S__3300001683_28	S__3300020187_18	0.119224639885616
S__3300001683_4	S__3300020187_18	0.111653861193023
S__3300001683_28	S__3300020263_16	0.118797657102208
S__3300001683_4	S__3300020263_16	0.109481669710069
S__3300020187_18	S__3300020263_16	0.109999994444811
S__3300000179_4	S__3300020389_17	0.109568629434899
S__3300001683_28	S__3300020389_17	0.14670389176833
S__3300001683_4	S__3300020389_17	0.157245855125956
S__3300020263_16	S__3300020389_17	0.11860745488085
S__3300000179_4	S__3300020389_47	0.132834300629105
S__3300001683_21	S__3300020389_47	0.117075598738087
S__3300001683_28	S__3300020389_47	0.155892607313386
S__3300001683_31	S__3300020389_47	0.150578387103595
S__3300001683_4	S__3300020389_47	0.173288270616016
S__3300020187_18	S__3300020389_47	0.115350051565848
S__3300020263_16	S__3300020389_47	0.120689210070502
S__3300020303_5	S__3300020389_47	0.143996901859906
S__3300020389_17	S__3300020389_47	0.172320465458901
S__3300020389_47	S__3300022920_20	0.152581854818552
S__3300020389_47	S__3300024058_15	0.112205419698632
S__3300024353_106	S__3300024353_29	0.131438265013525
S__3300024353_106	S__3300024433_34	0.14041554324329
S__3300024353_29	S__3300024433_34	0.156017203688171
S__3300024353_30	S__3300024433_34	0.108541912866942
S__3300024353_49	S__3300024433_34	0.152564024826506
S__3300001683_28	S__3300024516_18	0.121993016794491
S__3300001683_4	S__3300024516_18	0.14476040957462
S__3300020389_17	S__3300024516_18	0.13043517121795
S__3300020389_47	S__3300024516_18	0.130065282572389
S__3300001683_28	S__3300024516_26	0.121443983710213
S__3300001683_4	S__3300024516_26	0.148715175109273
S__3300020389_17	S__3300024516_26	0.128012986432487
S__3300020389_47	S__3300024516_26	0.145208062504998
S__3300020263_16	S__3300024516_38	0.154548858899646
S__3300024058_22	S__3300024516_38	0.121035878820731
S__3300024433_34	S__3300025661_25	0.111936847498094
S__3300020389_47	S__3300025690_38	0.115659332111696
S__3300020389_17	S__3300025892_34	0.10960034539495
S__3300020389_47	S__3300025892_34	0.145218675911005
S__3300001683_28	S__3300025894_53	0.120634881331813
S__3300001683_4	S__3300025894_53	0.119687115821906
S__3300020389_17	S__3300025894_53	0.111535715758614
S__3300020389_47	S__3300025894_53	0.133488573503462
S__3300001683_28	S__3300026108_2	0.130587588531329
S__3300001683_4	S__3300026108_2	0.144582966771357
S__3300020389_17	S__3300026108_2	0.138139051954147
S__3300020389_47	S__3300026108_2	0.12515052457742
S__3300024516_18	S__3300026108_2	0.116875992844669
S__3300020389_47	S__3300026108_4	0.127857655895341
S__3300001683_28	S__3300026119_8	0.113641538609528
S__3300001683_4	S__3300026119_8	0.139322636512008
S__3300020389_17	S__3300026119_8	0.122199947085355
S__3300020389_47	S__3300026119_8	0.131152709386143
S__3300001683_28	S__3300026253_8	0.123569945481781
S__3300001683_4	S__3300026253_8	0.115058130675709
S__3300020187_18	S__3300026253_8	0.131782360828349
S__3300020263_16	S__3300026253_8	0.166229950047419
S__3300020389_17	S__3300026253_8	0.121306136127761
S__3300020389_47	S__3300026253_8	0.12535483112016
S__3300024516_38	S__3300026253_8	0.147813220298714
S__3300026108_2	S__3300026253_8	0.108087917944506
S__3300026253_28	S__3300026253_8	0.108697833661674
S__3300020389_17	S__3300026264_29	0.109231771804886
S__3300020389_47	S__3300026264_29	0.13817820008775
S__3300001683_4	S__3300026267_11	0.114125845197148
S__3300020389_17	S__3300026267_11	0.116039431253291
S__3300020389_47	S__3300026267_11	0.155422312327641
S__3300001683_28	S__3300027668_18	0.123419245979108
S__3300001683_4	S__3300027668_18	0.15418126819599
S__3300020389_17	S__3300027668_18	0.132077051856059
S__3300020389_47	S__3300027668_18	0.163337727235206
S__3300024516_26	S__3300027668_18	0.12038395795369
S__3300026119_8	S__3300027668_18	0.109423684643865
S__3300020389_47	S__3300027685_11	0.112146046935098
S__3300001683_4	S__3300027685_16	0.128602397921303
S__3300020389_47	S__3300027685_16	0.131554280783631
S__3300001683_28	S__3300027685_31	0.12388081945797
S__3300001683_31	S__3300027685_31	0.123132504892087
S__3300001683_4	S__3300027685_31	0.13536731329805
S__3300020303_5	S__3300027685_31	0.116711498539757
S__3300020389_17	S__3300027685_31	0.133132385425563
S__3300020389_47	S__3300027685_31	0.187498916110917
S__3300022920_20	S__3300027685_31	0.125019701172882
S__3300024516_26	S__3300027685_31	0.117586119123498
S__3300025892_34	S__3300027685_31	0.114592330298125
S__3300025894_53	S__3300027685_31	0.110593246862014
S__3300026264_29	S__3300027685_31	0.112584396166268
S__3300026267_11	S__3300027685_31	0.129540892773959
S__3300027668_18	S__3300027685_31	0.130094793308948
S__3300001683_4	S__3300027685_36	0.124247336609565
S__3300020389_17	S__3300027685_36	0.121359943857293
S__3300020389_47	S__3300027685_36	0.184483472588735
S__3300026267_11	S__3300027685_36	0.108697803033573
S__3300027685_31	S__3300027685_36	0.149779215686904
S__3300020389_47	S__3300027687_7	0.120567601496779
S__3300020389_47	S__3300027700_13	0.124566206183949
S__3300009702_36	S__3300027706_22	0.111439102649656
S__3300020373_18	S__3300027706_22	0.146180538890449
S__3300001683_28	S__3300027752_17	0.127180453968795
S__3300001683_4	S__3300027752_17	0.121788383693615
S__3300020187_18	S__3300027752_17	0.129900311101982
S__3300020263_16	S__3300027752_17	0.152744167218212
S__3300020389_17	S__3300027752_17	0.124126413990807
S__3300020389_47	S__3300027752_17	0.129403209416355
S__3300024516_38	S__3300027752_17	0.152619474123517
S__3300026108_2	S__3300027752_17	0.111549176405747
S__3300026253_8	S__3300027752_17	0.148847682799524
S__3300001683_28	S__3300027771_26	0.114867350262971
S__3300001683_4	S__3300027771_26	0.141066878269192
S__3300020389_17	S__3300027771_26	0.130284901912815
S__3300020389_47	S__3300027771_26	0.150824563689141
S__3300027685_31	S__3300027771_26	0.118458561958492
S__3300001683_28	S__3300027779_22	0.14565539657902
S__3300001683_4	S__3300027779_22	0.125951607237543
S__3300020187_18	S__3300027779_22	0.156399076393847
S__3300020263_16	S__3300027779_22	0.167997303754028
S__3300020389_17	S__3300027779_22	0.131338227439596
