power	deepSplit	mergeCutHeight	minModuleSize	status	non_grey_modules	grey_pct	module_size_median
12	3	0.1	20	ok	10	28.6588759042849	112.5
12	3	0.15	20	ok	10	28.6588759042849	112.5
12	3	0.2	20	ok	9	28.6588759042849	119
12	3	0.25	20	ok	8	28.6588759042849	113
12	3	0.1	30	ok	10	28.7701725097385	112.5
12	3	0.15	30	ok	10	28.7701725097385	112.5
12	3	0.2	30	ok	9	28.7701725097385	119
12	3	0.25	30	ok	8	28.7701725097385	113
12	2	0.1	20	ok	8	29.1040623260991	115.5
12	2	0.15	20	ok	8	29.1040623260991	115.5
12	2	0.2	20	ok	8	29.1040623260991	115.5
12	2	0.25	20	ok	7	29.1040623260991	112
12	2	0.1	30	ok	7	33.2220367278798	119
12	2	0.15	30	ok	7	33.2220367278798	119
12	2	0.2	30	ok	7	33.2220367278798	119
12	2	0.25	30	ok	6	33.2220367278798	115.5
12	1	0.1	20	ok	5	34.0567612687813	259
12	1	0.1	30	ok	5	34.0567612687813	259
12	1	0.15	20	ok	5	34.0567612687813	259
12	1	0.15	30	ok	5	34.0567612687813	259
12	1	0.2	20	ok	5	34.0567612687813	259
12	1	0.2	30	ok	5	34.0567612687813	259
12	1	0.25	20	ok	4	34.0567612687813	249.5
12	1	0.25	30	ok	4	34.0567612687813	249.5
16	3	0.1	20	ok	13	43.0717863105175	82
16	3	0.15	20	ok	12	43.0717863105175	75
16	3	0.2	20	ok	9	43.0717863105175	82
16	3	0.25	20	ok	8	43.0717863105175	101
16	3	0.1	30	ok	9	43.7395659432387	100
16	3	0.15	30	ok	9	43.7395659432387	100
16	3	0.2	30	ok	9	43.7395659432387	100
16	3	0.25	30	ok	8	43.7395659432387	95
16	1	0.1	20	ok	6	48.1357818586533	130
16	2	0.1	20	ok	6	48.1357818586533	129.5
16	1	0.15	20	ok	5	48.1357818586533	141
16	2	0.15	20	ok	5	48.1357818586533	140
16	1	0.2	20	ok	4	48.1357818586533	188
16	1	0.25	20	ok	4	48.1357818586533	188
16	2	0.2	20	ok	4	48.1357818586533	188
16	2	0.25	20	ok	4	48.1357818586533	188
16	2	0.1	30	ok	5	48.1914301613801	217
16	2	0.15	30	ok	5	48.1914301613801	217
16	2	0.2	30	ok	5	48.1914301613801	217
16	2	0.25	30	ok	4	48.1914301613801	188
16	1	0.1	30	ok	4	53.1997774067891	232.5
16	1	0.15	30	ok	4	53.1997774067891	232.5
16	1	0.2	30	ok	4	53.1997774067891	232.5
16	1	0.25	30	ok	3	53.1997774067891	276
20	3	0.1	20	ok	9	61.825264329438	75
20	3	0.15	20	ok	8	61.825264329438	70
20	3	0.2	20	ok	6	61.825264329438	75
20	3	0.25	20	ok	6	61.825264329438	75
20	3	0.1	30	ok	6	63.2164718976071	95.5
20	3	0.15	30	ok	6	63.2164718976071	95.5
20	3	0.2	30	ok	5	63.2164718976071	85
20	3	0.25	30	ok	5	63.2164718976071	85
20	2	0.1	20	ok	6	66.5553700612131	97
20	2	0.1	30	ok	5	66.5553700612131	106
20	2	0.15	20	ok	5	66.5553700612131	85
20	2	0.15	30	ok	5	66.5553700612131	106
20	2	0.2	20	ok	4	66.5553700612131	111.5
20	2	0.2	30	ok	4	66.5553700612131	111.5
20	2	0.25	20	ok	4	66.5553700612131	111.5
20	2	0.25	30	ok	4	66.5553700612131	111.5
20	1	0.1	20	ok	5	70.2281580411797	108
20	1	0.1	30	ok	4	70.2281580411797	122
20	1	0.15	20	ok	4	70.2281580411797	111.5
20	1	0.15	30	ok	4	70.2281580411797	122
20	1	0.2	20	ok	3	70.2281580411797	138
20	1	0.2	30	ok	3	70.2281580411797	138
20	1	0.25	20	ok	3	70.2281580411797	138
20	1	0.25	30	ok	3	70.2281580411797	138
