Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.	core	signedR2
1	0.0694068932891589	2.79132799302881	0.837115753312943	1002.56024748615	1042.32861037219	1169.48125673837	ST8	0
2	0.224441004415051	3.98176726374828	0.387900449976296	607.955477457262	635.934005746557	805.038830064087	ST8	0
3	0.220737192803936	3.00981857826865	0.0777930099202704	380.551354595285	397.005040313998	571.168623141797	ST8	0
4	0.440399986017637	0.722376697655519	0.292678190202812	245.706270853634	252.676993404273	417.357121824241	ST8	0
5	0.346038495615727	0.214344511338757	0.432592819996049	163.453418167347	164.668246840247	313.808852288656	ST8	0
6	0.000331493742742311	0.0118553885711277	0.689608428547909	111.872885657679	110.281276738216	242.451011460599	ST8	0
7	0.243121350334548	-0.412751321273355	0.748424384849437	78.6491694241566	77.8596010510228	192.106736405323	ST8	0.243121350334548
8	0.427965211145132	-0.634633219026311	0.855786259918969	56.6937567459766	55.3061035702746	155.742102388054	ST8	0.427965211145132
9	0.573496967112265	-0.806498071472981	0.918890252750045	41.8276150515077	40.2722053762413	128.856803331057	ST8	0.573496967112265
10	0.649824864238015	-0.968857321920311	0.934553556920063	31.5282151441482	29.1844185893719	108.579480793289	ST8	0.649824864238015
12	0.736110104912422	-1.18885995830472	0.947731329581382	18.972046180336	16.0409294561958	80.8965683786871	ST8	0.736110104912422
14	0.80426697619885	-1.29183725145937	0.968682797507916	12.1955715848466	8.85491868075791	63.0144455980652	ST8	0.80426697619885
16	0.848243715628508	-1.37539453533476	0.984183392247903	8.28141606910761	5.08514395120528	50.6725592529656	ST8	0.848243715628508
18	0.87174531434952	-1.43106333378731	0.985225384693404	5.88475998385913	3.09036049533498	41.8765429191356	ST8	0.87174531434952
20	0.886605493908169	-1.45507286314023	0.974969778645541	4.34224905813893	1.91528308307799	35.2443680919235	ST8	0.886605493908169
1	0.120257106168251	3.50751791489861	0.822001735555654	1002.42442381757	1029.73124581663	1220.80837298616	ST13	0
2	0.215863212101786	3.92106573318177	0.310467903680464	610.125418031294	621.892059241894	881.950901049447	ST13	0
3	0.174453551692248	2.67273693556209	-0.0379859876546951	384.898424095686	385.326713553127	659.161446271976	ST13	0
4	0.034515781277792	0.276907947811458	0.201601496214817	251.261013937411	244.698790587551	507.171392512145	ST13	0
5	0.000430136573419608	0.0166627624668551	0.701157108942458	169.40010082118	157.984415487822	400.127179466459	ST13	0
6	0.253620692323312	-0.663553762638102	0.897750190339286	117.704948952802	105.131688743376	322.518793725685	ST13	0.253620692323312
7	0.496806073549645	-1.01361359870668	0.952027061254147	84.1065682054292	71.3155740255347	264.764608380146	ST13	0.496806073549645
8	0.632330950027699	-1.17598955090219	0.965016997534166	61.6734223829888	49.3362766839006	220.775389313272	ST13	0.632330950027699
9	0.714363535283327	-1.31801542239367	0.955797039036116	46.3146027953185	35.476609064138	186.574845264265	ST13	0.714363535283327
10	0.772987634100454	-1.37178727041732	0.946870765844803	35.5515802342094	25.2649574898494	159.498642889368	ST13	0.772987634100454
12	0.836397445132345	-1.4274796087076	0.90049476681388	22.2149994198271	14.1237217142981	119.948172938553	ST13	0.836397445132345
14	0.933911747997437	-1.33445385990736	0.930171587613317	14.854261988302	8.11399350289918	93.008767259306	ST13	0.933911747997437
16	0.926959306489291	-1.34778975748066	0.906315106938884	10.5105140019073	4.89099933584591	77.0725499983685	ST13	0.926959306489291
18	0.949003173299849	-1.34308174794177	0.935727780729608	7.79506808908308	3.10484744027588	67.1847262771172	ST13	0.949003173299849
20	0.956548779732287	-1.33462175531458	0.949068311198797	6.01108309863811	2.08225860917322	59.5922217576156	ST13	0.956548779732287
