setting_id	q	threshold	n_edges	within_edge_fraction	bio_within_edge_fraction	modularity	nonisolates	components	largest_component_fraction	isolate_fraction
baseline	0.9975	0.137593455579977	4035	0.799752168525403	0.804772784970805	0.23443288528613	335	1476	0.104062326099054	0.813578185865331
baseline	0.995	0.107868624603524	8069	0.761432643450242	0.76899501979313	0.239563505996257	455	1356	0.129104062326099	0.746800222593211
baseline	0.99	0.0736046094218937	16138	0.731131490891065	0.747722953934867	0.259554777349652	660	1156	0.162493043962159	0.632721202003339
baseline	0.98	0.0405913449677409	32275	0.664725019364833	0.717733285663211	0.273727384428342	960	852	0.460211463550362	0.465776293823038
opt5	0.9975	0.213285229196586	4035	0.770260223048327	0.770667330677291	0.158036330577003	266	1536	0.105175292153589	0.8519755147468
opt5	0.995	0.185306354553477	8069	0.736274631304994	0.738273453093813	0.180236232841465	349	1456	0.13132999443517	0.805787423483584
opt5	0.99	0.149477188510777	16138	0.696182922295204	0.700366022971097	0.198883343285084	532	1274	0.172509738452977	0.7039510294936
opt5	0.98	0.108101361471736	32275	0.626305189775368	0.636590990288739	0.214222981897759	827	976	0.229271007234279	0.539788536449638
exp4	0.9975	0.213285229196586	4035	0.770260223048327	0.770667330677291	0.158036330577003	266	1536	0.105175292153589	0.8519755147468
exp4	0.995	0.185306354553477	8069	0.736274631304994	0.738273453093813	0.180236334018446	349	1456	0.13132999443517	0.805787423483584
exp4	0.99	0.149477188510777	16138	0.695873094559425	0.699842321034374	0.198770119126866	532	1274	0.172509738452977	0.7039510294936
exp4	0.98	0.108101361471736	32275	0.620914020139427	0.62986949904472	0.211562556369134	827	976	0.229271007234279	0.539788536449638
exp3	0.9975	0.213285229196586	4035	0.998513011152416	1	0.164332411741223	266	1536	0.105175292153589	0.8519755147468
exp3	0.995	0.185306354553477	8069	0.995166687321849	0.998877245508982	0.190474272330799	349	1456	0.13132999443517	0.805787423483584
exp3	0.99	0.149477188510777	16138	0.987420993927376	0.996594134342479	0.220549369185841	532	1274	0.172509738452977	0.7039510294936
exp3	0.98	0.108101361471736	32275	0.947947327652982	0.971665425342444	0.249221331086352	827	976	0.229271007234279	0.539788536449638
