module_wgcna	module_leiden	N
grey	L1	545
turquoise	L1	237
grey	L3	235
grey	L4	138
blue	L3	133
brown	L3	84
yellow	L1	76
green	L1	65
grey	L21	5
grey	L22	5
blue	L1	5
grey	L76	3
grey	L31	2
grey	L120	2
grey	L250	2
grey	L251	2
grey	L2	1
grey	L5	1
grey	L6	1
grey	L7	1
grey	L8	1
grey	L9	1
grey	L10	1
grey	L11	1
grey	L12	1
grey	L13	1
grey	L14	1
grey	L15	1
grey	L16	1
grey	L17	1
grey	L18	1
grey	L19	1
grey	L20	1
grey	L23	1
grey	L24	1
grey	L25	1
grey	L26	1
grey	L27	1
grey	L28	1
grey	L29	1
grey	L30	1
grey	L32	1
grey	L33	1
grey	L34	1
grey	L35	1
grey	L36	1
grey	L37	1
grey	L38	1
grey	L39	1
grey	L40	1
grey	L41	1
grey	L42	1
grey	L43	1
grey	L44	1
grey	L45	1
grey	L46	1
grey	L47	1
grey	L48	1
grey	L49	1
grey	L50	1
grey	L51	1
grey	L52	1
grey	L53	1
grey	L54	1
grey	L55	1
grey	L56	1
grey	L57	1
grey	L58	1
grey	L59	1
grey	L60	1
grey	L61	1
grey	L62	1
grey	L63	1
grey	L64	1
grey	L65	1
grey	L66	1
grey	L67	1
grey	L68	1
grey	L69	1
grey	L70	1
grey	L71	1
grey	L72	1
grey	L73	1
grey	L74	1
grey	L75	1
grey	L77	1
grey	L78	1
grey	L79	1
grey	L80	1
grey	L81	1
grey	L82	1
grey	L83	1
grey	L84	1
grey	L85	1
grey	L86	1
grey	L87	1
grey	L88	1
grey	L89	1
grey	L90	1
grey	L91	1
grey	L92	1
grey	L93	1
grey	L94	1
grey	L95	1
grey	L96	1
grey	L97	1
grey	L98	1
grey	L99	1
grey	L100	1
grey	L101	1
grey	L102	1
grey	L103	1
grey	L104	1
grey	L105	1
grey	L106	1
grey	L107	1
grey	L108	1
grey	L109	1
grey	L110	1
grey	L111	1
grey	L112	1
grey	L113	1
grey	L114	1
grey	L115	1
grey	L116	1
grey	L117	1
grey	L118	1
grey	L119	1
grey	L121	1
grey	L122	1
grey	L123	1
grey	L124	1
grey	L125	1
grey	L126	1
grey	L127	1
grey	L128	1
grey	L129	1
grey	L130	1
grey	L131	1
grey	L132	1
grey	L133	1
grey	L134	1
brown	L1	1
grey	L135	1
grey	L136	1
grey	L137	1
grey	L138	1
grey	L139	1
grey	L140	1
grey	L141	1
grey	L142	1
grey	L143	1
grey	L144	1
grey	L145	1
grey	L146	1
grey	L147	1
grey	L148	1
grey	L149	1
grey	L150	1
grey	L151	1
grey	L152	1
grey	L153	1
grey	L154	1
grey	L155	1
grey	L156	1
grey	L157	1
grey	L158	1
grey	L159	1
grey	L160	1
grey	L161	1
grey	L162	1
grey	L163	1
grey	L164	1
grey	L165	1
grey	L166	1
grey	L167	1
grey	L168	1
grey	L169	1
grey	L170	1
grey	L171	1
grey	L172	1
grey	L173	1
grey	L174	1
grey	L175	1
grey	L176	1
grey	L177	1
grey	L178	1
grey	L179	1
grey	L180	1
grey	L181	1
grey	L182	1
grey	L183	1
grey	L184	1
grey	L185	1
grey	L186	1
grey	L187	1
grey	L188	1
grey	L189	1
grey	L190	1
grey	L191	1
grey	L192	1
grey	L193	1
grey	L194	1
grey	L195	1
grey	L196	1
grey	L197	1
grey	L198	1
grey	L199	1
grey	L200	1
grey	L201	1
grey	L202	1
grey	L203	1
grey	L204	1
grey	L205	1
grey	L206	1
grey	L207	1
grey	L208	1
grey	L209	1
grey	L210	1
grey	L211	1
grey	L212	1
grey	L213	1
grey	L214	1
grey	L215	1
grey	L216	1
grey	L217	1
grey	L218	1
grey	L219	1
grey	L220	1
grey	L221	1
grey	L222	1
grey	L223	1
grey	L224	1
grey	L225	1
grey	L226	1
grey	L227	1
grey	L228	1
grey	L229	1
grey	L230	1
grey	L231	1
grey	L232	1
grey	L233	1
grey	L234	1
grey	L235	1
grey	L236	1
grey	L237	1
grey	L238	1
grey	L239	1
grey	L240	1
grey	L241	1
grey	L242	1
grey	L243	1
grey	L244	1
grey	L245	1
grey	L246	1
grey	L247	1
grey	L248	1
grey	L249	1
grey	L252	1
grey	L253	1
grey	L254	1
grey	L255	1
grey	L256	1
grey	L257	1
grey	L258	1
grey	L259	1
grey	L260	1
grey	L261	1
grey	L262	1
grey	L263	1
grey	L264	1
grey	L265	1
grey	L266	1
grey	L267	1
