sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	harmonization_mode
LV3003046936	ST8	22.905	4.8619	7.62434576717752	122.433635454076	9.92099589214087	487.412604288673	195.218334890563	138.262494926551	corewise_z
LV3003046937	ST8	18.598	4.98412	7.40669227965178	12.5360866534807	-41.0327985230695	8.47675210637755	94.9652477908575	85.0008109868743	corewise_z
LV3003046938	ST8	11.169	3.65408	6.64060093364877	-44.1394192440055	222.359333214845	1.29207702152684	56.7056216050699	40.8377080724188	corewise_z
LV3003046939	ST8	2.42	3.2262	6.89400787736814	-44.1394192440055	208.566104348975	-14.6807923252809	115.676055505491	21.1698382663395	corewise_z
LV3003046940	ST13	286.502	3.85514	5.39009750554031	-26.3589450687144	98.3369307602163	16.0232997394202	158.74190890608	89.0895141417681	corewise_z
LV3003046941	ST13	277.8975	4.323325	5.99686966172032	-36.6156829645604	-48.6171404342672	-31.4630655273293	31.4965757241173	38.2395630493361	corewise_z
LV3003046942	ST13	255.8555	4.42133	5.90907678650221	-36.6156829645604	-67.8777908275989	-47.0369934889527	-62.4401765134719	-27.9804007663013	corewise_z
LV3003046945	ST13	219.6394	3.965576	7.4063509745483	-25.0527777763203	-40.8318973640662	-44.3430458422434	62.911950719534	31.8613284096304	corewise_z
LV3003046946	ST13	205.2922	3.80539	8.20025628035142	-30.7220460692251	-72.1359164049763	-45.6969474999871	-99.4961871408601	-85.6077787212768	corewise_z
LV3003046947	ST13	184.183	4.43477	10.4570057570304	-36.6156829645604	-59.3530897770303	-47.0369934889527	-81.7644597686492	-78.3981864353805	corewise_z
LV3003046948	ST13	233.787	3.86769	9.17084295761282	-36.6156829645604	-31.1507197739478	-47.0369934889527	-159.631731749972	-160.687104215216	corewise_z
LV3003046949	ST8	22.3686666666667	4.87262666666667	7.59724225650273	36.8025673465567	-8.69851811505771	388.543223836934	157.538971405534	121.518648023579	corewise_z
LV3003046950	ST8	18.099	5.01406	7.38147540241116	44.0031071207921	-17.1073916909197	164.869345347592	137.232259391842	114.644467608197	corewise_z
LV3003046952	ST8	10.26	3.5408	6.52726089941695	-44.1394192440055	215.61950607993	-14.5605903576593	35.3814666022988	2.75889063029044	corewise_z
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	-41.8970979158153	180.033951721141	8.70320248310851	122.932356190692	32.5336797696887	corewise_z
LV3003046955	ST13	285.2056	3.835888	5.37741222464105	-34.6857255510138	35.6980238727097	-7.39511820211372	146.227442116204	89.0649361910013	corewise_z
LV3003046956	ST13	276.6475	4.39065	6.52530134283951	-32.7345067781927	-56.8241324235185	-23.8771234340582	74.5712112225498	64.1847697809207	corewise_z
LV3003046957	ST13	252.6205	4.561745	6.88150893227252	-36.6156829645604	-75.139323064777	-47.0369934889527	-47.7885314150629	-0.821953331404847	corewise_z
LV3003046959	ST13	296.2058	4.244406	6.68003120231506	-31.2054285020838	-75.139323064777	-47.0369934889527	-481.26148147512	-227.053596279487	corewise_z
LV3003046960	ST13	232.0876	4.15248	9.69950645445728	-36.6156829645604	-9.39474894095971	-45.0596733580454	1.611663190121	-77.3682824901957	corewise_z
LV3003046961	ST13	217.8288	3.67891200000001	7.67145744723192	-32.4718173578674	-70.3309524249794	-47.0369934889527	-74.5643071998865	-62.8542008122401	corewise_z
