sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	state_inferred	state	harmonization_mode
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	138.712172132289	158.890816850895	68.4251908440186	1	5	5	corewise_z
LV3003046939	ST8	2.42	3.2262	6.89400787736814	126.466654057742	183.074926586458	92.3940213862157	1	5	5	corewise_z
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	98.4562285115853	186.129619788241	111.278592939041	1	5	5	corewise_z
LV3003047028	ST8	4.753	3.26988	6.51953039778323	-370.612855193069	-75.5086534088516	100.067403225274	1	2	2	corewise_z
LV3003047013	ST8	5.885	3.32195	6.33782936611152	35.394361277756	158.474577003713	121.93263975794	1	5	5	corewise_z
LV3003046995	ST8	6.9705	3.36882	6.16359220190688	63.0188967011659	162.704490856797	111.908867092062	1	5	5	corewise_z
LV3003046980	ST8	8.056	3.41776	6.25245183951933	50.5833343500905	162.357087988508	113.371732548912	1	5	5	corewise_z
LV3003046952	ST8	10.26	3.5408	6.52726089941695	72.8276405066704	169.356912738524	127.941333518196	1	5	5	corewise_z
LV3003046938	ST8	11.169	3.65408	6.64060093364877	115.551676029061	174.921760011832	112.098718340115	1	5	5	corewise_z
LV3003047044	ST8	12.078	3.93092	6.75394096788059	-10.4272316736759	18.9451113026783	-98.3556004962794	1	1	1	corewise_z
LV3003047027	ST8	12.877	4.04278	6.85356548641879	137.300652492932	157.293900284437	69.7242142621825	1	5	5	corewise_z
LV3003047010	ST8	13.676	4.20872	6.95319000495699	98.233886288532	161.543236753374	121.255620117894	1	5	5	corewise_z
LV3003046994	ST8	15.549	4.63274	7.18672783126745	23.8108932894265	-279.7211370995	105.784900332143	1	3	3	corewise_z
LV3003046979	ST8	16.461	4.80993	7.29869936048704	139.570253506706	-2.15752929330257	76.1126419576464	1	4	4	corewise_z
LV3003046966	ST8	17.373	4.93222	7.34478712009314	152.20198610588	-63.712799859047	-77.769695919786	1	3	3	corewise_z
LV3003046950	ST8	18.099	5.01406	7.38147540241116	221.572708501323	-62.9252171107806	-60.8568565406888	1	3	3	corewise_z
LV3003046937	ST8	18.598	4.98412	7.40669227965178	95.6968915498125	-9.8432753071063	-88.3398717889131	1	1	1	corewise_z
LV3003047041	ST8	19.097	4.96291	7.4319091568924	385.816849006758	-238.379277855121	45.7308453703126	1	3	3	corewise_z
LV3003047026	ST8	19.565	4.97695	7.455559454585	285.52464634592	-365.406222545842	127.444687866219	1	3	3	corewise_z
LV3003047009	ST8	20.142	4.97864	7.48471804810772	128.985555365573	-343.980919647705	105.097900233855	1	3	3	corewise_z
LV3003046993	ST8	20.719	4.93248	7.51387664163044	372.789314553033	-264.38781862807	280.246471948267	1	3	3	corewise_z
LV3003046978	ST8	21.296	4.90112	7.54303523515316	360.246332856243	-201.645046838152	5.33745542428717	1	3	3	corewise_z
LV3003046965	ST8	21.8323333333333	4.88503	7.57013874582794	499.183529103818	-258.152032459541	45.8194751385632	1	3	3	corewise_z
LV3003046949	ST8	22.3686666666667	4.87262666666667	7.59724225650273	336.419161720727	-128.017039278589	-34.9598469212371	1	3	3	corewise_z
LV3003046936	ST8	22.905	4.8619	7.62434576717752	439.923828181	-203.788523692948	9.85256830723978	1	3	3	corewise_z
LV3003047145	ST8	23.446	4.8377	7.65168510703157	166.760766847579	-211.00211879025	20.1624667432613	1	3	3	corewise_z
LV3003047132	ST8	23.987	4.81065	7.67902444688563	460.378604885896	-163.876065124438	-13.0996077944954	1	3	3	corewise_z
LV3003047118	ST8	24.528	4.81528	7.70636378673969	325.89187451679	-100.888285630616	-40.4652852155643	1	3	3	corewise_z
LV3003047099	ST8	25.058	4.8113	7.73314724352832	77.9974215155901	-6.4130939034284	-115.670197506514	1	1	1	corewise_z
LV3003047071	ST8	26.141	4.68128	7.78787645806057	23.8303759501213	14.0129336894478	-128.441301161457	1	1	1	corewise_z
LV3003047169	ST8	26.6703333333333	4.72362666666667	7.81462622496645	61.455100907459	-14.0552571622155	-123.86487770701	1	1	1	corewise_z
LV3003047156	ST8	27.1996666666667	4.75	7.84137599187233	71.4859245295223	10.5705372152954	-108.382202960947	1	1	1	corewise_z
LV3003047144	ST8	27.729	4.75	7.87282431997209	110.432222939153	21.8718316926504	-119.75385651786	1	1	1	corewise_z
LV3003047131	ST8	28.2453333333333	4.74509333333333	7.95468779538517	35.9516355712564	60.1437733884668	-80.5392337848289	1	1	1	corewise_z
LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	10.3628790482949	35.9465428176777	-100.211565845436	1	1	1	corewise_z
LV3003047098	ST8	29.278	4.69942	8.11841474621133	-75.0565179308384	-2.40215098075656	-81.2916063352155	1	1	1	corewise_z
LV3003047085	ST8	29.703	4.65267	8.18579752939511	21.2739782630069	-10.9052882208698	-110.40516676626	1	1	1	corewise_z
LV3003047070	ST8	30.128	4.62	8.25318031257889	-17.4896641076007	3.91704091841858	-111.076520826879	1	1	1	corewise_z
LV3003047168	ST8	30.497	4.62	8.31168442315493	33.9696156362655	-14.0074842265569	-99.1160283269654	1	1	1	corewise_z
LV3003047155	ST8	30.9475	4.62	8.38311017332974	-108.220170630423	-8.85682476070646	-61.066071122912	1	1	1	corewise_z
LV3003047143	ST8	31.398	4.61204	8.45453592350455	26.0284988885681	57.4100271693726	-80.2245268923452	1	1	1	corewise_z
LV3003047130	ST8	31.936	4.60128	8.53983459962896	-13.130826287156	28.3372886151305	-90.0220579309447	1	1	1	corewise_z
LV3003047114	ST8	32.3855	4.59229	8.61110180207863	-27.7144379818451	39.1091671357511	-69.6519368758478	1	1	1	corewise_z
LV3003047097	ST8	32.835	4.5833	8.6823690045283	18.2531412862242	46.5966803067792	-85.7764085152534	1	1	1	corewise_z
LV3003047084	ST8	33.276	4.58276	8.75228855131429	99.8124042663481	111.577542162484	-21.4838412586837	1	4	4	corewise_z
LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	3.75621906839999	22.0792746904233	-100.940057208846	1	1	1	corewise_z
LV3003047167	ST8	34.67812	4.556094	8.97459148768522	-83.4945715269039	-4.73891930527219	-79.1386093530638	1	1	1	corewise_z
LV3003047154	ST8	35.13012	4.5282892	9.04625505944773	-14.1272668297223	37.2361102871528	-79.5031591969736	1	1	1	corewise_z
LV3003047142	ST8	35.5823	4.487593	9.11794716980078	-57.7427302736351	-6.1253320972377	-91.5710476796692	1	1	1	corewise_z
LV3003047129	ST8	36.0373	4.450373	9.19008638473871	4.5789584386054	-2.3172135172431	-115.759765376951	1	1	1	corewise_z
LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	72.2977368483328	0.661759585548122	-119.588548956799	1	1	1	corewise_z
LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	22.5443739388247	9.3840705595461	-124.226408381162	1	1	1	corewise_z
