sample	core	age_kyr	d18O	sst	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	analysis_partition	harmonization_mode
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	-0.342579145272631	2.30068301295544	0.180624368958546	0.941577173184105	0.476178448409442	training	corewise_z
LV3003046939	ST8	2.42	3.2262	6.89400787736814	-0.364432806474982	2.63010098127691	-0.0102210672161023	0.897312756892698	0.359172760049384	training	corewise_z
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	-0.364432806474986	2.71875717188697	-0.123586926428022	0.750504885798425	0.163743484340181	training	corewise_z
LV3003047028	ST8	4.753	3.26988	6.51953039778323	-0.364432806474985	-0.614707852719389	-0.418620362653777	-2.00660823866309	-1.72659459411794	training	corewise_z
LV3003047013	ST8	5.885	3.32195	6.33782936611152	-0.364432806474985	2.40702094061877	-0.172717987040996	0.412506582006964	-0.206233331332555	training	corewise_z
LV3003046995	ST8	6.9705	3.36882	6.16359220190688	-0.364432806474985	2.45772040319733	-0.0942563560438744	0.513504927540271	0.0234662458675944	training	corewise_z
LV3003046980	ST8	8.056	3.41776	6.25245183951933	-0.364432806474985	2.41313185082944	-0.165929899690062	0.502663794775125	-0.0918267420386535	training	corewise_z
LV3003046952	ST8	10.26	3.5408	6.52726089941695	-0.364432806474985	2.71153603100041	-0.00924005447094089	0.407504897027276	0.16960784919752	training	corewise_z
LV3003046938	ST8	11.169	3.65408	6.64060093364877	-0.364432806474985	2.78935070522362	0.120139431168823	0.53758512868446	0.561679337121776	training	corewise_z
LV3003047044	ST8	12.078	3.93092	6.75394096788059	-0.311560387157241	-0.477202589530717	-0.316450730288868	0.313120211641443	0.712285604077609	training	corewise_z
LV3003047027	ST8	12.877	4.04278	6.85356548641879	-0.311508097221176	2.37612760048934	0.145791671631761	0.731352456868784	0.78829736401048	training	corewise_z
LV3003047010	ST8	13.676	4.20872	6.95319000495699	-0.336848501845075	2.64650511344281	0.187743687934107	0.596408407779108	0.13721039801473	training	corewise_z
LV3003046994	ST8	15.549	4.63274	7.18672783126745	3.60693919181802	-0.567944762942052	-0.398248076207231	0.0657888651808145	-0.0930654006292903	training	corewise_z
LV3003046979	ST8	16.461	4.80993	7.29869936048704	1.43175055122371	1.42935504462521	-0.202353972168181	0.695967284423325	0.836575642901756	training	corewise_z
LV3003046966	ST8	17.373	4.93222	7.34478712009314	0.715824749348318	-0.335746487740132	0.584930042008041	0.927362656591077	1.15814072548416	training	corewise_z
LV3003046950	ST8	18.099	5.01406	7.38147540241116	0.494604158691147	0.0245876315080202	1.45515405881254	1.0288085181466	1.32161696055347	training	corewise_z
LV3003046937	ST8	18.598	4.98412	7.40669227965178	0.187926611769193	-0.25164315320406	0.178776223623527	0.770974026707266	1.01639654301552	training	corewise_z
LV3003047041	ST8	19.097	4.96291	7.4319091568924	2.36131146367916	0.298694964087475	2.89958512750891	1.27557321457403	1.39410987220796	training	corewise_z
LV3003047026	ST8	19.565	4.97695	7.455559454585	4.85048715314788	-0.057083503010366	0.949231991273084	0.941406363501066	0.980772242603574	training	corewise_z
LV3003047009	ST8	20.142	4.97864	7.48471804810772	4.27949123808966	-0.638575228927402	0.208815261052128	0.39555601380149	0.364852524013948	training	corewise_z
LV3003046993	ST8	20.719	4.93248	7.51387664163044	4.93917506421301	2.25601693738254	1.20978452931465	1.00101373098717	0.991951270955964	training	corewise_z
LV3003046978	ST8	21.296	4.90112	7.54303523515316	1.52306535543	0.0818199841260727	3.13087633768193	1.19718347918113	1.36561406733025	training	corewise_z
LV3003046965	ST8	21.8323333333333	4.88503	7.57013874582794	1.80036293276544	0.484363006246993	4.65844302525657	1.43033169290212	1.65379399873185	training	corewise_z
LV3003046949	ST8	22.3686666666667	4.87262666666667	7.59724225650273	0.424427705958023	0.121672281424352	3.28063936408031	1.15268220986351	1.39239568543942	training	corewise_z
LV3003046936	ST8	22.905	4.8619	7.62434576717752	1.25898800170643	0.336643880496797	4.08754897004119	1.38253142687544	1.56479560250094	training	corewise_z
LV3003047145	ST8	23.446	4.8377	7.65168510703157	2.82215556921194	-0.364637449327731	0.279036981808316	0.768774594949811	0.947206496725257	training	corewise_z
LV3003047132	ST8	23.987	4.81065	7.67902444688563	0.591744120906958	0.451474689651594	4.48887443624254	1.45413251727058	1.69875393730019	training	corewise_z
LV3003047118	ST8	24.528	4.81528	7.70636378673969	0.351484663720645	0.232785506299419	2.9484703816964	1.19473280222515	1.43675419335568	training	corewise_z
LV3003047099	ST8	25.058	4.8113	7.73314724352832	-0.198923949986044	-0.537488064771707	0.348446900314651	0.694345474119794	0.996861342294295	training	corewise_z
LV3003047071	ST8	26.141	4.68128	7.78787645806057	-0.315639975763658	-0.678165910110315	-0.198572091862136	0.57737720693968	0.87697292460783	training	corewise_z
LV3003047169	ST8	26.6703333333333	4.72362666666667	7.81462622496645	-0.181938827856419	-0.714249901799111	0.249271120023635	0.650558559392018	0.948593854426157	training	corewise_z
LV3003047156	ST8	27.1996666666667	4.75	7.84137599187233	-0.277741575781988	-0.385657863231075	0.252420720491757	0.689082597283993	0.944007337218958	training	corewise_z
LV3003047144	ST8	27.729	4.75	7.87282431997209	-0.315349442151769	-0.277613683336172	0.369880262775474	0.885760553347263	1.16905983801112	training	corewise_z
LV3003047131	ST8	28.2453333333333	4.74509333333333	7.95468779538517	-0.296489882010979	0.0583461696261995	-0.376123012469564	0.698745187045759	0.681973022536439	training	corewise_z
LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	-0.316648786723266	-0.344223164252047	-0.370225176877384	0.546355438900902	0.683300239098947	training	corewise_z
LV3003047098	ST8	29.278	4.69942	8.11841474621133	-0.341814299464908	-0.741685855264688	-0.364644544994566	0.0752000370212911	0.133621594003026	training	corewise_z
LV3003047085	ST8	29.703	4.65267	8.18579752939511	-0.0843981830410055	-0.677210596602407	-0.115444749907267	0.443291440087776	0.858979055731706	training	corewise_z
LV3003047070	ST8	30.128	4.62	8.25318031257889	-0.263900766185729	-0.74168585526469	-0.326624667322895	0.380158766236413	0.590061889021797	training	corewise_z
LV3003047168	ST8	30.497	4.62	8.31168442315493	0.0165153726083567	-0.567425165860315	-0.0497584051705424	0.495239285859132	0.830764094643897	training	corewise_z
LV3003047155	ST8	30.9475	4.62	8.38311017332974	-0.340067002912688	-0.741685855264688	-0.393893850885131	-0.0830700256233774	-0.175251749264325	training	corewise_z
LV3003047143	ST8	31.398	4.61204	8.45453592350455	-0.309928141786734	0.0367392708705101	-0.397918608773105	0.577530420155801	0.746183370516394	training	corewise_z
LV3003047130	ST8	31.936	4.60128	8.53983459962896	-0.340817370111872	-0.358954183682512	-0.354225844572311	0.31756603813425	0.64706643094568	training	corewise_z
LV3003047114	ST8	32.3855	4.59229	8.61110180207863	-0.364432806474985	-0.20026347906476	-0.418620362653777	0.331371500325346	0.35158807096026	training	corewise_z
LV3003047097	ST8	32.835	4.5833	8.6823690045283	-0.279760605065221	-0.115154696639947	-0.398605439299423	0.558059087179692	0.700136488540307	training	corewise_z
LV3003047084	ST8	33.276	4.58276	8.75228855131429	-0.262998083972485	1.15407985179907	-0.211660235364534	0.820929051112681	0.902861523685038	training	corewise_z
LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	-0.239754904866079	-0.466093701547423	-0.358290707876416	0.506836744287881	0.641336294753502	training	corewise_z
LV3003047167	ST8	34.67812	4.556094	8.97459148768522	-0.316977577031087	-0.741685855264688	-0.418620362653777	-0.0240062273408117	0.188967776849306	training	corewise_z
LV3003047154	ST8	35.13012	4.5282892	9.04625505944773	-0.320460387190117	-0.263952012028705	-0.418620362653777	0.456384327361463	0.397522310591617	training	corewise_z
LV3003047142	ST8	35.5823	4.487593	9.11794716980078	-0.291752851985156	-0.741685855264688	-0.337262197928511	0.0320489872280083	0.471174203152298	training	corewise_z
LV3003047129	ST8	36.0373	4.450373	9.19008638473871	-0.157851503480868	-0.741685855264688	-0.26760800973116	0.468547101889135	0.731181756437848	training	corewise_z
LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	-0.112457430732613	-0.551411130188367	0.0906570722119995	0.787147529434364	0.952908090385271	training	corewise_z
LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	-0.216380663330405	-0.679016393849222	-0.255566118289678	0.588478218538481	0.841189768055949	training	corewise_z
LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	-0.337974184958141	-0.426051930141733	-0.329685429282978	0.468414595051277	0.664382828775499	training	corewise_z
LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	-0.314199490551214	-0.640318866967002	-0.282623434145165	0.465480132016558	0.627260637276298	training	corewise_z
LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	-0.340557004315409	-0.118405543567794	-0.358600722936861	0.622340710602467	0.818709854097259	training	corewise_z
LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	-0.339498504296437	-0.0302224805411518	-0.380351563765802	0.660195917184521	0.82568486364418	training	corewise_z
LV3003047141	ST8	39.15347	4.55	8.89722610078355	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.11768078923619	-1.67795105955497	training	corewise_z
LV3003047128	ST8	39.57797	4.55	8.83334865482924	-0.273930664882431	-0.741685855264688	-0.209633902593869	0.465482598944938	0.754396709212462	training	corewise_z
LV3003047112	ST8	40.0335	4.54866	8.76480191052874	-0.339454912423432	-0.297112159920322	-0.358394981199864	0.641722621866047	0.847243184978241	training	corewise_z
LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	-0.303520039831392	-0.170612574374816	-0.375823042663033	0.437353270937392	0.370390184270846	training	corewise_z
LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-0.319727432660239	-0.408022338140043	-0.401434626055036	0.238614429213887	0.187287043641349	training	corewise_z
LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	-0.162082231065714	0.198814189201764	-0.340168432915475	0.701117292279341	0.845285634862973	training	corewise_z
LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-0.364432806474985	-0.612066780237102	-0.402405934433468	0.242737085271386	0.115658903517138	training	corewise_z
LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	-0.343336571613093	0.0669330995187091	-0.395270688427065	0.513653419736041	0.684648454640554	training	corewise_z
LV3003047140	ST8	46.0948	4.361896	8.58009723613548	-0.364432806474985	-0.741685855264688	-0.418620362653777	-1.38973223653198	-1.24775418997206	training	corewise_z
LV3003047127	ST8	47.6248	4.423736	8.72209745713196	-0.341598822582835	-0.741685855264688	-0.418620362653777	-0.455211339680571	-1.21961248227187	training	corewise_z
LV3003047110	ST8	49.1548	4.441424	8.86409767812845	-0.364432806474985	-0.677182416971267	-0.418620362653777	0.096582684765712	-0.188134110543975	training	corewise_z
LV3003047094	ST8	50.6848	4.333152	8.71916462667657	-0.364432806474985	0.188046455785069	-0.402562193353454	0.446563761492242	0.136778268680012	training	corewise_z
LV3003047081	ST8	52.20718	4.3369334	7.53394237030326	-0.312301345182158	-0.204200714191858	-0.289145955755717	0.494406027968645	0.443925811002316	training	corewise_z
LV3003047065	ST8	53.61018	4.4033892	6.44166131978254	-0.154690441269972	-0.741685855264688	-0.342924944383109	-0.650918531977103	-0.806669083550831	training	corewise_z
LV3003047161	ST8	54.98346	4.3111578	6.47543092855096	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.18072606785173	-1.56278266448885	training	corewise_z
LV3003047160	ST8	55.8911266666667	4.34564506666667	6.67190717786631	-0.364432806474985	-0.741685855264688	-0.418620362653777	-2.26048703192557	-1.64117402292924	training	corewise_z
