module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEbrown	ba_ti_z	-0.522252550915477	5.35657041064425e-16	-0.619081960296039	5.86827432973662e-11	-0.495109806229637	7.43454759162773e-11	-0.504790438311479	9.15166082088583e-13	6.69571301330531e-15	TRUE	TRUE	stable
MEbrown	ca_ti_z	-0.351419420704566	1.60174103428287e-07	-0.470589889805802	8.27761562377016e-06	-0.306101175221484	9.54254186199864e-05	-0.345929602721847	1.84475195111029e-06	8.00870517141436e-07	TRUE	TRUE	stable
MEbrown	zr_rb_z	0.147844211440908	0.0281399202629821	0.191487408518918	0.0625125871834286	0.116264528297844	0.144309753058836	0.155166385569454	0.0338734264786474	0.0416495886681327	TRUE	FALSE	unstable_or_mixed
MEbrown	ti_al_z	0.434994290010193	1.31781580336344e-10	0.505784236791065	1.35291785703766e-06	0.389583432508506	7.16933717393809e-07	0.448936687674403	1.33631208821682e-09	1.0981798361362e-09	TRUE	TRUE	stable
MEbrown	mn_fe_z	-0.100095469388933	0.145511510411699	-0.025638562877613	0.814218790328015	-0.133047269855167	0.097552940475093	-0.100338584218157	0.176685458609728	0.173227988585356	TRUE	FALSE	unstable_or_mixed
MEgreen	ba_ti_z	0.101677145942135	0.174908097046705	0.0101817340942382	0.936083173314909	0.117068017678517	0.166627096558693	0.1263898086079	0.111279033083333	0.198759201189438	TRUE	FALSE	unstable_or_mixed
MEgreen	ca_ti_z	0.656061618001035	7.1480294940774e-24	0.852945819974067	4.8857926513637e-16	0.59338148089525	1.86413913243724e-15	0.622249150129054	2.97745611284675e-19	1.78700737351935e-22	TRUE	TRUE	stable
MEgreen	zr_rb_z	0.256898670081828	0.000300880927661444	0.109012844846228	0.36477771598146	0.261777678059897	0.00122466484483373	0.317969218056313	2.04650851945224e-05	0.000829823455655171	TRUE	FALSE	unstable_or_mixed
MEgreen	ti_al_z	-0.286863947135273	0.000129540176967396	-0.19726560990737	0.130760694102594	-0.227317362987255	0.00676360520571414	-0.373811441927295	2.16406455406587e-06	0.000404813053023111	TRUE	FALSE	unstable_or_mixed
MEgreen	mn_fe_z	0.386166537574273	4.86766819789225e-08	0.313766075286211	0.0109943407036389	0.426764964014817	7.28693992759816e-08	0.37098113047402	6.8899485457984e-07	3.04229262368266e-07	TRUE	TRUE	stable
MEblue	ba_ti_z	-0.190954552890443	0.00684063213413137	-0.270602168667374	0.0187715852287189	-0.167692124944762	0.04158811977472	-0.177519028680668	0.0185282005560082	0.0131550617964065	TRUE	TRUE	stable
MEblue	ca_ti_z	-0.11945860994515	0.0892460487660437	-0.0891252428282458	0.461829466651091	-0.128689503871667	0.112750502317214	-0.127500846403853	0.0866570591203231	0.111557560957555	TRUE	FALSE	unstable_or_mixed
