module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEgreen	ca_ti_z	0.656061618001035	7.1480294940774e-24	0.852945819974067	4.8857926513637e-16	0.59338148089525	1.86413913243724e-15	0.622249150129054	2.97745611284675e-19	1.78700737351935e-22	TRUE	TRUE	stable
MEbrown	ba_ti_z	-0.522252550915477	5.35657041064425e-16	-0.619081960296039	5.86827432973662e-11	-0.495109806229637	7.43454759162773e-11	-0.504790438311479	9.15166082088583e-13	6.69571301330531e-15	TRUE	TRUE	stable
MEbrown	ti_al_z	0.434994290010193	1.31781580336344e-10	0.505784236791065	1.35291785703766e-06	0.389583432508506	7.16933717393809e-07	0.448936687674403	1.33631208821682e-09	1.0981798361362e-09	TRUE	TRUE	stable
MEgreen	mn_fe_z	0.386166537574273	4.86766819789225e-08	0.313766075286211	0.0109943407036389	0.426764964014817	7.28693992759816e-08	0.37098113047402	6.8899485457984e-07	3.04229262368266e-07	TRUE	TRUE	stable
MEbrown	ca_ti_z	-0.351419420704566	1.60174103428287e-07	-0.470589889805802	8.27761562377016e-06	-0.306101175221484	9.54254186199864e-05	-0.345929602721847	1.84475195111029e-06	8.00870517141436e-07	TRUE	TRUE	stable
MEyellow	zr_rb_z	-0.274636225288696	1.20780069373968e-06	-0.192556278917609	0.0622674745698049	-0.355903033264517	1.53660167119118e-08	-0.241666145808654	2.49949348763198e-05	5.03250289058202e-06	TRUE	TRUE	stable
MEturquoise	ba_ti_z	-0.235461703017781	0.000115187931364155	-0.230520488081809	0.036961867300767	-0.258184412270081	0.000196504961791593	-0.218386514294604	0.000426524927691832	0.000404813053023111	TRUE	TRUE	stable
MEyellow	ba_ti_z	-0.213741302561922	0.000331929382262068	-0.209416749210997	0.0568554423309371	-0.232492526469805	0.000496870132705138	-0.199934974416959	0.000882279356490281	0.000829823455655171	TRUE	TRUE	stable
MEturquoise	ca_ti_z	0.19022686562128	0.00176952617824884	0.408538411657147	0.000215201259679368	0.141754910015038	0.0410299625218757	0.13367287243271	0.0302274874815363	0.00402165040511099	TRUE	TRUE	stable
MEblue	ba_ti_z	-0.190954552890443	0.00684063213413137	-0.270602168667374	0.0187715852287189	-0.167692124944762	0.04158811977472	-0.177519028680668	0.0185282005560082	0.0131550617964065	TRUE	TRUE	stable
