sample	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046936	1044	971	913	803	0.93007662835249	0.874521072796935	0.769157088122605	0.983156352594962	0.93959389405821	0.808278722336571	ko	3	IG-A	ST8	22.905
LV3003046937	592	573	548	476	0.967905405405405	0.925675675675676	0.804054054054054	0.988664099956414	0.946391471741973	0.837857765509226	ko	3	IG-A	ST8	18.598
LV3003046938	658	615	586	485	0.934650455927052	0.890577507598784	0.737082066869301	0.96935839083835	0.930645613379426	0.734396230696333	ko	5	IG-C	ST8	11.169
LV3003046939	541	519	491	400	0.959334565619224	0.907578558225508	0.739371534195934	0.990041440288431	0.918869504196314	0.850358533141379	ko	5	IG-C	ST8	2.42
LV3003046949	916	866	823	724	0.945414847161572	0.898471615720524	0.790393013100437	0.985505916537631	0.955070252910478	0.831918334575902	ko	3	IG-A	ST8	22.3686666666667
LV3003046950	835	785	745	648	0.940119760479042	0.892215568862276	0.776047904191617	0.978898089202763	0.927671998337176	0.800677455686229	ko	3	IG-A	ST8	18.099
LV3003046952	591	556	530	442	0.94077834179357	0.89678510998308	0.747884940778342	0.964828334563132	0.922607752072573	0.709966578410521	ko	5	IG-C	ST8	10.26
LV3003046953	519	501	473	383	0.965317919075144	0.911368015414258	0.737957610789981	0.996595767499691	0.840537315223477	0.882308352298755	ko	5	IG-C	ST8	1.5215
LV3003046965	1082	993	930	831	0.917744916820702	0.859519408502773	0.768022181146026	0.978544195659859	0.931839514090258	0.784697731017245	ko	3	IG-A	ST8	21.8323333333333
LV3003046966	787	754	713	629	0.958068614993647	0.905972045743329	0.799237611181703	0.984523406230788	0.944404712613393	0.83872849776038	ko	3	IG-A	ST8	17.373
LV3003046978	952	902	845	752	0.947478991596639	0.887605042016807	0.789915966386555	0.987359703377368	0.9474676937829	0.828296378348289	ko	3	IG-A	ST8	21.296
LV3003046979	708	668	627	554	0.943502824858757	0.885593220338983	0.782485875706215	0.979004773111174	0.909066757138575	0.861455915588274	ko	3	IG-A	ST8	16.461
LV3003046980	540	517	490	396	0.957407407407407	0.907407407407407	0.733333333333333	0.981744460618384	0.929162191844517	0.749859899752417	ko	5	IG-C	ST8	8.056
LV3003046993	966	881	804	711	0.912008281573499	0.832298136645963	0.736024844720497	0.964303150538425	0.846468604831533	0.827535166997314	ko	3	IG-A	ST8	20.719
LV3003046994	497	479	425	403	0.963782696177062	0.85513078470825	0.810865191146881	0.994665701025939	0.870693994732278	0.935389217084046	ko	3	IG-A	ST8	15.549
LV3003046995	482	455	435	347	0.943983402489627	0.902489626556017	0.719917012448133	0.942957997869529	0.909217485788566	0.741817669822551	ko	5	IG-C	ST8	6.9705
LV3003047009	596	552	493	451	0.926174496644295	0.827181208053691	0.756711409395973	0.977150851965258	0.865208382054615	0.883189934137892	ko	3	IG-A	ST8	20.142
LV3003047010	586	559	532	427	0.953924914675768	0.907849829351536	0.728668941979522	0.977560541128544	0.93394172574157	0.731719389952764	ko	5	IG-C	ST8	13.676
LV3003047013	477	457	432	348	0.958071278825996	0.905660377358491	0.729559748427673	0.981848011031723	0.917395368124508	0.785821010956028	ko	5	IG-C	ST8	5.885
LV3003047026	849	773	705	635	0.910482921083628	0.830388692579505	0.74793875147232	0.974324362950782	0.864526670520589	0.887656035714307	ko	3	IG-A	ST8	19.565
