sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046936	grey	0.227473761205709	547	499	477	434	0.912248628884826	0.872029250457038	0.793418647166362	0.94676575060759	0.91480884277435	0.84562535053281	ko	3	IG-A	ST8	22.905
LV3003046936	green	0.00578678109105755	26	26	26	19	1	1	0.730769230769231	1	1	0.7940474003307	ko	3	IG-A	ST8	22.905
LV3003046936	turquoise	0.641368414785582	234	233	223	187	0.995726495726496	0.952991452991453	0.799145299145299	0.999443031763766	0.953416071848902	0.807552555589077	ko	3	IG-A	ST8	22.905
LV3003046936	yellow	0.0947865812169357	75	73	69	54	0.973333333333333	0.92	0.72	0.984942039470364	0.954618615789267	0.759027766094072	ko	3	IG-A	ST8	22.905
LV3003046936	blue	0.0232688562097062	124	105	94	79	0.846774193548387	0.758064516129032	0.637096774193548	0.900006853539854	0.838028008132867	0.667352020652	ko	3	IG-A	ST8	22.905
LV3003046936	brown	0.00731560549100992	38	35	24	30	0.921052631578947	0.631578947368421	0.789473684210526	0.914837959598896	0.579058276413312	0.808312745240517	ko	3	IG-A	ST8	22.905
LV3003046937	grey	0.171712915879704	242	228	220	204	0.942148760330578	0.909090909090909	0.84297520661157	0.950101531432439	0.932587359336661	0.883778238429647	ko	3	IG-A	ST8	18.598
LV3003046937	turquoise	0.714223449077437	224	223	214	178	0.995535714285714	0.955357142857143	0.794642857142857	0.999476200162734	0.952194365337673	0.835961655817738	ko	3	IG-A	ST8	18.598
LV3003046937	yellow	0.0933077873020485	74	72	69	53	0.972972972972973	0.932432432432432	0.716216216216216	0.983534128729637	0.958504447342299	0.773097958309815	ko	3	IG-A	ST8	18.598
LV3003046937	blue	0.0080833212262095	23	22	22	16	0.956521739130435	0.956521739130435	0.695652173913044	0.960682992585936	0.960682992585936	0.712424174342844	ko	3	IG-A	ST8	18.598
