sample	total_reads_retained_taxa	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	core	age_kyr	state	state_label
LV3003046936	1881184	484.215775582579	-5.20441076959169	-2.76449151200716	-1.28002378475341	-2.5389331568371	-0.854547723495929	ko	1044	971	913	803	0.983156352594962	0.93959389405821	0.808278722336571	ST8	22.905	3	IG-A
LV3003046937	550640	425.114891091073	-13.8155105579643	0	-1.4800425079701	-2.85954812238232	-0.797079147965833	ko	592	573	548	476	0.988664099956414	0.946391471741973	0.837857765509226	ST8	18.598	3	IG-A
LV3003046938	749210	607.693741600886	-13.8155105579643	0	-1.86146486316911	-3.57504924087735	-1.23197808902813	ko	658	615	586	485	0.96935839083835	0.930645613379426	0.734396230696333	ST8	11.169	5	IG-C
LV3003046939	1520501	389.099400024553	-13.8155105579643	0	-2.6817095209115	-2.56119112113095	-0.729606102152921	ko	541	519	491	400	0.990041440288431	0.918869504196314	0.850358533141379	ST8	2.42	5	IG-C
LV3003046949	1307775	418.149164674683	-13.8155105579643	5.44044279627771	-1.41583861666784	-2.47151722441396	-0.740147478535715	ko	916	866	823	724	0.985505916537631	0.955070252910478	0.831918334575902	ST8	22.3686666666667	3	IG-A
LV3003046950	827508	528.480213255676	-5.61183831656092	-2.4908768167745	-1.32682351544258	-2.78826298134855	-1.01062515705551	ko	835	785	745	648	0.978898089202763	0.927671998337176	0.800677455686229	ST8	18.099	3	IG-A
LV3003046952	575975	551.43528237159	-13.8155105579643	0	-1.7506824740213	-3.67990832395729	-1.09782816866365	ko	591	556	530	442	0.964828334563132	0.922607752072573	0.709966578410521	ST8	10.26	5	IG-C
LV3003046953	2200496	424.49313716964	-13.8155105579643	0	-2.70847735758146	-2.70781539891923	-0.44096878504049	ko	519	501	473	383	0.996595767499691	0.840537315223477	0.882308352298755	ST8	1.5215	5	IG-C
LV3003046965	2098826	469.981715035836	-5.27963762149041	-2.74710257825644	-1.35257888955771	-2.50150352408169	-0.870863612214332	ko	1082	993	930	831	0.978544195659859	0.931839514090258	0.784697731017245	ST8	21.8323333333333	3	IG-A
LV3003046966	797010	514.782540077968	-13.8155105579643	5.95536314046577	-1.66550266953036	-2.49943899626228	-0.948268115511757	ko	787	754	713	629	0.984523406230788	0.944404712613393	0.83872849776038	ST8	17.373	3	IG-A
LV3003046978	1424571	405.351381351911	-13.8155105579643	5.40818066701658	-1.60595082394208	-2.32448923380546	-0.624404840406384	ko	952	902	845	752	0.987359703377368	0.9474676937829	0.828296378348289	ST8	21.296	3	IG-A
LV3003046979	557079	399.101712436121	-4.68409877137508	-9.13141178658919	-1.41908135948705	-2.30427355499991	-0.800890027000851	ko	708	668	627	554	0.979004773111174	0.909066757138575	0.861455915588274	ST8	16.461	3	IG-A
LV3003046980	576373	460.263869571698	-13.8155105579643	0	-1.5242993185514	-3.42109741188596	-0.835380692736113	ko	540	517	490	396	0.981744460618384	0.929162191844517	0.749859899752417	ST8	8.056	5	IG-C
LV3003046993	1224870	352.506212264959	-3.31115355021988	-2.96413887201396	-2.19604960589746	-2.47120255864518	-0.616662961682804	ko	966	881	804	711	0.964303150538425	0.846468604831533	0.827535166997314	ST8	20.719	3	IG-A
LV3003046994	615826	296.605108814379	-3.70456796294323	-3.69523372489854	-2.27445926396009	-2.30226567672456	-0.43725678377392	ko	497	479	425	403	0.994665701025939	0.870693994732278	0.935389217084046	ST8	15.549	3	IG-A
LV3003046995	703131	559.354055607435	-13.8155105579643	0	-1.51146228180204	-3.67904572797875	-1.02880791407971	ko	482	455	435	347	0.942957997869529	0.909217485788566	0.741817669822551	ST8	6.9705	5	IG-C
LV3003047009	735476	317.295802289288	-3.48487153842641	-3.15959825774851	-2.27905299136376	-2.29055823720069	-0.294931655855642	ko	596	552	493	451	0.977150851965258	0.865208382054615	0.883189934137892	ST8	20.142	3	IG-A
LV3003047010	684865	516.707014604613	-13.8155105579643	0	-1.49540627741313	-3.49361605035596	-1.00223013406697	ko	586	559	532	427	0.977560541128544	0.93394172574157	0.731719389952764	ST8	13.676	5	IG-C
LV3003047013	607702	419.008808483511	-13.8155105579643	0	-1.68823372237422	-3.3001645724863	-0.794970336795206	ko	477	457	432	348	0.981848011031723	0.917395368124508	0.785821010956028	ST8	5.885	5	IG-C
LV3003047026	1714271	379.176071573212	-4.28126814820357	-2.58019151345709	-2.38633240753582	-2.35929217107837	-0.464141109008329	ko	849	773	705	635	0.974324362950782	0.864526670520589	0.887656035714307	ST8	19.565	3	IG-A
LV3003047027	728928	521.795945413989	-13.8155105579643	5.46657755375462	-1.84650268350092	-2.8566142430727	-1.06830882116451	ko	717	666	636	530	0.967973517274683	0.938535767592958	0.749246839193995	ST8	12.877	5	IG-C
LV3003047028	11886	298.16364333163	-13.8155105579643	0	-10.7183921365465	-4.21034538389757	-0.496785139410791	ko	38	38	34	28	1	0.91502608110382	0.823237422177352	ST8	4.753	2	IG-D
LV3003047041	1504623	402.781613304046	-5.16128491893725	-2.68604105961042	-1.62648785047	-2.6617911816772	-0.764041158051843	ko	945	886	824	736	0.984529679527696	0.933259029005937	0.83559602638003	ST8	19.097	3	IG-A
LV3003047044	330929	513.257779267218	-13.8155105579643	0	-1.86206162142393	-2.41127860014024	-1.0702427250312	ko	539	516	491	422	0.980977792819608	0.944543995842008	0.827827116994884	ST8	12.078	1	G-A
LV3003047045	1001311	454.440604555781	-13.8155105579643	0	-2.08433976056551	-3.0889314517774	-0.834723862103118	ko	507	487	462	373	0.988744755625375	0.934115374743711	0.783253155113646	ST8	3.5865	5	IG-C
LV3003047059	79512	204.816104671765	-13.8155105579643	0	-2.8515319245799	-2.51246263812156	-0.517176903616713	ko	169	167	155	141	0.995396921219439	0.804268538082302	0.90642921823121	ST8	107.683	2	IG-D
LV3003047060	46974	464.138214297913	-13.8155105579643	0	-1.92463275060803	-3.30388287973075	-0.900779285116539	ko	162	159	151	130	0.99031379060757	0.960914548473624	0.831012900753608	ST8	106.686	2	IG-D
LV3003047061	39371	242.511609484728	-13.8155105579643	0	-0.709184353832944	-2.8499270287866	-0.669900985099118	ko	109	107	101	90	0.990475222879785	0.832744913769018	0.873231566381347	ST8	105.689	2	IG-D
LV3003047062	39336	154.202159851686	-13.8155105579643	0	-11.6063943218332	-2.16675155247353	-0.57419565885661	ko	108	107	97	89	0.997432377465934	0.759762050030506	0.89866788692292	ST8	104.692	2	IG-D
LV3003047063	24610	60.6703553118014	-13.8155105579643	0	-8.32981647327124	-2.20814253669557	-0.486183356168907	ko	57	57	51	51	1	0.750914262494921	0.953555465258025	ST8	103.695	2	IG-D
LV3003047064	21720	171.611706205802	-13.8155105579643	0	-12.4717604643069	-3.06612254221031	-0.142819983428785	ko	35	35	29	32	1	0.818922651933702	0.976151012891344	ST8	96.283	2	IG-D
LV3003047065	139588	380.855904425272	-13.8155105579643	8.82815015923487	-1.89950456188119	-2.39503884194253	-0.689319613081508	ko	270	260	251	219	0.977483737857122	0.931462589907442	0.860926440668252	ST8	53.61018	2	IG-D
LV3003047067	369122	469.553674257843	-13.8155105579643	7.16099494826466	-1.78835382441717	-2.38938143216429	-0.876035930364991	ko	573	558	528	459	0.991458108701188	0.95534267803057	0.819571848873814	ST8	42.86602	1	G-A
LV3003047068	296447	426.804534921821	-13.8155105579643	0	-2.11606895303881	-2.57262700955149	-0.795477052417075	ko	437	425	402	350	0.9889727337433	0.933006574531029	0.827163034201729	ST8	37.78969	1	G-A
LV3003047069	265589	504.888446700997	-13.8155105579643	0	-1.71377702496677	-2.80924011785499	-0.930444283913222	ko	451	438	419	360	0.988602690623482	0.958767117614058	0.816769519821981	ST8	33.7436870748299	1	G-A
LV3003047070	302672	418.2986083543	-13.8155105579643	0	-2.31890545073956	-2.40764465229501	-0.68338466884736	ko	491	481	460	396	0.993481392398372	0.958863059681768	0.860254665116033	ST8	30.128	1	G-A
LV3003047071	445326	503.884883056924	-13.8155105579643	0	-1.55944364930173	-2.26641939382549	-0.858134981743321	ko	612	597	573	496	0.99212711586568	0.953995499925897	0.85286509208984	ST8	26.141	1	G-A
LV3003047073	4586	-35.6100603667914	-13.8155105579643	0	0	-1.62563259835408	-0.344754976466979	ko	12	12	9	12	1	0.654382904491932	1	ST8	101.685	2	IG-D
LV3003047074	8155	-107.326652702767	-13.8155105579643	0	0	-1.13563246141026	-0.382670735071292	ko	20	20	15	20	1	0.615818516247701	1	ST8	100.672	2	IG-D
LV3003047077	46091	320.6870496653	-13.8155105579643	0	-2.23603472221253	-1.90556658710405	-0.464583213377041	ko	117	117	111	100	1	0.960860037751405	0.920288125664446	ST8	99.7145	2	IG-D
LV3003047078	13396	102.573551396118	-13.8155105579643	0	-1.1482427267174	-1.6314639745062	-0.528576537318123	ko	44	44	40	40	1	0.770752463421917	0.951104807405196	ST8	98.757	2	IG-D
LV3003047079	171510	327.01117449895	-13.8155105579643	0	-1.50130704420071	-2.71985917330694	-0.556262821185641	ko	346	343	325	268	0.997522010378404	0.895597924319282	0.813591044253979	ST8	97.52	4	IG-B
LV3003047080	360480	313.194096487445	-13.8155105579643	0	-1.90108512680339	-2.55944548711129	-0.637459380824394	ko	462	453	428	367	0.993794385264092	0.892845650244119	0.876767088326676	ST8	87.9935	4	IG-B
LV3003047081	284676	457.524278939976	-13.8155105579643	0	-1.48457602218159	-2.51588159334422	-0.762954743387749	ko	541	520	498	430	0.983932611108769	0.947860023324762	0.843018027511979	ST8	52.20718	1	G-A
LV3003047082	203145	433.02050035531	-13.8155105579643	0	-2.00368819670565	-2.68889269696263	-0.740560590160003	ko	375	368	351	301	0.993260971227448	0.954682615865515	0.852282852149942	ST8	41.9168333333333	1	G-A
LV3003047083	270682	452.66964392164	-13.8155105579643	0	-2.07376223529962	-2.4335523920046	-0.82961882071328	ko	443	431	410	357	0.9877346849809	0.948533703755699	0.834104225622686	ST8	37.30319	1	G-A
LV3003047084	534055	511.311918880376	-13.8155105579643	0	-2.00445584715916	-2.89728129252532	-0.905077446643353	ko	655	616	584	500	0.977129696379586	0.941889880255779	0.821615751186675	ST8	33.276	4	IG-B
LV3003047085	442512	472.309613851617	-13.8155105579643	0	-2.28128837115748	-2.35837085009709	-0.76495737782271	ko	606	598	572	489	0.996718733051307	0.955531149437755	0.848146490942619	ST8	29.703	1	G-A
LV3003047087	45812	372.358992341869	-13.8155105579643	0	-0.86843854408959	-2.32723259711465	-0.804749171863534	ko	142	142	135	116	1	0.927900986641055	0.85375010914171	ST8	94.9015	2	IG-D
LV3003047088	46002	253.289484959074	-13.8155105579643	0	-1.37345721435921	-2.50732514784344	-0.623157940497298	ko	112	112	104	90	1	0.890961262553802	0.838202686839703	ST8	93.52	2	IG-D
LV3003047089	141951	215.175012025222	-13.8155105579643	0	-1.32280382777283	-2.02797074736327	-0.444049987002347	ko	206	206	194	156	1	0.885263224633853	0.851061281709886	ST8	92.1385	2	IG-D
