sample	module	module_abundance	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	n_taxa_in_module_sample	module_total_reads	core	age_kyr	state	state_label
LV3003046936	grey	0.227473761205709	572.309357525889	-4.24150904624636	-3.49943582124557	-1.42330529036804	-2.04788219937426	-0.711132975116614	ko	547	499	477	434	0.94676575060759	0.91480884277435	0.84562535053281	547	427920	ST8	22.905	3	IG-A
LV3003046936	green	0.00578678109105755	734.049207542804	-13.8155105579643	0	-9.40316210785303	-14.8444145149395	-1.73412711968516	ko	26	26	26	19	1	1	0.7940474003307	26	10886	ST8	22.905	3	IG-A
LV3003046936	turquoise	0.641368414785582	437.913338979546	-13.8155105579643	0	-1.15261949493462	-2.78226734704039	-0.895281421233468	ko	234	233	223	187	0.999443031763766	0.953416071848902	0.807552555589077	234	1206532	ST8	22.905	3	IG-A
LV3003046936	yellow	0.0947865812169357	559.186780131469	-13.8155105579643	0	-0.250453257942592	-3.12006016143429	-0.832524971519603	ko	75	73	69	54	0.984942039470364	0.954618615789267	0.759027766094072	75	178311	ST8	22.905	3	IG-A
LV3003046936	blue	0.0232688562097062	686.190593536174	-13.8155105579643	0	-1.58272776210653	-3.13181182584738	-1.60079296787427	ko	124	105	94	79	0.900006853539854	0.838028008132867	0.667352020652	124	43773	ST8	22.905	3	IG-A
LV3003046936	brown	0.00731560549100992	37.4547792084498	-1.19255732019995	-2.19507172397512	-2.19504355138986	-1.39924398415191	-0.569978096016427	ko	38	35	24	30	0.914837959598896	0.579058276413312	0.808312745240517	38	13762	ST8	22.905	3	IG-A
LV3003046937	grey	0.171712915879704	568.568895143167	-13.8155105579643	0	-1.96211130204658	-2.37571047628578	-0.603351381294148	ko	242	228	220	204	0.950101531432439	0.932587359336661	0.883778238429647	242	94552	ST8	18.598	3	IG-A
LV3003046937	turquoise	0.714223449077437	371.117850042713	-13.8155105579643	0	-1.10093890305608	-3.01974613331642	-0.826130996197733	ko	224	223	214	178	0.999476200162734	0.952194365337673	0.835961655817738	224	393280	ST8	18.598	3	IG-A
LV3003046937	yellow	0.0933077873020485	587.971777733021	-13.8155105579643	0	-1.25918414258837	-3.26889759611624	-0.989129096468764	ko	74	72	69	53	0.983534128729637	0.958504447342299	0.773097958309815	74	51379	ST8	18.598	3	IG-A
LV3003046937	blue	0.0080833212262095	557.006103494356	-13.8155105579643	0	-0.667956931731387	-3.57545774122419	-0.732315401990802	ko	23	22	22	16	0.960682992585936	0.960682992585936	0.712424174342844	23	4451	ST8	18.598	3	IG-A
LV3003046937	brown	0.00801067848321953	1.70662290722319	-13.8155105579643	0	-12.3183238972928	-2.39564808084147	-0.674738424445246	ko	15	14	9	14	0.932668329177057	0.538199954658808	0.932668329177057	15	4411	ST8	18.598	3	IG-A
LV3003046937	green	0.00466184803138167	731.660113748764	-13.8155105579643	0	0	-14.823030483124	-2.41873499337788	ko	14	14	14	11	1	1	0.787689910401247	14	2567	ST8	18.598	3	IG-A
LV3003046938	green	0.144800523217789	677.250904758616	-13.8155105579643	0	-9.01919563035563	-14.8405458193994	-1.24459805056183	ko	64	60	55	44	0.970881035340966	0.861401471157569	0.667321128993603	64	108486	ST8	11.169	5	IG-C
LV3003046938	turquoise	0.511574858851323	548.96391147256	-13.8155105579643	0	-0.531659710668833	-4.14515580838546	-1.10368037820066	ko	198	197	189	153	0.998865050603089	0.967449129480767	0.732099760747449	198	383277	ST8	11.169	5	IG-C
LV3003046938	grey	0.305049318615608	678.248414301862	-13.8155105579643	0	-2.78346019707802	-2.90196531964172	-1.51815119996007	ko	311	276	265	226	0.918055883717064	0.902190368678515	0.769337463792847	311	228546	ST8	11.169	5	IG-C
LV3003046938	yellow	0.0332403464983116	541.766655072154	-13.8155105579643	0	-0.827276480526645	-2.89171832160335	-0.965321430884651	ko	66	65	61	49	0.994378413106328	0.941655958882107	0.750361387728879	66	24904	ST8	11.169	5	IG-C
LV3003046938	blue	0.00533495281696721	707.452042574136	-13.8155105579643	0	10.5720672065025	-3.38317095376723	-2.0683686829775	ko	19	17	16	13	0.876157117838379	0.839379534650988	0.677758318739054	19	3997	ST8	11.169	5	IG-C
LV3003046939	green	0.0813613407686019	660.531327201383	-13.8155105579643	0	-9.49660100178969	-14.8261556996606	-1.22512428103854	ko	59	56	52	41	0.985393258426966	0.914145986581521	0.640667690566648	59	123710	ST8	2.42	5	IG-C
LV3003046939	turquoise	0.66897950083558	376.582215941505	-13.8155105579643	0	-1.46787273286568	-2.96401166848915	-0.860474266297072	ko	205	205	196	161	1	0.91275324818322	0.865197447069557	205	1017184	ST8	2.42	5	IG-C
LV3003046939	grey	0.231337565710249	348.202299263222	-13.8155105579643	0	-5.02492573829204	-1.65715512212725	-0.330170686030757	ko	203	185	175	147	0.962808707345295	0.938962157674933	0.891908719001333	203	351749	ST8	2.42	5	IG-C
LV3003046939	yellow	0.0165096898982638	496.039030052415	-13.8155105579643	0	-1.17405112446089	-2.74444689159008	-0.789947300615802	ko	58	58	54	41	1	0.917181213400789	0.732143568497789	58	25103	ST8	2.42	5	IG-C
LV3003046939	blue	0.00181190278730497	627.865629053178	-13.8155105579643	0	0	-14.8726200396497	-1.94169925542665	ko	16	15	14	10	0.908166969147005	0.839201451905626	0.559709618874773	16	2755	ST8	2.42	5	IG-C
LV3003046949	grey	0.205364837223529	560.295244889662	-13.8155105579643	0	-1.81093880825941	-1.90469518725617	-0.612744661966671	ko	455	425	409	376	0.949640877086506	0.916625398870318	0.860234351437795	455	268571	ST8	22.3686666666667	3	IG-A
LV3003046949	green	0.00507044407485997	711.158876011773	-13.8155105579643	0	-9.7609894441659	-14.8514224782174	-1.53632842076465	ko	22	22	21	16	1	0.983260443372041	0.819785854320615	22	6631	ST8	22.3686666666667	3	IG-A
LV3003046949	turquoise	0.676260824683145	347.686101917585	-13.8155105579643	0	-0.833682828876184	-2.736639422607	-0.754219515335145	ko	231	231	221	186	1	0.97212790183594	0.835984292122203	231	884397	ST8	22.3686666666667	3	IG-A
LV3003046949	yellow	0.0870814933761542	586.630317735479	-13.8155105579643	0	0.170067086578069	-3.08234098709662	-0.893869722150429	ko	76	74	70	55	0.986670530281078	0.958896411229068	0.769939323691859	76	113883	ST8	22.3686666666667	3	IG-A
LV3003046949	blue	0.0202557779434536	673.296003748838	-13.8155105579643	0	-2.17220133688696	-3.29316170394742	-1.55351022234329	ko	111	95	88	74	0.868440921102303	0.814080785201963	0.658965647414119	111	26490	ST8	22.3686666666667	3	IG-A
LV3003046949	brown	0.00596662269885875	195.092152983659	-13.8155105579643	10.5620170200148	-13.4803702546359	-1.94161276384277	-0.204515128234915	ko	21	19	14	17	0.945277457388184	0.743816480840702	0.898500576701269	21	7803	ST8	22.3686666666667	3	IG-A
LV3003046950	grey	0.235457542404424	578.209322795436	-13.8155105579643	0	-1.38888168468484	-2.08913473178848	-0.891278112827606	ko	424	387	370	331	0.931370385387209	0.903994498134395	0.834179313601207	424	194843	ST8	18.099	3	IG-A
LV3003046950	turquoise	0.620739618227256	494.848103973632	-13.8155105579643	0	-1.21897027983004	-3.31827889204565	-1.03952761499423	ko	227	227	218	182	1	0.940066229677982	0.790872296643545	227	513667	ST8	18.099	3	IG-A
LV3003046950	yellow	0.113617028475858	617.427139880832	-13.8155105579643	0	-1.08636563260157	-3.19910736189328	-1.09751680039361	ko	76	74	70	55	0.979302055967411	0.951467256618343	0.78959572001404	76	94019	ST8	18.099	3	IG-A
LV3003046950	blue	0.0156131421085959	672.200651891207	-13.8155105579643	0	-1.17900618159547	-2.61187194243039	-1.15936913856933	ko	65	56	55	45	0.870743034055728	0.858978328173375	0.706578947368421	65	12920	ST8	18.099	3	IG-A
LV3003046950	brown	0.00863919140358764	16.6319778581486	-0.860392028467428	-2.4908768167745	-13.0379047231161	-2.06268981121691	-0.775958346673776	ko	23	21	12	18	0.933697020562317	0.443978178766261	0.873548748076654	23	7149	ST8	18.099	3	IG-A
LV3003046950	green	0.0059334773802791	734.733624610965	-13.8155105579643	0	0	-14.8961413706237	-1.94070392555537	ko	20	20	20	17	1	1	0.85071283095723	20	4910	ST8	18.099	3	IG-A
LV3003046952	green	0.17778202178914	681.36315161987	-13.8155105579643	0	-9.00164110770498	-14.7643125906161	-1.4478670584788	ko	64	60	55	43	0.971161546123948	0.881247680618762	0.565196585870818	64	102398	ST8	10.26	5	IG-C
LV3003046952	turquoise	0.535038847172186	491.7375495171	-13.8155105579643	0	-1.94118944792038	-4.14659025517557	-0.953654764088185	ko	190	190	182	151	1	0.96507111357729	0.763230565047101	190	308169	ST8	10.26	5	IG-C
LV3003046952	yellow	0.030918008594123	485.487318760308	-13.8155105579643	0	0.18109531507071	-3.05308542763763	-0.862097496851778	ko	55	55	51	41	1	0.950696316262354	0.760388589398023	55	17808	ST8	10.26	5	IG-C
LV3003046952	grey	0.251497026780676	622.60406791264	-13.8155105579643	0	-1.9788284985936	-2.83927102581746	-1.25371240112639	ko	266	237	228	195	0.883601645772353	0.859653725078699	0.692404871044348	266	144856	ST8	10.26	5	IG-C
LV3003046952	blue	0.0047640956638743	689.366160536071	-13.8155105579643	0	-1.21234105399645	-4.06294770816143	-2.00312348103447	ko	16	14	14	12	0.838192419825073	0.838192419825073	0.730320699708455	16	2744	ST8	10.26	5	IG-C
LV3003046953	grey	0.283958253048404	417.204180769864	-13.8155105579643	0	-3.26526035895512	-2.94674040099732	0.294219404977931	ko	177	165	155	131	0.991124255620158	0.972835036944926	0.952489321420055	177	624849	ST8	1.5215	5	IG-C
LV3003046953	green	0.0417201394594673	678.732736582244	-13.8155105579643	0	-9.53807741058343	-14.7860802647917	-1.29435750429714	ko	56	52	48	37	0.982255868416753	0.921954141931267	0.595664724143565	56	91805	ST8	1.5215	5	IG-C
LV3003046953	turquoise	0.654451541834205	415.438649025908	-13.8155105579643	0	-2.67681327503341	-2.52366308756682	-1.02204201636942	ko	204	204	195	161	1	0.77532813283356	0.875306745697228	204	1440118	ST8	1.5215	5	IG-C
LV3003046953	yellow	0.0175433175065985	471.286244689402	-13.8155105579643	0	-1.64742562833003	-2.96294294646754	-0.283081517370426	ko	59	59	55	43	1	0.927934929022899	0.75199461195731	59	38604	ST8	1.5215	5	IG-C
LV3003046953	blue	0.00227539609251732	679.206587582029	-13.8155105579643	0	0	-3.40601034216716	-2.56446460394208	ko	22	20	19	10	0.936888356301178	0.91571799480727	0.395646095466347	22	5007	ST8	1.5215	5	IG-C
LV3003046953	brown	5.13520588085595e-05	297.2	-13.8155105579643	0	-15.2018049190842	0	1.01242667569772	ko	1	1	1	1	1	1	1	1	113	ST8	1.5215	5	IG-C
LV3003046965	grey	0.2215519533301	562.501474862847	-4.38486723058897	-3.15959176750821	-1.41794507980092	-2.0287855970925	-0.715108801490475	ko	565	505	483	446	0.930599850752367	0.88673308974858	0.815014655945497	565	464999	ST8	21.8323333333333	3	IG-A
LV3003046965	green	0.00615963400491513	693.331757226582	-13.8155105579643	0	-9.64674178166236	-14.8575966950158	-1.55506283986236	ko	29	29	29	21	1	1	0.778697400990099	29	12928	ST8	21.8323333333333	3	IG-A
LV3003046965	turquoise	0.639078703999283	430.425182117221	-13.8155105579643	0	-1.04973862986112	-2.71347364491866	-0.891074662704029	ko	231	230	220	185	0.999434137395019	0.960940569515737	0.783718962361563	231	1341315	ST8	21.8323333333333	3	IG-A
LV3003046965	yellow	0.0932635673466976	566.611283403271	-13.8155105579643	0	-1.38264589693754	-2.94352608109502	-1.00221185045887	ko	76	74	70	55	0.986426148438777	0.952473639038745	0.745075200261566	76	195744	ST8	21.8323333333333	3	IG-A
LV3003046965	blue	0.0243288390747971	638.826500045183	-13.8155105579643	0	-1.756700467426	-3.1540319843831	-1.38201345626399	ko	135	112	101	87	0.855979005914379	0.789804551329756	0.617327954251694	135	51062	ST8	21.8323333333333	3	IG-A
LV3003046965	brown	0.015617302244207	-46.6127337385738	-1.90133901343161	-2.41053610706693	-2.40037493574797	-1.63197138139758	-1.0278503690124	ko	46	43	27	37	0.93925803892855	0.452041003111843	0.894380377082189	46	32778	ST8	21.8323333333333	3	IG-A
LV3003046966	grey	0.308766514849249	581.599060259955	-13.8155105579643	0	-1.97304893735843	-2.01486112899946	-0.915370268356808	ko	412	385	370	337	0.962566540696493	0.946714616603682	0.889776098175464	412	246090	ST8	17.373	3	IG-A
LV3003046966	turquoise	0.569730618185468	466.295064249927	-13.8155105579643	0	-1.37575610717934	-2.93935816437223	-0.932354851245855	ko	226	225	216	179	0.999204987656387	0.95206802310601	0.818662309147487	226	454081	ST8	17.373	3	IG-A
LV3003046966	yellow	0.0980238641924192	615.574700705944	-13.8155105579643	0	0.545012848918833	-3.0155113467759	-1.18176240431305	ko	74	72	68	53	0.97027878043161	0.941991142513376	0.786908327573407	74	78126	ST8	17.373	3	IG-A
LV3003046966	blue	0.00982421801483043	697.130324000766	-13.8155105579643	0	-1.55839572561159	-2.40161195967212	-0.885283086406904	ko	37	35	34	29	0.957854406130268	0.939846743295019	0.822733077905492	37	7830	ST8	17.373	3	IG-A
LV3003046966	brown	0.0112784030313296	9.38655374102429	-13.8155105579643	10.4402287586374	-13.2375100934676	-1.53160068258893	-0.908974767144237	ko	27	26	14	23	0.987762821225943	0.507286683724552	0.930248080987874	27	8989	ST8	17.373	3	IG-A
LV3003046966	green	0.00237638172670355	682.104768300873	-13.8155105579643	0	0	-14.9812484355291	-1.68121315877147	ko	11	11	11	8	1	1	0.786166842661035	11	1894	ST8	17.373	3	IG-A
LV3003046978	grey	0.239493854641152	503.374199421511	-13.8155105579643	0	-2.00787836436152	-1.9473076388225	-0.301975456584403	ko	478	448	424	391	0.963057190423711	0.915008675874036	0.844021853823247	478	341176	ST8	21.296	3	IG-A
LV3003046978	green	0.00421811197897472	712.791270683072	-13.8155105579643	0	-9.80589994278034	-14.8373614860081	-1.70880835077006	ko	21	21	21	16	1	1	0.784489931769013	21	6009	ST8	21.296	3	IG-A
LV3003046978	turquoise	0.649486055802063	359.121830239275	-13.8155105579643	0	-1.15258209084834	-2.48749821798025	-0.728375609763951	ko	231	230	222	186	0.99962171936116	0.971958596643678	0.833569488532152	231	925239	ST8	21.296	3	IG-A
LV3003046978	yellow	0.0727980563973294	552.582110756369	-13.8155105579643	0	-0.946324011708866	-3.01387738524677	-0.930084675498082	ko	75	73	69	54	0.986943860528803	0.95242319634351	0.752039419127148	75	103706	ST8	21.296	3	IG-A
LV3003046978	blue	0.0166049989786399	635.256834759067	-13.8155105579643	0	-0.871594739237386	-2.919772496211	-1.09015190219657	ko	106	92	85	70	0.869245402663285	0.81572606214331	0.618431621221729	106	23655	ST8	21.296	3	IG-A
LV3003046978	brown	0.0173989222018418	26.7631523648925	-13.8155105579643	9.45952768411963	-2.78620935765417	-1.81476150411556	-0.763021029791344	ko	41	38	24	35	0.975550714112806	0.572298878399096	0.944968934075688	41	24786	ST8	21.296	3	IG-A
LV3003046979	grey	0.284580822468627	486.916789055869	-13.8155105579643	0	-1.56855016495542	-1.53879924463283	-0.686789806492018	ko	325	293	282	255	0.940473336949803	0.920282084600149	0.864388711569758	325	158534	ST8	16.461	3	IG-A
LV3003046979	green	0.0263373776430273	656.941638981174	-13.8155105579643	0	-9.43682985702845	-14.7317876583388	-1.13174003978763	ko	49	45	41	31	0.927958015267176	0.843375136314068	0.615458015267176	49	14672	ST8	16.461	3	IG-A
LV3003046979	turquoise	0.578187294800199	389.728536463233	-13.8155105579643	0	-0.944223144549749	-3.19651554080892	-0.78878534952628	ko	215	214	206	172	0.998984774725548	0.955333192588545	0.869923873627738	215	322096	ST8	16.461	3	IG-A
LV3003046979	yellow	0.055281207871774	577.146339278273	-13.8155105579643	0	-0.372675285285174	-3.04518994993031	-1.19196187026948	ko	74	72	68	55	0.976003377061956	0.938173788803741	0.779257046369659	74	30796	ST8	16.461	3	IG-A
LV3003046979	blue	0.00238565804849941	660.452927224619	-13.8155105579643	0	-2.2623942124108	-14.9510546657124	-0.570087901931071	ko	9	8	8	6	0.897667419112115	0.897667419112115	0.693754702784048	9	1329	ST8	16.461	3	IG-A
LV3003046979	brown	0.0532276391678739	-166.782313398971	-1.75092128706059	-12.0645892709037	-2.14196981478195	-1.23741245253123	-1.20998799393723	ko	36	36	22	35	1	0.349318764332929	0.968400107918522	36	29652	ST8	16.461	3	IG-A
LV3003046980	green	0.13853008381725	642.67849720593	-13.8155105579643	0	-9.08028980580679	-14.7200853583965	-1.30940313119128	ko	60	57	53	41	0.976855156866429	0.897526457511428	0.542375853215605	60	79845	ST8	8.056	5	IG-C
LV3003046980	turquoise	0.609220071030392	417.490809104447	-13.8155105579643	0	-1.03448440051497	-3.53565519612557	-0.844219924572585	ko	202	202	193	160	1	0.948917519607676	0.795573250402975	202	351138	ST8	8.056	5	IG-C
LV3003046980	yellow	0.0266563492738209	436.259092109898	-13.8155105579643	0	-1.13555119820728	-2.85096829478922	-0.700089864072293	ko	47	47	45	31	1	0.960426972142671	0.739130434782609	47	15364	ST8	8.056	5	IG-C
LV3003046980	grey	0.221884092419319	500.99089533067	-13.8155105579643	0	-2.26087271021825	-2.83452546790763	-0.6161105972364	ko	221	202	190	157	0.934036031527587	0.891592643563118	0.756028712623546	221	127888	ST8	8.056	5	IG-C
LV3003046980	blue	0.00370940345921825	717.350568942436	-13.8155105579643	0	0	-15.2085640638011	-1.40228185202973	ko	10	9	9	7	0.888681010289991	0.888681010289991	0.698783910196445	10	2138	ST8	8.056	5	IG-C
LV3003046993	grey	0.284711030558345	451.388800442471	-13.8155105579643	7.66144645033128	-2.33484536650497	-2.19862462350392	-0.351581124516695	ko	466	408	384	339	0.928911433929585	0.883877109774212	0.83570572413358	466	348734	ST8	20.719	3	IG-A
LV3003046993	green	0.0337366414394997	655.187219503012	-13.8155105579643	0	-9.34340256378262	-14.7961885520477	-1.16232826865256	ko	60	56	52	40	0.969944098927958	0.864337052004937	0.642741330493914	60	41323	ST8	20.719	3	IG-A
LV3003046993	turquoise	0.463899842432258	435.315838859465	-13.8155105579643	0	-2.1612357027109	-3.02028367919306	-0.761741477304922	ko	228	227	217	181	0.999241486967127	0.945943187197849	0.835539943366707	228	568217	ST8	20.719	3	IG-A
LV3003046993	yellow	0.0351441377452301	581.731927572171	-13.8155105579643	0	-0.741880450580925	-3.06521090274778	-1.00715698213665	ko	74	72	68	54	0.942713777963621	0.888308128324854	0.740051571538086	74	43047	ST8	20.719	3	IG-A
LV3003046993	blue	0.0121065909035245	530.066833533542	-13.8155105579643	0	0.565913421750644	-4.35491570730295	-1.5569308377327	ko	55	39	37	30	0.534290916447502	0.50664238991166	0.431451884820285	55	14829	ST8	20.719	3	IG-A
