sample	module	module_abundance	core	age_kyr	state	state_label	index	value	sample_mean	centered	analysis_set
LV3003046936	grey	0.227473761205709	ST8	22.905	3	IG-A	OAP	572.309357525889	504.517342820722	67.7920147051671	include_grey
LV3003046936	green	0.00578678109105755	ST8	22.905	3	IG-A	OAP	734.049207542804	504.517342820722	229.531864722082	include_grey
LV3003046936	turquoise	0.641368414785582	ST8	22.905	3	IG-A	OAP	437.913338979546	504.517342820722	-66.6040038411758	include_grey
LV3003046936	yellow	0.0947865812169357	ST8	22.905	3	IG-A	OAP	559.186780131469	504.517342820722	54.6694373107463	include_grey
LV3003046936	blue	0.0232688562097062	ST8	22.905	3	IG-A	OAP	686.190593536174	504.517342820722	181.673250715452	include_grey
LV3003046936	brown	0.00731560549100992	ST8	22.905	3	IG-A	OAP	37.4547792084498	504.517342820722	-467.062563612272	include_grey
LV3003046937	grey	0.171712915879704	ST8	18.598	3	IG-A	OAP	568.568895143167	469.671893844874	98.8970012982931	include_grey
LV3003046937	turquoise	0.714223449077437	ST8	18.598	3	IG-A	OAP	371.117850042713	469.671893844874	-98.5540438021609	include_grey
LV3003046937	yellow	0.0933077873020485	ST8	18.598	3	IG-A	OAP	587.971777733021	469.671893844874	118.299883888147	include_grey
LV3003046937	blue	0.0080833212262095	ST8	18.598	3	IG-A	OAP	557.006103494356	469.671893844874	87.3342096494816	include_grey
LV3003046937	brown	0.00801067848321953	ST8	18.598	3	IG-A	OAP	1.70662290722319	469.671893844874	-467.965270937651	include_grey
LV3003046937	green	0.00466184803138167	ST8	18.598	3	IG-A	OAP	731.660113748764	469.671893844874	261.98821990389	include_grey
LV3003046938	green	0.144800523217789	ST8	11.169	5	IG-C	OAP	677.250904758616	630.736385635866	46.5145191227505	include_grey
LV3003046938	turquoise	0.511574858851323	ST8	11.169	5	IG-C	OAP	548.96391147256	630.736385635866	-81.7724741633056	include_grey
LV3003046938	grey	0.305049318615608	ST8	11.169	5	IG-C	OAP	678.248414301862	630.736385635866	47.5120286659961	include_grey
LV3003046938	yellow	0.0332403464983116	ST8	11.169	5	IG-C	OAP	541.766655072154	630.736385635866	-88.9697305637119	include_grey
LV3003046938	blue	0.00533495281696721	ST8	11.169	5	IG-C	OAP	707.452042574136	630.736385635866	76.7156569382702	include_grey
LV3003046939	green	0.0813613407686019	ST8	2.42	5	IG-C	OAP	660.531327201383	501.844100302341	158.687226899042	include_grey
LV3003046939	turquoise	0.66897950083558	ST8	2.42	5	IG-C	OAP	376.582215941505	501.844100302341	-125.261884360835	include_grey
LV3003046939	grey	0.231337565710249	ST8	2.42	5	IG-C	OAP	348.202299263222	501.844100302341	-153.641801039118	include_grey
LV3003046939	yellow	0.0165096898982638	ST8	2.42	5	IG-C	OAP	496.039030052415	501.844100302341	-5.80507024992562	include_grey
LV3003046939	blue	0.00181190278730497	ST8	2.42	5	IG-C	OAP	627.865629053178	501.844100302341	126.021528750837	include_grey
LV3003046949	grey	0.205364837223529	ST8	22.3686666666667	3	IG-A	OAP	560.295244889662	512.359782881166	47.9354620084961	include_grey
LV3003046949	green	0.00507044407485997	ST8	22.3686666666667	3	IG-A	OAP	711.158876011773	512.359782881166	198.799093130608	include_grey
LV3003046949	turquoise	0.676260824683145	ST8	22.3686666666667	3	IG-A	OAP	347.686101917585	512.359782881166	-164.673680963581	include_grey
LV3003046949	yellow	0.0870814933761542	ST8	22.3686666666667	3	IG-A	OAP	586.630317735479	512.359782881166	74.2705348543131	include_grey
LV3003046949	blue	0.0202557779434536	ST8	22.3686666666667	3	IG-A	OAP	673.296003748838	512.359782881166	160.936220867672	include_grey
LV3003046949	brown	0.00596662269885875	ST8	22.3686666666667	3	IG-A	OAP	195.092152983659	512.359782881166	-317.267629897507	include_grey
LV3003046950	grey	0.235457542404424	ST8	18.099	3	IG-A	OAP	578.209322795436	519.00847016837	59.2008526270661	include_grey
LV3003046950	turquoise	0.620739618227256	ST8	18.099	3	IG-A	OAP	494.848103973632	519.00847016837	-24.1603661947385	include_grey
LV3003046950	yellow	0.113617028475858	ST8	18.099	3	IG-A	OAP	617.427139880832	519.00847016837	98.4186697124623	include_grey
LV3003046950	blue	0.0156131421085959	ST8	18.099	3	IG-A	OAP	672.200651891207	519.00847016837	153.192181722837	include_grey
LV3003046950	brown	0.00863919140358764	ST8	18.099	3	IG-A	OAP	16.6319778581486	519.00847016837	-502.376492310221	include_grey
LV3003046950	green	0.0059334773802791	ST8	18.099	3	IG-A	OAP	734.733624610965	519.00847016837	215.725154442595	include_grey
LV3003046952	green	0.17778202178914	ST8	10.26	5	IG-C	OAP	681.36315161987	594.111649669198	87.2515019506727	include_grey
LV3003046952	turquoise	0.535038847172186	ST8	10.26	5	IG-C	OAP	491.7375495171	594.111649669198	-102.374100152097	include_grey
LV3003046952	yellow	0.030918008594123	ST8	10.26	5	IG-C	OAP	485.487318760308	594.111649669198	-108.62433090889	include_grey
LV3003046952	grey	0.251497026780676	ST8	10.26	5	IG-C	OAP	622.60406791264	594.111649669198	28.4924182434418	include_grey
LV3003046952	blue	0.0047640956638743	ST8	10.26	5	IG-C	OAP	689.366160536071	594.111649669198	95.254510866873	include_grey
LV3003046953	grey	0.283958253048404	ST8	1.5215	5	IG-C	OAP	417.204180769864	493.178066441574	-75.9738856717108	include_grey
LV3003046953	green	0.0417201394594673	ST8	1.5215	5	IG-C	OAP	678.732736582244	493.178066441574	185.554670140669	include_grey
LV3003046953	turquoise	0.654451541834205	ST8	1.5215	5	IG-C	OAP	415.438649025908	493.178066441574	-77.7394174156661	include_grey
LV3003046953	yellow	0.0175433175065985	ST8	1.5215	5	IG-C	OAP	471.286244689402	493.178066441574	-21.8918217521726	include_grey
LV3003046953	blue	0.00227539609251732	ST8	1.5215	5	IG-C	OAP	679.206587582029	493.178066441574	186.028521140455	include_grey
LV3003046953	brown	5.13520588085595e-05	ST8	1.5215	5	IG-C	OAP	297.2	493.178066441574	-195.978066441574	include_grey
LV3003046965	grey	0.2215519533301	ST8	21.8323333333333	3	IG-A	OAP	562.501474862847	474.180577319422	88.3208975434252	include_grey
LV3003046965	green	0.00615963400491513	ST8	21.8323333333333	3	IG-A	OAP	693.331757226582	474.180577319422	219.15117990716	include_grey
LV3003046965	turquoise	0.639078703999283	ST8	21.8323333333333	3	IG-A	OAP	430.425182117221	474.180577319422	-43.7553952022007	include_grey
LV3003046965	yellow	0.0932635673466976	ST8	21.8323333333333	3	IG-A	OAP	566.611283403271	474.180577319422	92.4307060838493	include_grey
LV3003046965	blue	0.0243288390747971	ST8	21.8323333333333	3	IG-A	OAP	638.826500045183	474.180577319422	164.645922725762	include_grey
LV3003046965	brown	0.015617302244207	ST8	21.8323333333333	3	IG-A	OAP	-46.6127337385738	474.180577319422	-520.793311057996	include_grey
LV3003046966	grey	0.308766514849249	ST8	17.373	3	IG-A	OAP	581.599060259955	508.681745209748	72.9173150502073	include_grey
LV3003046966	turquoise	0.569730618185468	ST8	17.373	3	IG-A	OAP	466.295064249927	508.681745209748	-42.3866809598214	include_grey
LV3003046966	yellow	0.0980238641924192	ST8	17.373	3	IG-A	OAP	615.574700705944	508.681745209748	106.892955496196	include_grey
LV3003046966	blue	0.00982421801483043	ST8	17.373	3	IG-A	OAP	697.130324000766	508.681745209748	188.448578791018	include_grey
LV3003046966	brown	0.0112784030313296	ST8	17.373	3	IG-A	OAP	9.38655374102429	508.681745209748	-499.295191468724	include_grey
LV3003046966	green	0.00237638172670355	ST8	17.373	3	IG-A	OAP	682.104768300873	508.681745209748	173.423023091125	include_grey
LV3003046978	grey	0.239493854641152	ST8	21.296	3	IG-A	OAP	503.374199421511	464.981566370698	38.3926330508132	include_grey
LV3003046978	green	0.00421811197897472	ST8	21.296	3	IG-A	OAP	712.791270683072	464.981566370698	247.809704312374	include_grey
LV3003046978	turquoise	0.649486055802063	ST8	21.296	3	IG-A	OAP	359.121830239275	464.981566370698	-105.859736131423	include_grey
LV3003046978	yellow	0.0727980563973294	ST8	21.296	3	IG-A	OAP	552.582110756369	464.981566370698	87.6005443856715	include_grey
LV3003046978	blue	0.0166049989786399	ST8	21.296	3	IG-A	OAP	635.256834759067	464.981566370698	170.27526838837	include_grey
LV3003046978	brown	0.0173989222018418	ST8	21.296	3	IG-A	OAP	26.7631523648925	464.981566370698	-438.218414005805	include_grey
LV3003046979	grey	0.284580822468627	ST8	16.461	3	IG-A	OAP	486.916789055869	434.0673196007	52.8494694551694	include_grey
LV3003046979	green	0.0263373776430273	ST8	16.461	3	IG-A	OAP	656.941638981174	434.0673196007	222.874319380474	include_grey
LV3003046979	turquoise	0.578187294800199	ST8	16.461	3	IG-A	OAP	389.728536463233	434.0673196007	-44.3387831374662	include_grey
LV3003046979	yellow	0.055281207871774	ST8	16.461	3	IG-A	OAP	577.146339278273	434.0673196007	143.079019677573	include_grey
LV3003046979	blue	0.00238565804849941	ST8	16.461	3	IG-A	OAP	660.452927224619	434.0673196007	226.385607623919	include_grey
LV3003046979	brown	0.0532276391678739	ST8	16.461	3	IG-A	OAP	-166.782313398971	434.0673196007	-600.84963299967	include_grey
LV3003046980	green	0.13853008381725	ST8	8.056	5	IG-C	OAP	642.67849720593	542.953972538676	99.7245246672536	include_grey
LV3003046980	turquoise	0.609220071030392	ST8	8.056	5	IG-C	OAP	417.490809104447	542.953972538676	-125.46316343423	include_grey
LV3003046980	yellow	0.0266563492738209	ST8	8.056	5	IG-C	OAP	436.259092109898	542.953972538676	-106.694880428778	include_grey
LV3003046980	grey	0.221884092419319	ST8	8.056	5	IG-C	OAP	500.99089533067	542.953972538676	-41.9630772080062	include_grey
LV3003046980	blue	0.00370940345921825	ST8	8.056	5	IG-C	OAP	717.350568942436	542.953972538676	174.39659640376	include_grey
LV3003046993	grey	0.284711030558345	ST8	20.719	3	IG-A	OAP	451.388800442471	423.804963022796	27.5838374196756	include_grey
LV3003046993	green	0.0337366414394997	ST8	20.719	3	IG-A	OAP	655.187219503012	423.804963022796	231.382256480216	include_grey
LV3003046993	turquoise	0.463899842432258	ST8	20.719	3	IG-A	OAP	435.315838859465	423.804963022796	11.510875836669	include_grey
LV3003046993	yellow	0.0351441377452301	ST8	20.719	3	IG-A	OAP	581.731927572171	423.804963022796	157.926964549376	include_grey
LV3003046993	blue	0.0121065909035245	ST8	20.719	3	IG-A	OAP	530.066833533542	423.804963022796	106.261870510747	include_grey
LV3003046993	brown	0.170401756921143	ST8	20.719	3	IG-A	OAP	-110.860841773888	423.804963022796	-534.665804796683	include_grey
LV3003046994	turquoise	0.417734879657566	ST8	15.549	3	IG-A	OAP	330.968825376249	372.420625693518	-41.451800317269	include_grey
LV3003046994	grey	0.444926001825191	ST8	15.549	3	IG-A	OAP	359.235695635316	372.420625693518	-13.1849300582024	include_grey
LV3003046994	yellow	0.0216749536395021	ST8	15.549	3	IG-A	OAP	603.113949090007	372.420625693518	230.693323396489	include_grey
LV3003046994	brown	0.114292024045753	ST8	15.549	3	IG-A	OAP	-140.410100555848	372.420625693518	-512.830726249366	include_grey
LV3003046994	green	0.00120975730157545	ST8	15.549	3	IG-A	OAP	261.615384615385	372.420625693518	-110.805241078134	include_grey
LV3003046994	blue	0.000162383530412811	ST8	15.549	3	IG-A	OAP	820	372.420625693518	447.579374306482	include_grey
LV3003046995	grey	0.202181385829952	ST8	6.9705	5	IG-C	OAP	577.354842661673	622.693584896648	-45.3387422349748	include_grey
LV3003046995	green	0.197519381167947	ST8	6.9705	5	IG-C	OAP	727.684643118505	622.693584896648	104.991058221858	include_grey
LV3003046995	turquoise	0.572071207214587	ST8	6.9705	5	IG-C	OAP	500.145483404712	622.693584896648	-122.548101491936	include_grey
LV3003046995	yellow	0.0233982003353571	ST8	6.9705	5	IG-C	OAP	532.137019769265	622.693584896648	-90.5565651273822	include_grey
LV3003046995	blue	0.00482982545215614	ST8	6.9705	5	IG-C	OAP	776.145935529082	622.693584896648	153.452350632435	include_grey
LV3003047009	grey	0.386984755450892	ST8	20.142	3	IG-A	OAP	341.116828138937	338.709732303269	2.40709583566814	include_grey
