module	index	n	n_states	kruskal_p	lm_coreadj_p	status	kruskal_q	lm_coreadj_q
grey	OAP	214	5	4.16881578609125e-13	4.24386517519463e-15	ok	2.50128947165475e-12	2.61212668244937e-14
green	OAP	172	5	8.0980653950112e-07	0.00190894302453194	ok	2.0245163487528e-06	0.00381788604906387
turquoise	OAP	214	5	5.48596068939678e-10	1.6898589801783e-10	ok	1.82865356313226e-09	4.60870630957719e-10
yellow	OAP	210	5	2.63208897200401e-11	1.58293217258212e-12	ok	1.31604448600201e-10	5.93599564718295e-12
blue	OAP	155	5	0.018030030827394	0.0774775428510074	ok	0.0284684697274643	0.105651194796828
brown	OAP	138	5			insufficient_by_state		
grey	MGI	214	5	0.0160835166803689	0.456043045337673	ok	0.0268058611339481	0.488617548576079
green	MGI	179	5	1.09084385625794e-14	2.42427116853811e-18	ok	1.63626578438692e-13	3.52843002030806e-17
turquoise	MGI	214	5	6.47289435824197e-14	8.97456505125711e-14	ok	4.85467076868148e-13	4.48728252562856e-13
yellow	MGI	210	5	3.78247549515739e-14	4.35354447074895e-15	ok	3.78247549515739e-13	2.61212668244937e-14
blue	MGI	157	5	4.26761239548651e-11	3.47872061490279e-13	ok	1.82897674092279e-10	1.49088026352977e-12
brown	MGI	138	5			insufficient_by_state		
grey	MFI	214	5	0.146211196858317	0.0880101716984969	ok	0.182763996072896	0.114795876128474
green	MFI	179	5	0.785385726579144	0.863413130280822	ok	0.812467993012908	0.863413130280822
turquoise	MFI	214	5	0.505792824971168	0.338010751229985	ok	0.561992027745742	0.390012405265367
yellow	MFI	210	5	0.578972036724708	0.494774394668499	ok	0.620327182205044	0.511835580691551
blue	MFI	157	5	0.4759030307642	0.448069726564166	ok	0.549118881651	0.488617548576079
brown	MFI	138	5			insufficient_by_state		
grey	DCI	214	5	0.00724378192409159	0.0126161268115158	ok	0.0127831445719263	0.0210268780191929
green	DCI	179	5	7.44998106718247e-16	1.53981758304009e-29	ok	2.23499432015474e-14	4.61945274912026e-28
turquoise	DCI	214	5	2.20636126466139e-08	1.60041575329787e-11	ok	6.01734890362198e-08	5.33471917765956e-11
yellow	DCI	210	5	0.0972659027156602	0.129335216375872	ok	0.12880056630696	0.16166902046984
blue	DCI	157	5	0.000343325187141326	0.00142209875292039	ok	0.000735696829588555	0.00304735447054369
brown	DCI	138	5			insufficient_by_state		
grey	MII	214	5	2.5217445223597e-05	6.57064723183807e-05	ok	5.81941043621468e-05	0.000151630320734725
green	MII	179	5	2.74904605803694e-09	3.61754808117956e-11	ok	8.24713817411082e-09	1.08526442435387e-10
turquoise	MII	214	5	0.000615007109345599	0.0038459696681312	ok	0.001153138330023	0.00678700529670211
yellow	MII	210	5	1.00893327070776e-10	3.52843002030806e-18	ok	3.78349976515409e-10	3.52843002030806e-17
blue	MII	157	5	0.0403897717413362	0.00283415640454542	ok	0.0605846576120043	0.00531404325852266
brown	MII	138	5			insufficient_by_state		
grey	SRPI	214	5	0.0735084418620552	0.0135616324150149	ok	0.105012059802936	0.0214131038131814
green	SRPI	179	5	0.000510171345007719	6.55080924180213e-06	ok	0.00102034269001544	1.63770231045053e-05
turquoise	SRPI	214	5	0.368910938577879	0.0471753492288405	ok	0.442693126293455	0.0707630238432607
yellow	SRPI	210	5	0.0987471008353359	0.0625511076410788	ok	0.12880056630696	0.0893587252015412
blue	SRPI	157	5	0.983997761918594	0.211971792648726	ok	0.983997761918594	0.254366151178471
brown	SRPI	138	5			insufficient_by_state		
